time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T12:24:16.814987-05:00,job,raycluster-historyserver-head-bsvpb,ray-head,2026-08-06T17:24:05Z,12973143000,2416840704
2026-08-06T12:24:16.814987-05:00,job,raycluster-historyserver-head-bsvpb,collector,2026-08-06T17:24:09Z,721719000,62771200
2026-08-06T12:24:16.814987-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,ray-worker,2026-08-06T17:24:16Z,2988102000,296337408
2026-08-06T12:24:16.814987-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,collector,2026-08-06T17:24:16Z,639612000,56606720
2026-08-06T12:24:17.815757-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,collector,2026-08-06T17:24:17Z,639612000,56606720
2026-08-06T12:24:17.815757-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,ray-worker,2026-08-06T17:24:17Z,2997499000,296472576
2026-08-06T12:24:17.815757-05:00,job,raycluster-historyserver-head-bsvpb,collector,2026-08-06T17:24:09Z,721719000,62771200
2026-08-06T12:24:17.815757-05:00,job,raycluster-historyserver-head-bsvpb,ray-head,2026-08-06T17:24:05Z,12973143000,2416840704
2026-08-06T12:24:18.815758-05:00,job,raycluster-historyserver-head-bsvpb,ray-head,2026-08-06T17:24:05Z,12973143000,2416840704
2026-08-06T12:24:18.815758-05:00,job,raycluster-historyserver-head-bsvpb,collector,2026-08-06T17:24:09Z,721719000,62771200
2026-08-06T12:24:18.815758-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,ray-worker,2026-08-06T17:24:18Z,3006253000,296493056
2026-08-06T12:24:18.815758-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,collector,2026-08-06T17:24:18Z,639612000,56606720
2026-08-06T12:24:19.814842-05:00,job,raycluster-historyserver-head-bsvpb,ray-head,2026-08-06T17:24:05Z,12973143000,2416840704
2026-08-06T12:24:19.814842-05:00,job,raycluster-historyserver-head-bsvpb,collector,2026-08-06T17:24:09Z,721719000,62771200
2026-08-06T12:24:19.814842-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,ray-worker,2026-08-06T17:24:19Z,3010046000,296706048
2026-08-06T12:24:19.814842-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,collector,2026-08-06T17:24:19Z,642275000,56619008
2026-08-06T12:24:20.815793-05:00,job,raycluster-historyserver-head-bsvpb,ray-head,2026-08-06T17:24:05Z,12973143000,2416840704
2026-08-06T12:24:20.815793-05:00,job,raycluster-historyserver-head-bsvpb,collector,2026-08-06T17:24:09Z,721719000,62771200
2026-08-06T12:24:20.815793-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,ray-worker,2026-08-06T17:24:19Z,3010046000,296706048
2026-08-06T12:24:20.815793-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,collector,2026-08-06T17:24:20Z,642398000,56619008
2026-08-06T12:24:21.81501-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,collector,2026-08-06T17:24:21Z,642398000,56619008
2026-08-06T12:24:21.81501-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,ray-worker,2026-08-06T17:24:19Z,3010046000,296706048
2026-08-06T12:24:21.81501-05:00,job,raycluster-historyserver-head-bsvpb,collector,2026-08-06T17:24:09Z,721719000,62771200
2026-08-06T12:24:21.81501-05:00,job,raycluster-historyserver-head-bsvpb,ray-head,2026-08-06T17:24:21Z,16048198000,2623188992
2026-08-06T12:24:22.81505-05:00,job,raycluster-historyserver-head-bsvpb,ray-head,2026-08-06T17:24:21Z,16048198000,2623188992
2026-08-06T12:24:22.81505-05:00,job,raycluster-historyserver-head-bsvpb,collector,2026-08-06T17:24:09Z,721719000,62771200
2026-08-06T12:24:22.81505-05:00,job,raycluster-historyserver-cpu-worker-jm6rw,ray-worker,2026-08-06T17:24:19Z,3010046000,296706048
