time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786037277523370427,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,281522176,301285376,303284224,2966356
1786037277523370427,raycluster-historyserver-cpu-worker-pvrxv/collector,55521280,56414208,56909824,547680
1786037277523370427,raycluster-historyserver-head-2bm9z/collector,60252160,61255680,61763584,654370
1786037277523370427,raycluster-historyserver-head-2bm9z/ray-head,2381221888,2431238144,2433470464,11948224
1786037278561741511,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,282505216,302317568,303284224,2997897
1786037278561741511,raycluster-historyserver-cpu-worker-pvrxv/collector,55521280,56414208,56909824,547680
1786037278561741511,rayjob-bench-vnhlb/ray-job-submitter,55365632,60887040,61149184,631732
1786037278561741511,raycluster-historyserver-head-2bm9z/collector,60252160,61255680,61763584,654370
1786037278561741511,raycluster-historyserver-head-2bm9z/ray-head,2381471744,2431225856,2433470464,12003491
1786037279602758803,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,282566656,302379008,303661056,3007352
1786037279602758803,raycluster-historyserver-cpu-worker-pvrxv/collector,55521280,56414208,56909824,547680
1786037279602758803,rayjob-bench-vnhlb/ray-job-submitter,39374848,49537024,115523584,1662200
1786037279602758803,raycluster-historyserver-head-2bm9z/collector,60252160,61255680,61763584,655540
1786037279602758803,raycluster-historyserver-head-2bm9z/ray-head,2382286848,2432139264,2433613824,12079685
1786037280643813346,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,282750976,302575616,303661056,3018405
1786037280643813346,raycluster-historyserver-cpu-worker-pvrxv/collector,55545856,56438784,56909824,550609
1786037280643813346,rayjob-bench-vnhlb/ray-job-submitter,16842752,26734592,115523584,2558974
1786037280643813346,raycluster-historyserver-head-2bm9z/collector,60325888,61333504,61775872,658167
1786037280643813346,raycluster-historyserver-head-2bm9z/ray-head,2408878080,2460315648,2487074816,13236445
1786037281684754513,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,426213376,450256896,450514944,3802018
1786037281684754513,raycluster-historyserver-cpu-worker-pvrxv/collector,55545856,56438784,56909824,550738
1786037281684754513,rayjob-bench-vnhlb/ray-job-submitter,102354944,113270784,115523584,3388964
1786037281684754513,raycluster-historyserver-head-2bm9z/collector,60387328,61399040,61894656,665243
1786037281684754513,raycluster-historyserver-head-2bm9z/ray-head,2542600192,2598154240,2599460864,14168713
1786037282731855805,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,623316992,655368192,655630336,5820974
1786037282731855805,raycluster-historyserver-cpu-worker-pvrxv/collector,55545856,56438784,56909824,550738
1786037282731855805,rayjob-bench-vnhlb/ray-job-submitter,102367232,113283072,115523584,3389318
1786037282731855805,raycluster-historyserver-head-2bm9z/collector,60387328,61399040,61894656,665243
1786037282731855805,raycluster-historyserver-head-2bm9z/ray-head,2598887424,2654310400,2655621120,14983634
1786037283790028305,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,808054784,843522048,843804672,8000606
1786037283790028305,raycluster-historyserver-cpu-worker-pvrxv/collector,68476928,70983680,71499776,843340
1786037283790028305,rayjob-bench-vnhlb/ray-job-submitter,102367232,113283072,115523584,3389477
1786037283790028305,raycluster-historyserver-head-2bm9z/collector,91054080,95313920,97972224,1285974
1786037283790028305,raycluster-historyserver-head-2bm9z/ray-head,2626617344,2682789888,2686771200,15858020
1786037284839455792,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,920023040,960397312,960638976,10136918
1786037284839455792,raycluster-historyserver-cpu-worker-pvrxv/collector,67469312,70832128,75915264,1003888
1786037284839455792,rayjob-bench-vnhlb/ray-job-submitter,102371328,113287168,115523584,3389615
1786037284839455792,raycluster-historyserver-head-2bm9z/collector,87711744,95932416,97972224,1982499
1786037284839455792,raycluster-historyserver-head-2bm9z/ray-head,2630234112,2686603264,2691350528,16754418
1786037285900490292,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,946057216,986468352,988598272,12200284
1786037285900490292,raycluster-historyserver-cpu-worker-pvrxv/collector,73478144,78835712,79097856,1330144
1786037285900490292,rayjob-bench-vnhlb/ray-job-submitter,102375424,113291264,115523584,3389802
1786037285900490292,raycluster-historyserver-head-2bm9z/collector,97067008,109486080,109813760,2735437
1786037285900490292,raycluster-historyserver-head-2bm9z/ray-head,2650103808,2707521536,2710867968,17825563
1786037286963200918,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,925188096,964722688,1003401216,14302702
1786037286963200918,raycluster-historyserver-cpu-worker-pvrxv/collector,79904768,88084480,88334336,1798315
1786037286963200918,rayjob-bench-vnhlb/ray-job-submitter,102375424,113291264,115523584,3389921
1786037286963200918,raycluster-historyserver-head-2bm9z/collector,100200448,117129216,117207040,3470506
1786037286963200918,raycluster-historyserver-head-2bm9z/ray-head,2676600832,2735546368,2737815552,18820473
1786037288027510418,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,943218688,982720512,1003401216,16418644
1786037288027510418,raycluster-historyserver-cpu-worker-pvrxv/collector,79904768,88084480,88334336,1798315
1786037288027510418,rayjob-bench-vnhlb/ray-job-submitter,102375424,113291264,115523584,3390036
1786037288027510418,raycluster-historyserver-head-2bm9z/collector,92139520,113262592,122687488,4214106
1786037288027510418,raycluster-historyserver-head-2bm9z/ray-head,2699907072,2759094272,2760151040,19879534
1786037289087318502,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,975699968,1015808000,1017638912,18595762
1786037289087318502,raycluster-historyserver-cpu-worker-pvrxv/collector,91582464,100511744,100511744,2544139
1786037289087318502,rayjob-bench-vnhlb/ray-job-submitter,102375424,113291264,115523584,3390158
1786037289087318502,raycluster-historyserver-head-2bm9z/collector,99282944,122478592,123564032,4824896
1786037289087318502,raycluster-historyserver-head-2bm9z/ray-head,2733187072,2792620032,2793914368,21138565
1786037290148241002,raycluster-historyserver-cpu-worker-pvrxv/ray-worker,966737920,1007075328,1019891712,20688928
1786037290148241002,raycluster-historyserver-cpu-worker-pvrxv/collector,113242112,128307200,128507904,2916943
