time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786037422057356133,raycluster-historyserver-cpu-worker-frr4g/collector,56070144,57069568,59183104,579612
1786037422057356133,raycluster-historyserver-cpu-worker-frr4g/ray-worker,282415104,302284800,304279552,3078380
1786037422057356133,raycluster-historyserver-head-9l47c/ray-head,2412285952,2463199232,2465529856,12750272
1786037422057356133,raycluster-historyserver-head-9l47c/collector,62054400,62988288,63410176,764067
1786037423094647884,rayjob-bench-mnvtx/ray-job-submitter,54259712,59875328,60862464,641206
1786037423094647884,raycluster-historyserver-cpu-worker-frr4g/collector,56070144,57069568,59183104,579612
1786037423094647884,raycluster-historyserver-cpu-worker-frr4g/ray-worker,282624000,302501888,304279552,3088998
1786037423094647884,raycluster-historyserver-head-9l47c/ray-head,2412503040,2463420416,2466828288,12813428
1786037423094647884,raycluster-historyserver-head-9l47c/collector,62054400,62988288,63410176,764262
1786037424136480592,rayjob-bench-mnvtx/ray-job-submitter,15704064,25649152,115281920,1671916
1786037424136480592,raycluster-historyserver-cpu-worker-frr4g/collector,56070144,57069568,59183104,579612
1786037424136480592,raycluster-historyserver-cpu-worker-frr4g/ray-worker,282808320,302694400,304279552,3099945
1786037424136480592,raycluster-historyserver-head-9l47c/ray-head,2412597248,2463596544,2466828288,12860956
1786037424136480592,raycluster-historyserver-head-9l47c/collector,62054400,62992384,63410176,765489
1786037425185926510,rayjob-bench-mnvtx/ray-job-submitter,102526976,113561600,115281920,2517962
1786037425185926510,raycluster-historyserver-cpu-worker-frr4g/collector,56094720,57094144,59183104,582487
1786037425185926510,raycluster-historyserver-cpu-worker-frr4g/ray-worker,282832896,302718976,304279552,3109873
1786037425185926510,raycluster-historyserver-head-9l47c/ray-head,2438807552,2492321792,2493091840,13610631
1786037425185926510,raycluster-historyserver-head-9l47c/collector,62054400,62988288,63410176,766118
1786037426232627302,rayjob-bench-mnvtx/ray-job-submitter,102092800,113307648,115281920,3549195
1786037426232627302,raycluster-historyserver-cpu-worker-frr4g/collector,56094720,57094144,59183104,582682
1786037426232627302,raycluster-historyserver-cpu-worker-frr4g/ray-worker,344825856,365592576,365592576,3490780
1786037426232627302,raycluster-historyserver-head-9l47c/ray-head,2572410880,2630144000,2631245824,14694931
1786037426232627302,raycluster-historyserver-head-9l47c/collector,62181376,63123456,63635456,775184
1786037427275563052,rayjob-bench-mnvtx/ray-job-submitter,102363136,113283072,115281920,3549195
1786037427275563052,raycluster-historyserver-cpu-worker-frr4g/collector,56094720,57094144,59183104,582682
1786037427275563052,raycluster-historyserver-cpu-worker-frr4g/ray-worker,579977216,608829440,611201024,5693258
1786037427275563052,raycluster-historyserver-head-9l47c/ray-head,2605899776,2663985152,2664747008,15249400
