time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T12:30:23.009413-05:00,job,raycluster-historyserver-head-9l47c,collector,2026-08-06T17:30:12Z,751533000,62963712
2026-08-06T12:30:23.009413-05:00,job,raycluster-historyserver-head-9l47c,ray-head,2026-08-06T17:30:13Z,12188482000,2452123648
2026-08-06T12:30:23.009413-05:00,job,raycluster-historyserver-cpu-worker-frr4g,ray-worker,2026-08-06T17:30:23Z,3087764000,296816640
2026-08-06T12:30:23.009413-05:00,job,raycluster-historyserver-cpu-worker-frr4g,collector,2026-08-06T17:30:23Z,579612000,57065472
2026-08-06T12:30:24.008192-05:00,job,raycluster-historyserver-head-9l47c,collector,2026-08-06T17:30:12Z,751533000,62963712
2026-08-06T12:30:24.008192-05:00,job,raycluster-historyserver-head-9l47c,ray-head,2026-08-06T17:30:13Z,12188482000,2452123648
2026-08-06T12:30:24.008192-05:00,job,raycluster-historyserver-cpu-worker-frr4g,ray-worker,2026-08-06T17:30:23Z,3094145000,297013248
2026-08-06T12:30:24.008192-05:00,job,raycluster-historyserver-cpu-worker-frr4g,collector,2026-08-06T17:30:24Z,579612000,57065472
2026-08-06T12:30:25.007233-05:00,job,raycluster-historyserver-head-9l47c,collector,2026-08-06T17:30:12Z,751533000,62963712
2026-08-06T12:30:25.007233-05:00,job,raycluster-historyserver-head-9l47c,ray-head,2026-08-06T17:30:13Z,12188482000,2452123648
2026-08-06T12:30:25.007233-05:00,job,raycluster-historyserver-cpu-worker-frr4g,ray-worker,2026-08-06T17:30:23Z,3094145000,297013248
2026-08-06T12:30:25.007233-05:00,job,raycluster-historyserver-cpu-worker-frr4g,collector,2026-08-06T17:30:25Z,582487000,57090048
2026-08-06T12:30:26.010237-05:00,job,raycluster-historyserver-head-9l47c,collector,2026-08-06T17:30:12Z,751533000,62963712
2026-08-06T12:30:26.010237-05:00,job,raycluster-historyserver-head-9l47c,ray-head,2026-08-06T17:30:13Z,12188482000,2452123648
2026-08-06T12:30:26.010237-05:00,job,raycluster-historyserver-cpu-worker-frr4g,collector,2026-08-06T17:30:26Z,582682000,57090048
2026-08-06T12:30:26.010237-05:00,job,raycluster-historyserver-cpu-worker-frr4g,ray-worker,2026-08-06T17:30:23Z,3094145000,297013248
2026-08-06T12:30:27.008104-05:00,job,raycluster-historyserver-cpu-worker-frr4g,ray-worker,2026-08-06T17:30:23Z,3094145000,297013248
2026-08-06T12:30:27.008104-05:00,job,raycluster-historyserver-cpu-worker-frr4g,collector,2026-08-06T17:30:27Z,582682000,57090048
2026-08-06T12:30:27.008104-05:00,job,raycluster-historyserver-head-9l47c,ray-head,2026-08-06T17:30:13Z,12188482000,2452123648
