time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786037748220252423,raycluster-historyserver-cpu-worker-8dr88/collector,55181312,56041472,57626624,561849
1786037748220252423,raycluster-historyserver-cpu-worker-8dr88/ray-worker,282251264,302030848,303665152,2985598
1786037748220252423,raycluster-historyserver-head-k7jpc/collector,60743680,61698048,62189568,630576
1786037748220252423,raycluster-historyserver-head-k7jpc/ray-head,2538352640,2592907264,2595098624,12217683
1786037749263747840,raycluster-historyserver-cpu-worker-8dr88/collector,55181312,56041472,57626624,561849
1786037749263747840,raycluster-historyserver-cpu-worker-8dr88/ray-worker,282476544,302268416,303665152,2996491
1786037749263747840,raycluster-historyserver-head-k7jpc/collector,60743680,61698048,62189568,630701
1786037749263747840,raycluster-historyserver-head-k7jpc/ray-head,2538545152,2593243136,2596753408,12280033
1786037749263747840,rayjob-bench-7mt62/ray-job-submitter,56119296,61751296,61751296,607560
1786037750305975049,raycluster-historyserver-cpu-worker-8dr88/collector,55181312,56041472,57626624,561849
1786037750305975049,raycluster-historyserver-cpu-worker-8dr88/ray-worker,282669056,302469120,303665152,3006381
1786037750305975049,raycluster-historyserver-head-k7jpc/collector,60743680,61698048,62189568,630701
1786037750305975049,raycluster-historyserver-head-k7jpc/ray-head,2538905600,2593591296,2596753408,12312982
1786037750305975049,rayjob-bench-7mt62/ray-job-submitter,35647488,45887488,116305920,1634168
1786037751345998424,raycluster-historyserver-cpu-worker-8dr88/collector,55181312,56041472,57626624,561849
1786037751345998424,raycluster-historyserver-cpu-worker-8dr88/ray-worker,282894336,302702592,303665152,3016789
1786037751345998424,raycluster-historyserver-head-k7jpc/collector,60760064,61710336,62189568,632260
1786037751345998424,raycluster-historyserver-head-k7jpc/ray-head,2576855040,2633777152,2649030656,13383436
1786037751345998424,rayjob-bench-7mt62/ray-job-submitter,23109632,33275904,116305920,2517628
1786037752390724550,raycluster-historyserver-cpu-worker-8dr88/collector,55189504,56049664,57626624,564558
1786037752390724550,raycluster-historyserver-cpu-worker-8dr88/ray-worker,436719616,460816384,461910016,3941600
1786037752390724550,raycluster-historyserver-head-k7jpc/collector,60821504,61779968,62287872,637373
1786037752390724550,raycluster-historyserver-head-k7jpc/ray-head,2700607488,2761261056,2762715136,14295513
1786037752390724550,rayjob-bench-7mt62/ray-job-submitter,102354944,113274880,116305920,3319268
1786037753437794092,raycluster-historyserver-cpu-worker-8dr88/collector,55189504,56049664,57626624,564630
1786037753437794092,raycluster-historyserver-cpu-worker-8dr88/ray-worker,619417600,650321920,651403264,5944641
1786037753437794092,raycluster-historyserver-head-k7jpc/collector,68706304,69738496,71737344,707531
1786037753437794092,raycluster-historyserver-head-k7jpc/ray-head,2752188416,2813190144,2815819776,15032244
1786037753437794092,rayjob-bench-7mt62/ray-job-submitter,102359040,113278976,116305920,3319503
1786037754483122593,raycluster-historyserver-cpu-worker-8dr88/collector,67600384,69988352,71565312,848205
1786037754483122593,raycluster-historyserver-cpu-worker-8dr88/ray-worker,806723584,842178560,842825728,8142498
1786037754483122593,raycluster-historyserver-head-k7jpc/collector,89927680,94175232,97165312,1317084
1786037754483122593,raycluster-historyserver-head-k7jpc/ray-head,2784694272,2845675520,2849259520,15991243
1786037754483122593,rayjob-bench-7mt62/ray-job-submitter,102363136,113283072,116305920,3319652
1786037755524738260,raycluster-historyserver-cpu-worker-8dr88/collector,65249280,68710400,74108928,1067355
1786037755524738260,raycluster-historyserver-cpu-worker-8dr88/ray-worker,927690752,967774208,969306112,10140727
1786037755524738260,raycluster-historyserver-head-k7jpc/collector,97951744,106967040,107229184,2186833
1786037755524738260,raycluster-historyserver-head-k7jpc/ray-head,2785107968,2846248960,2851196928,16578606
1786037755524738260,rayjob-bench-7mt62/ray-job-submitter,102367232,113287168,116305920,3319798
1786037756563732677,raycluster-historyserver-cpu-worker-8dr88/collector,73670656,78901248,79155200,1345061
1786037756563732677,raycluster-historyserver-cpu-worker-8dr88/ray-worker,948011008,987922432,990248960,12296438
1786037756563732677,raycluster-historyserver-head-k7jpc/collector,84742144,94224384,112615424,2330463
1786037756563732677,raycluster-historyserver-head-k7jpc/ray-head,2823036928,2884833280,2885558272,17803321
1786037756563732677,rayjob-bench-7mt62/ray-job-submitter,102367232,113287168,116305920,3319932
1786037757612911969,raycluster-historyserver-cpu-worker-8dr88/collector,73768960,81215488,82563072,1770624
1786037757612911969,raycluster-historyserver-cpu-worker-8dr88/ray-worker,916709376,955863040,993832960,14339057
1786037757612911969,raycluster-historyserver-head-k7jpc/collector,101404672,115417088,115527680,3059764
1786037757612911969,raycluster-historyserver-head-k7jpc/ray-head,2833805312,2895151104,2900574208,18749037
1786037757612911969,rayjob-bench-7mt62/ray-job-submitter,102367232,113287168,116305920,3320066
