time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T12:35:49.176697-05:00,job,raycluster-historyserver-head-k7jpc,ray-head,2026-08-06T17:35:47Z,12157248000,2585808896
2026-08-06T12:35:49.176697-05:00,job,raycluster-historyserver-head-k7jpc,collector,2026-08-06T17:35:43Z,626107000,61685760
2026-08-06T12:35:49.176697-05:00,job,raycluster-historyserver-cpu-worker-8dr88,ray-worker,2026-08-06T17:35:46Z,2925669000,295243776
2026-08-06T12:35:49.176697-05:00,job,raycluster-historyserver-cpu-worker-8dr88,collector,2026-08-06T17:35:49Z,561849000,56037376
2026-08-06T12:35:50.176406-05:00,job,raycluster-historyserver-cpu-worker-8dr88,ray-worker,2026-08-06T17:35:46Z,2925669000,295243776
2026-08-06T12:35:50.176406-05:00,job,raycluster-historyserver-cpu-worker-8dr88,collector,2026-08-06T17:35:49Z,561849000,56037376
2026-08-06T12:35:50.176406-05:00,job,raycluster-historyserver-head-k7jpc,ray-head,2026-08-06T17:35:47Z,12157248000,2585808896
2026-08-06T12:35:50.176406-05:00,job,raycluster-historyserver-head-k7jpc,collector,2026-08-06T17:35:43Z,626107000,61685760
2026-08-06T12:35:51.17663-05:00,job,raycluster-historyserver-head-k7jpc,ray-head,2026-08-06T17:35:47Z,12157248000,2585808896
2026-08-06T12:35:51.17663-05:00,job,raycluster-historyserver-head-k7jpc,collector,2026-08-06T17:35:43Z,626107000,61685760
2026-08-06T12:35:51.17663-05:00,job,raycluster-historyserver-cpu-worker-8dr88,collector,2026-08-06T17:35:49Z,561849000,56037376
2026-08-06T12:35:51.17663-05:00,job,raycluster-historyserver-cpu-worker-8dr88,ray-worker,2026-08-06T17:35:46Z,2925669000,295243776
2026-08-06T12:35:52.176405-05:00,job,raycluster-historyserver-head-k7jpc,ray-head,2026-08-06T17:35:47Z,12157248000,2585808896
2026-08-06T12:35:52.176405-05:00,job,raycluster-historyserver-head-k7jpc,collector,2026-08-06T17:35:43Z,626107000,61685760
2026-08-06T12:35:52.176405-05:00,job,raycluster-historyserver-cpu-worker-8dr88,collector,2026-08-06T17:35:49Z,561849000,56037376
2026-08-06T12:35:52.176405-05:00,job,raycluster-historyserver-cpu-worker-8dr88,ray-worker,2026-08-06T17:35:46Z,2925669000,295243776
2026-08-06T12:35:53.17588-05:00,job,raycluster-historyserver-head-k7jpc,collector,2026-08-06T17:35:43Z,626107000,61685760
2026-08-06T12:35:53.17588-05:00,job,raycluster-historyserver-head-k7jpc,ray-head,2026-08-06T17:35:47Z,12157248000,2585808896
2026-08-06T12:35:53.17588-05:00,job,raycluster-historyserver-cpu-worker-8dr88,ray-worker,2026-08-06T17:35:46Z,2925669000,295243776
2026-08-06T12:35:53.17588-05:00,job,raycluster-historyserver-cpu-worker-8dr88,collector,2026-08-06T17:35:49Z,561849000,56037376
