time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786037623363468962,raycluster-historyserver-head-2r25k/ray-head,2460262400,2511556608,2513297408,12568483
1786037623363468962,raycluster-historyserver-head-2r25k/collector,61411328,62410752,63119360,677163
1786037623363468962,raycluster-historyserver-cpu-worker-l5mm6/collector,54935552,55828480,56713216,546099
1786037623363468962,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,283750400,303501312,305147904,3036911
1786037624399446379,rayjob-bench-xsv85/ray-job-submitter,23228416,25579520,26599424,310893
1786037624399446379,raycluster-historyserver-head-2r25k/ray-head,2456481792,2511532032,2513297408,12635336
1786037624399446379,raycluster-historyserver-head-2r25k/collector,61411328,62410752,63119360,677163
1786037624399446379,raycluster-historyserver-cpu-worker-l5mm6/collector,54935552,55828480,56713216,546099
1786037624399446379,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,283942912,303702016,305147904,3050643
1786037625446571838,rayjob-bench-xsv85/ray-job-submitter,96387072,107778048,107778048,1330772
1786037625446571838,raycluster-historyserver-head-2r25k/ray-head,2456535040,2511716352,2514931712,12696073
1786037625446571838,raycluster-historyserver-head-2r25k/collector,61419520,62423040,63119360,678483
1786037625446571838,raycluster-historyserver-cpu-worker-l5mm6/collector,54935552,55828480,56713216,546099
1786037625446571838,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,284131328,303898624,305147904,3060778
1786037626499616672,rayjob-bench-xsv85/ray-job-submitter,92319744,103559168,115544064,2376904
1786037626499616672,raycluster-historyserver-head-2r25k/ray-head,2457677824,2512883712,2514931712,12769613
1786037626499616672,raycluster-historyserver-head-2r25k/collector,61419520,62423040,63119360,678483
1786037626499616672,raycluster-historyserver-cpu-worker-l5mm6/collector,55029760,55922688,56713216,548930
1786037626499616672,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,284311552,304087040,305209344,3070892
1786037627551907881,rayjob-bench-xsv85/ray-job-submitter,64782336,75649024,115544064,3229469
1786037627551907881,raycluster-historyserver-head-2r25k/ray-head,2568335360,2628055040,2628055040,14152335
1786037627551907881,raycluster-historyserver-head-2r25k/collector,61427712,62427136,63119360,682757
1786037627551907881,raycluster-historyserver-cpu-worker-l5mm6/collector,55029760,55922688,56713216,549076
1786037627551907881,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,284549120,304340992,305209344,3083018
1786037628607039006,rayjob-bench-xsv85/ray-job-submitter,102363136,113287168,115544064,3593932
1786037628607039006,raycluster-historyserver-head-2r25k/ray-head,2620669952,2682105856,2682105856,14713548
1786037628607039006,raycluster-historyserver-head-2r25k/collector,61599744,62615552,63119360,686550
1786037628607039006,raycluster-historyserver-cpu-worker-l5mm6/collector,55029760,55922688,56713216,549076
1786037628607039006,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,549355520,576978944,577466368,4895063
1786037629668624424,rayjob-bench-xsv85/ray-job-submitter,102379520,113303552,115544064,3594322
1786037629668624424,raycluster-historyserver-head-2r25k/ray-head,2680045568,2741944320,2747039744,15634017
1786037629668624424,raycluster-historyserver-head-2r25k/collector,89698304,93966336,94130176,1274793
1786037629668624424,raycluster-historyserver-cpu-worker-l5mm6/collector,59232256,60186624,60444672,587250
1786037629668624424,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,733192192,767299584,769372160,7075575
1786037630736565132,rayjob-bench-xsv85/ray-job-submitter,102379520,113303552,115544064,3594322
1786037630736565132,raycluster-historyserver-head-2r25k/ray-head,2712006656,2774212608,2774761472,16547626
1786037630736565132,raycluster-historyserver-head-2r25k/collector,95440896,102309888,104263680,1883724
1786037630736565132,raycluster-historyserver-cpu-worker-l5mm6/collector,70021120,73744384,74194944,1053497
1786037630736565132,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,882507776,920829952,921825280,9102579
1786037631792611675,rayjob-bench-xsv85/ray-job-submitter,102379520,113303552,115544064,3594322
1786037631792611675,raycluster-historyserver-head-2r25k/ray-head,2733719552,2795634688,2796167168,17606001
1786037631792611675,raycluster-historyserver-head-2r25k/collector,100581376,110067712,112615424,2518331
1786037631792611675,raycluster-historyserver-cpu-worker-l5mm6/collector,73666560,79622144,79765504,1454086
1786037631792611675,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,944541696,984580096,985915392,11293955
1786037632856495842,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3594473
1786037632856495842,raycluster-historyserver-head-2r25k/ray-head,2761375744,2823446528,2824704000,18783357
1786037632856495842,raycluster-historyserver-head-2r25k/collector,93851648,106356736,117932032,3089958
1786037632856495842,raycluster-historyserver-cpu-worker-l5mm6/collector,79261696,85352448,85606400,1559715
1786037632856495842,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,929374208,968667136,991723520,13391607
1786037633920510717,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3594689
1786037633920510717,raycluster-historyserver-head-2r25k/ray-head,2775236608,2837323776,2838564864,19877069
1786037633920510717,raycluster-historyserver-head-2r25k/collector,79757312,96661504,126578688,3682545
1786037633920510717,raycluster-historyserver-cpu-worker-l5mm6/collector,80248832,89616384,89681920,2051239
1786037633920510717,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,934289408,973856768,991723520,15496330
1786037634972562093,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3594881
1786037634972562093,raycluster-historyserver-head-2r25k/ray-head,2796158976,2859298816,2859728896,21122484
1786037634972562093,raycluster-historyserver-head-2r25k/collector,93126656,114294784,126578688,4250326
1786037634972562093,raycluster-historyserver-cpu-worker-l5mm6/collector,80248832,89616384,89681920,2051239
1786037634972562093,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,960282624,999694336,1000280064,17695003
1786037636035561510,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3595131
1786037636035561510,raycluster-historyserver-head-2r25k/ray-head,2818592768,2881904640,2882519040,22142668
1786037636035561510,raycluster-historyserver-head-2r25k/collector,101470208,127574016,128012288,5165522
1786037636035561510,raycluster-historyserver-cpu-worker-l5mm6/collector,95395840,110686208,110931968,3075047
1786037636035561510,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,970338304,1011068928,1012428800,19764233
1786037637109315260,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3595437
1786037637109315260,raycluster-historyserver-head-2r25k/ray-head,2872487936,2936102912,2937118720,23641488
1786037637109315260,raycluster-historyserver-head-2r25k/collector,105021440,131129344,138014720,5494197
1786037637109315260,raycluster-historyserver-cpu-worker-l5mm6/collector,95399936,110690304,110952448,3077148
1786037637109315260,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,966537216,1007079424,1012457472,21889929
1786037638164598594,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3595573
1786037638164598594,raycluster-historyserver-head-2r25k/ray-head,2917838848,2984431616,2985054208,25291526
1786037638164598594,raycluster-historyserver-head-2r25k/collector,118775808,152731648,153251840,6586642
1786037638164598594,raycluster-historyserver-cpu-worker-l5mm6/collector,111296512,126615552,126881792,3250657
1786037638164598594,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,991076352,1032089600,1033187328,24088869
1786037639254406636,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3595704
1786037639254406636,raycluster-historyserver-head-2r25k/ray-head,3051716608,3120295936,3121754112,27540751
1786037639254406636,raycluster-historyserver-head-2r25k/collector,126595072,160620544,166465536,6948126
1786037639254406636,raycluster-historyserver-cpu-worker-l5mm6/collector,110727168,132866048,133120000,4273569
1786037639254406636,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,991293440,1032245248,1034739712,26179419
1786037640310447179,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3595830
1786037640310447179,raycluster-historyserver-head-2r25k/ray-head,3061993472,3130621952,3139547136,28418196
1786037640310447179,raycluster-historyserver-head-2r25k/collector,134914048,177012736,177311744,8012821
1786037640310447179,raycluster-historyserver-cpu-worker-l5mm6/collector,110727168,132866048,133120000,4273569
1786037640310447179,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,992313344,1033121792,1035231232,28288167
1786037641366425304,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3595968
1786037641366425304,raycluster-historyserver-head-2r25k/ray-head,3089899520,3158892544,3159891968,29863864
1786037641366425304,raycluster-historyserver-head-2r25k/collector,111902720,154030080,195350528,8475692
1786037641366425304,raycluster-historyserver-cpu-worker-l5mm6/collector,88719360,110870528,142651392,4739147
1786037641366425304,raycluster-historyserver-cpu-worker-l5mm6/ray-worker,1006510080,1047838720,1052684288,30432802
1786037642425482680,rayjob-bench-xsv85/ray-job-submitter,102383616,113307648,115544064,3596095
