time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T12:39:04.478671-05:00,job,raycluster-historyserver-head-9nh72,ray-head,2026-08-06T17:38:59Z,12324522000,2607894528
2026-08-06T12:39:04.478671-05:00,job,raycluster-historyserver-head-9nh72,collector,2026-08-06T17:38:57Z,652185000,61657088
2026-08-06T12:39:04.478671-05:00,job,raycluster-historyserver-cpu-worker-r95qh,ray-worker,2026-08-06T17:39:01Z,3084346000,295522304
2026-08-06T12:39:04.478671-05:00,job,raycluster-historyserver-cpu-worker-r95qh,collector,2026-08-06T17:39:02Z,601739000,56627200
2026-08-06T12:39:05.478655-05:00,job,raycluster-historyserver-head-9nh72,collector,2026-08-06T17:38:57Z,652185000,61657088
2026-08-06T12:39:05.478655-05:00,job,raycluster-historyserver-head-9nh72,ray-head,2026-08-06T17:38:59Z,12324522000,2607894528
2026-08-06T12:39:05.478655-05:00,job,raycluster-historyserver-cpu-worker-r95qh,ray-worker,2026-08-06T17:39:01Z,3084346000,295522304
2026-08-06T12:39:05.478655-05:00,job,raycluster-historyserver-cpu-worker-r95qh,collector,2026-08-06T17:39:02Z,601739000,56627200
2026-08-06T12:39:06.477781-05:00,job,raycluster-historyserver-head-9nh72,collector,2026-08-06T17:38:57Z,652185000,61657088
2026-08-06T12:39:06.477781-05:00,job,raycluster-historyserver-head-9nh72,ray-head,2026-08-06T17:38:59Z,12324522000,2607894528
2026-08-06T12:39:06.477781-05:00,job,raycluster-historyserver-cpu-worker-r95qh,ray-worker,2026-08-06T17:39:01Z,3084346000,295522304
2026-08-06T12:39:06.477781-05:00,job,raycluster-historyserver-cpu-worker-r95qh,collector,2026-08-06T17:39:02Z,601739000,56627200
2026-08-06T12:39:07.477778-05:00,job,raycluster-historyserver-head-9nh72,ray-head,2026-08-06T17:38:59Z,12324522000,2607894528
2026-08-06T12:39:07.477778-05:00,job,raycluster-historyserver-head-9nh72,collector,2026-08-06T17:38:57Z,652185000,61657088
2026-08-06T12:39:07.477778-05:00,job,raycluster-historyserver-cpu-worker-r95qh,collector,2026-08-06T17:39:02Z,601739000,56627200
2026-08-06T12:39:07.477778-05:00,job,raycluster-historyserver-cpu-worker-r95qh,ray-worker,2026-08-06T17:39:01Z,3084346000,295522304
2026-08-06T12:39:08.478704-05:00,job,raycluster-historyserver-head-9nh72,collector,2026-08-06T17:38:57Z,652185000,61657088
2026-08-06T12:39:08.478704-05:00,job,raycluster-historyserver-head-9nh72,ray-head,2026-08-06T17:38:59Z,12324522000,2607894528
2026-08-06T12:39:08.478704-05:00,job,raycluster-historyserver-cpu-worker-r95qh,collector,2026-08-06T17:39:02Z,601739000,56627200
2026-08-06T12:39:08.478704-05:00,job,raycluster-historyserver-cpu-worker-r95qh,ray-worker,2026-08-06T17:39:01Z,3084346000,295522304
2026-08-06T12:39:09.477862-05:00,job,raycluster-historyserver-cpu-worker-r95qh,collector,2026-08-06T17:39:02Z,601739000,56627200
2026-08-06T12:39:09.477862-05:00,job,raycluster-historyserver-cpu-worker-r95qh,ray-worker,2026-08-06T17:39:01Z,3084346000,295522304
