time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786038263795342717,raycluster-historyserver-cpu-worker-gxbc2/collector,55709696,56614912,58241024,572245
1786038263795342717,raycluster-historyserver-cpu-worker-gxbc2/ray-worker,282406912,302219264,304472064,2799078
1786038263795342717,raycluster-historyserver-head-tkbj9/collector,61493248,62488576,64536576,635596
1786038263795342717,raycluster-historyserver-head-tkbj9/ray-head,2627686400,2677358592,2680889344,10696476
1786038264835625551,raycluster-historyserver-cpu-worker-gxbc2/collector,55709696,56614912,58241024,572245
1786038264835625551,raycluster-historyserver-cpu-worker-gxbc2/ray-worker,282615808,302424064,304472064,2808481
1786038264835625551,raycluster-historyserver-head-tkbj9/collector,61493248,62488576,64536576,635596
1786038264835625551,raycluster-historyserver-head-tkbj9/ray-head,2627772416,2677420032,2680889344,10730890
1786038264835625551,rayjob-bench-8w4tz/ray-job-submitter,61513728,68145152,68399104,691026
1786038265876162635,raycluster-historyserver-cpu-worker-gxbc2/collector,55709696,56614912,58241024,572245
1786038265876162635,raycluster-historyserver-cpu-worker-gxbc2/ray-worker,282796032,302612480,304472064,2816867
1786038265876162635,raycluster-historyserver-head-tkbj9/collector,61526016,62525440,64536576,636712
1786038265876162635,raycluster-historyserver-head-tkbj9/ray-head,2628460544,2678300672,2681163776,10803185
1786038265876162635,rayjob-bench-8w4tz/ray-job-submitter,48566272,58589184,115777536,1664458
1786038266914008969,raycluster-historyserver-cpu-worker-gxbc2/collector,55861248,56770560,58241024,577672
1786038266914008969,raycluster-historyserver-cpu-worker-gxbc2/ray-worker,282992640,303005696,304472064,2827173
1786038266914008969,raycluster-historyserver-head-tkbj9/collector,61616128,62619648,64536576,639467
1786038266914008969,raycluster-historyserver-head-tkbj9/ray-head,2678996992,2730663936,2733379584,11909912
1786038266914008969,rayjob-bench-8w4tz/ray-job-submitter,35418112,45539328,115777536,2538243
1786038267951876011,raycluster-historyserver-cpu-worker-gxbc2/collector,55861248,56770560,58241024,577672
1786038267951876011,raycluster-historyserver-cpu-worker-gxbc2/ray-worker,444805120,469950464,470269952,3855504
1786038267951876011,raycluster-historyserver-head-tkbj9/collector,61685760,62697472,64536576,646608
1786038267951876011,raycluster-historyserver-head-tkbj9/ray-head,2788388864,2845024256,2846027776,12744836
1786038267951876011,rayjob-bench-8w4tz/ray-job-submitter,102379520,113307648,115777536,3260403
1786038269000709595,raycluster-historyserver-cpu-worker-gxbc2/collector,55861248,56770560,58241024,577672
1786038269000709595,raycluster-historyserver-cpu-worker-gxbc2/ray-worker,635097088,666247168,666951680,5959282
1786038269000709595,raycluster-historyserver-head-tkbj9/collector,68337664,70144000,71098368,761081
1786038269000709595,raycluster-historyserver-head-tkbj9/ray-head,2842558464,2902155264,2905104384,13603307
1786038269000709595,rayjob-bench-8w4tz/ray-job-submitter,102383616,113303552,115777536,3260596
1786038270041781929,raycluster-historyserver-cpu-worker-gxbc2/collector,65228800,67506176,68026368,847372
1786038270041781929,raycluster-historyserver-cpu-worker-gxbc2/ray-worker,811499520,847237120,847937536,8162857
