time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T12:51:02.020884-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:02.020884-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:02.020884-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:02.020884-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:50:50Z,675511000,62844928
2026-08-06T12:51:03.020932-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:50:50Z,675511000,62844928
2026-08-06T12:51:03.020932-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:03.020932-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:03.020932-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:04.020929-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:04.020929-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:04.020929-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:04.020929-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:05.020334-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:05.020334-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:05.020334-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:05.020334-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:06.022436-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:06.022436-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:06.022436-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:06.022436-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:07.021013-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:07.021013-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:07.021013-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:07.021013-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:08.021655-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:08.021655-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:08.021655-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:08.021655-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:09.021021-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:09.021021-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:09.021021-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:09.021021-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:10.020524-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:10.020524-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:10.020524-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:10.020524-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:11.021125-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:11.021125-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:50:56Z,11900640000,2774532096
2026-08-06T12:51:11.021125-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:11.021125-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:12.021093-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:12.021093-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:12.021093-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:51:11Z,19514639000,3071168512
2026-08-06T12:51:12.021093-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:13.020856-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:51:11Z,19514639000,3071168512
2026-08-06T12:51:13.020856-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:13.020856-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:13.020856-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:14.020525-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:51:11Z,19514639000,3071168512
2026-08-06T12:51:14.020525-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:14.020525-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:14.020525-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:01Z,557275000,55721984
2026-08-06T12:51:15.020097-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:15.020097-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:51:11Z,19514639000,3071168512
2026-08-06T12:51:15.020097-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:15.020097-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:14Z,3332811000,101150720
2026-08-06T12:51:16.021087-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:16.021087-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:51:11Z,19514639000,3071168512
2026-08-06T12:51:16.021087-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:14Z,3332811000,101150720
2026-08-06T12:51:16.021087-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:17.021005-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:51:11Z,19514639000,3071168512
2026-08-06T12:51:17.021005-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:17.021005-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:17.021005-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:14Z,3332811000,101150720
2026-08-06T12:51:18.021286-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:18.021286-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:14Z,3332811000,101150720
2026-08-06T12:51:18.021286-05:00,job,raycluster-historyserver-head-phv49,ray-head,2026-08-06T17:51:11Z,19514639000,3071168512
2026-08-06T12:51:18.021286-05:00,job,raycluster-historyserver-head-phv49,collector,2026-08-06T17:51:03Z,695653000,62894080
2026-08-06T12:51:19.020154-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,ray-worker,2026-08-06T17:51:00Z,2965088000,297652224
2026-08-06T12:51:19.020154-05:00,job,raycluster-historyserver-cpu-worker-wqpg2,collector,2026-08-06T17:51:14Z,3332811000,101150720
