time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786038470506428841,raycluster-historyserver-cpu-worker-m4smw/collector,55111680,55992320,57892864,538602
1786038470506428841,raycluster-historyserver-cpu-worker-m4smw/ray-worker,282185728,302190592,303923200,2918638
1786038470506428841,raycluster-historyserver-head-8f76s/collector,61214720,62230528,62681088,663693
1786038470506428841,raycluster-historyserver-head-8f76s/ray-head,2684846080,2740072448,2742132736,11877249
1786038471542471883,raycluster-historyserver-cpu-worker-m4smw/collector,55111680,55992320,57892864,538602
1786038471542471883,raycluster-historyserver-cpu-worker-m4smw/ray-worker,282460160,302252032,303923200,2931076
1786038471542471883,raycluster-historyserver-head-8f76s/collector,61214720,62230528,62681088,663940
1786038471542471883,raycluster-historyserver-head-8f76s/ray-head,2684968960,2740449280,2743926784,11933777
1786038471542471883,rayjob-bench-cpnbk/ray-job-submitter,55205888,60780544,60780544,604803
1786038472581166508,raycluster-historyserver-cpu-worker-m4smw/collector,55111680,55992320,57892864,538602
1786038472581166508,raycluster-historyserver-cpu-worker-m4smw/ray-worker,282652672,302456832,303923200,2940689
1786038472581166508,raycluster-historyserver-head-8f76s/collector,61214720,62230528,62681088,663940
1786038472581166508,raycluster-historyserver-head-8f76s/ray-head,2685181952,2740404224,2743926784,11975944
1786038472581166508,rayjob-bench-cpnbk/ray-job-submitter,33878016,44441600,115740672,1627809
1786038473617996634,raycluster-historyserver-cpu-worker-m4smw/collector,55111680,55992320,57892864,538602
1786038473617996634,raycluster-historyserver-cpu-worker-m4smw/ray-worker,282865664,302686208,303923200,2950526
1786038473617996634,raycluster-historyserver-head-8f76s/collector,61214720,62275584,62681088,667966
1786038473617996634,raycluster-historyserver-head-8f76s/ray-head,2709483520,2766663680,2797326336,12992957
1786038473617996634,rayjob-bench-cpnbk/ray-job-submitter,13664256,23601152,115740672,2499998
1786038474656290384,raycluster-historyserver-cpu-worker-m4smw/collector,55140352,56020992,57892864,540577
1786038474656290384,raycluster-historyserver-cpu-worker-m4smw/ray-worker,434851840,458956800,459993088,3774550
1786038474656290384,raycluster-historyserver-head-8f76s/collector,61345792,62373888,62808064,672767
1786038474656290384,raycluster-historyserver-head-8f76s/ray-head,2846601216,2907684864,2909138944,13864712
1786038474656290384,rayjob-bench-cpnbk/ray-job-submitter,102367232,113287168,115740672,3312915
1786038475693382051,raycluster-historyserver-cpu-worker-m4smw/collector,55140352,56020992,57892864,540708
1786038475693382051,raycluster-historyserver-cpu-worker-m4smw/ray-worker,659197952,691433472,692224000,5869431
1786038475693382051,raycluster-historyserver-head-8f76s/collector,68689920,69828608,70090752,720364
1786038475693382051,raycluster-historyserver-head-8f76s/ray-head,2897956864,2960494592,2963431424,14567190
1786038475693382051,rayjob-bench-cpnbk/ray-job-submitter,102375424,113295360,115740672,3313080
1786038476738897969,raycluster-historyserver-cpu-worker-m4smw/collector,66682880,69173248,70410240,839429
1786038476738897969,raycluster-historyserver-cpu-worker-m4smw/ray-worker,827871232,863379456,864407552,7977566
1786038476738897969,raycluster-historyserver-head-8f76s/collector,92442624,96997376,100372480,1289373
1786038476738897969,raycluster-historyserver-head-8f76s/ray-head,2928693248,2991362048,2994831360,15495446
1786038476738897969,rayjob-bench-cpnbk/ray-job-submitter,102379520,113299456,115740672,3313221
1786038477777973719,raycluster-historyserver-cpu-worker-m4smw/collector,67862528,71139328,78086144,1074193
