time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T12:47:51.443116-05:00,job,raycluster-historyserver-cpu-worker-m4smw,ray-worker,2026-08-06T17:47:51Z,2930557000,296570880
2026-08-06T12:47:51.443116-05:00,job,raycluster-historyserver-cpu-worker-m4smw,collector,2026-08-06T17:47:51Z,538602000,55988224
2026-08-06T12:47:51.443116-05:00,job,raycluster-historyserver-head-8f76s,ray-head,2026-08-06T17:47:42Z,11352872000,2727833600
2026-08-06T12:47:51.443116-05:00,job,raycluster-historyserver-head-8f76s,collector,2026-08-06T17:47:47Z,658968000,62181376
2026-08-06T12:47:52.442354-05:00,job,raycluster-historyserver-cpu-worker-m4smw,ray-worker,2026-08-06T17:47:52Z,2939989000,296775680
2026-08-06T12:47:52.442354-05:00,job,raycluster-historyserver-cpu-worker-m4smw,collector,2026-08-06T17:47:52Z,538602000,55988224
2026-08-06T12:47:52.442354-05:00,job,raycluster-historyserver-head-8f76s,ray-head,2026-08-06T17:47:42Z,11352872000,2727833600
2026-08-06T12:47:52.442354-05:00,job,raycluster-historyserver-head-8f76s,collector,2026-08-06T17:47:47Z,658968000,62181376
2026-08-06T12:47:53.443122-05:00,job,raycluster-historyserver-cpu-worker-m4smw,ray-worker,2026-08-06T17:47:52Z,2940028000,296775680
2026-08-06T12:47:53.443122-05:00,job,raycluster-historyserver-cpu-worker-m4smw,collector,2026-08-06T17:47:53Z,538602000,55988224
2026-08-06T12:47:53.443122-05:00,job,raycluster-historyserver-head-8f76s,ray-head,2026-08-06T17:47:42Z,11352872000,2727833600
2026-08-06T12:47:53.443122-05:00,job,raycluster-historyserver-head-8f76s,collector,2026-08-06T17:47:47Z,658968000,62181376
2026-08-06T12:47:54.442817-05:00,job,raycluster-historyserver-cpu-worker-m4smw,ray-worker,2026-08-06T17:47:52Z,2940028000,296775680
2026-08-06T12:47:54.442817-05:00,job,raycluster-historyserver-cpu-worker-m4smw,collector,2026-08-06T17:47:53Z,538602000,55988224
2026-08-06T12:47:54.442817-05:00,job,raycluster-historyserver-head-8f76s,ray-head,2026-08-06T17:47:42Z,11352872000,2727833600
2026-08-06T12:47:54.442817-05:00,job,raycluster-historyserver-head-8f76s,collector,2026-08-06T17:47:47Z,658968000,62181376
2026-08-06T12:47:55.443227-05:00,job,raycluster-historyserver-head-8f76s,ray-head,2026-08-06T17:47:42Z,11352872000,2727833600
2026-08-06T12:47:55.443227-05:00,job,raycluster-historyserver-head-8f76s,collector,2026-08-06T17:47:47Z,658968000,62181376
2026-08-06T12:47:55.443227-05:00,job,raycluster-historyserver-cpu-worker-m4smw,ray-worker,2026-08-06T17:47:52Z,2940028000,296775680
2026-08-06T12:47:55.443227-05:00,job,raycluster-historyserver-cpu-worker-m4smw,collector,2026-08-06T17:47:53Z,538602000,55988224
2026-08-06T12:47:56.443267-05:00,job,raycluster-historyserver-head-8f76s,ray-head,2026-08-06T17:47:42Z,11352872000,2727833600
2026-08-06T12:47:56.443267-05:00,job,raycluster-historyserver-head-8f76s,collector,2026-08-06T17:47:47Z,658968000,62181376
2026-08-06T12:47:56.443267-05:00,job,raycluster-historyserver-cpu-worker-m4smw,ray-worker,2026-08-06T17:47:52Z,2940028000,296775680
2026-08-06T12:47:56.443267-05:00,job,raycluster-historyserver-cpu-worker-m4smw,collector,2026-08-06T17:47:53Z,538602000,55988224
2026-08-06T12:47:57.442817-05:00,job,raycluster-historyserver-head-8f76s,ray-head,2026-08-06T17:47:42Z,11352872000,2727833600
2026-08-06T12:47:57.442817-05:00,job,raycluster-historyserver-head-8f76s,collector,2026-08-06T17:47:47Z,658968000,62181376
