time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786042777292964459,raycluster-historyserver-cpu-worker-ddp9j/ray-worker,282562560,302350336,304455680,3055427
1786042777292964459,raycluster-historyserver-cpu-worker-ddp9j/collector,55111680,55955456,57831424,604252
1786042777292964459,raycluster-historyserver-head-2mqnh/ray-head,3068530688,3119652864,3121586176,11986002
1786042777292964459,raycluster-historyserver-head-2mqnh/collector,60301312,61272064,61698048,640117
1786042778338343876,raycluster-historyserver-cpu-worker-ddp9j/ray-worker,282603520,302391296,304455680,3066332
1786042778338343876,raycluster-historyserver-cpu-worker-ddp9j/collector,55111680,55955456,57831424,604252
1786042778338343876,raycluster-historyserver-head-2mqnh/ray-head,3068702720,3120054272,3121586176,12027387
1786042778338343876,raycluster-historyserver-head-2mqnh/collector,60301312,61272064,61698048,640261
1786042778338343876,rayjob-bench-fs95q/ray-job-submitter,57966592,63778816,63778816,662299
1786042779386905835,raycluster-historyserver-cpu-worker-ddp9j/ray-worker,282791936,302587904,304455680,3076817
1786042779386905835,raycluster-historyserver-cpu-worker-ddp9j/collector,55111680,55955456,57831424,604252
1786042779386905835,raycluster-historyserver-head-2mqnh/ray-head,3068928000,3120021504,3122065408,12090254
1786042779386905835,raycluster-historyserver-head-2mqnh/collector,60301312,61272064,61698048,640261
1786042779386905835,rayjob-bench-fs95q/ray-job-submitter,27590656,37572608,115253248,1689975
1786042780427283252,raycluster-historyserver-cpu-worker-ddp9j/ray-worker,283004928,302809088,304455680,3088262
1786042780427283252,raycluster-historyserver-cpu-worker-ddp9j/collector,55877632,56766464,58048512,621636
1786042780427283252,raycluster-historyserver-head-2mqnh/ray-head,3107389440,3161968640,3162738688,12854762
1786042780427283252,raycluster-historyserver-head-2mqnh/collector,60301312,61272064,61698048,641976
1786042780427283252,rayjob-bench-fs95q/ray-job-submitter,102764544,113790976,115253248,2553352
1786042781472260711,raycluster-historyserver-cpu-worker-ddp9j/ray-worker,369750016,394649600,394911744,3594346
