time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T13:59:38.24948-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:38Z,3065218000,296701952
2026-08-06T13:59:38.24948-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:38Z,604252000,55951360
2026-08-06T13:59:38.24948-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:30Z,11621036000,3110379520
2026-08-06T13:59:38.24948-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:39.249532-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:39Z,604252000,55951360
2026-08-06T13:59:39.249532-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:39Z,3075301000,296902656
2026-08-06T13:59:39.249532-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:39.249532-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:30Z,11621036000,3110379520
2026-08-06T13:59:40.249554-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:30Z,11621036000,3110379520
2026-08-06T13:59:40.249554-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:40.249554-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:40Z,3085381000,297103360
2026-08-06T13:59:40.249554-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:40Z,621636000,56762368
2026-08-06T13:59:41.249649-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3097241000,297361408
2026-08-06T13:59:41.249649-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:41Z,621836000,56762368
2026-08-06T13:59:41.249649-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:41.249649-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:30Z,11621036000,3110379520
2026-08-06T13:59:42.249557-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:42.249557-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:42Z,621836000,56762368
2026-08-06T13:59:42.249557-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:30Z,11621036000,3110379520
2026-08-06T13:59:42.249557-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:43.24959-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:30Z,11621036000,3110379520
2026-08-06T13:59:43.24959-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:43.24959-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:43.24959-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:43Z,623394000,56926208
2026-08-06T13:59:44.249635-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:44.249635-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:30Z,11621036000,3110379520
2026-08-06T13:59:44.249635-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:43Z,901839000,67465216
2026-08-06T13:59:44.249635-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:45.249563-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:30Z,11621036000,3110379520
2026-08-06T13:59:45.249563-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:45.249563-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:45.249563-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:43Z,901839000,67465216
2026-08-06T13:59:46.249646-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:45Z,17011771000,3362201600
2026-08-06T13:59:46.249646-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:46.249646-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:46.249646-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:43Z,901839000,67465216
2026-08-06T13:59:47.24962-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:47.24962-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:45Z,17011771000,3362201600
2026-08-06T13:59:47.24962-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:43Z,901839000,67465216
2026-08-06T13:59:47.24962-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:48.249605-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:48.249605-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:43Z,901839000,67465216
2026-08-06T13:59:48.249605-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:48.249605-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:45Z,17011771000,3362201600
2026-08-06T13:59:49.24963-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:45Z,17011771000,3362201600
2026-08-06T13:59:49.24963-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:49.24963-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:49.24963-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:43Z,901839000,67465216
2026-08-06T13:59:50.249601-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,collector,2026-08-06T18:59:43Z,901839000,67465216
2026-08-06T13:59:50.249601-05:00,job,raycluster-historyserver-cpu-worker-ddp9j,ray-worker,2026-08-06T18:59:41Z,3629550000,393478144
2026-08-06T13:59:50.249601-05:00,job,raycluster-historyserver-head-2mqnh,collector,2026-08-06T18:59:35Z,635141000,61263872
2026-08-06T13:59:50.249601-05:00,job,raycluster-historyserver-head-2mqnh,ray-head,2026-08-06T18:59:45Z,17011771000,3362201600
