time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786038988888944470,raycluster-historyserver-cpu-worker-dn77x/ray-worker,285962240,305750016,307732480,3027762
1786038988888944470,raycluster-historyserver-cpu-worker-dn77x/collector,55676928,56631296,58314752,575707
1786038988888944470,raycluster-historyserver-head-5dds2/collector,62238720,63234048,64684032,639960
1786038988888944470,raycluster-historyserver-head-5dds2/ray-head,2791358464,2842206208,2845327360,11713271
1786038989939556387,raycluster-historyserver-cpu-worker-dn77x/ray-worker,286191616,305995776,307732480,3037635
1786038989939556387,raycluster-historyserver-cpu-worker-dn77x/collector,55676928,56631296,58314752,575707
1786038989939556387,rayjob-bench-fssm4/ray-job-submitter,57077760,63188992,63188992,681343
1786038989939556387,raycluster-historyserver-head-5dds2/collector,62238720,63234048,64684032,639960
1786038989939556387,raycluster-historyserver-head-5dds2/ray-head,2791469056,2842312704,2845327360,11747682
1786038990992474804,raycluster-historyserver-cpu-worker-dn77x/ray-worker,286363648,306176000,307732480,3047833
1786038990992474804,raycluster-historyserver-cpu-worker-dn77x/collector,55676928,56631296,58314752,575707
1786038990992474804,rayjob-bench-fssm4/ray-job-submitter,29392896,40202240,115953664,1726046
1786038990992474804,raycluster-historyserver-head-5dds2/collector,62238720,63234048,64684032,641097
1786038990992474804,raycluster-historyserver-head-5dds2/ray-head,2792296448,2843295744,2846244864,11836842
1786038992051507346,raycluster-historyserver-cpu-worker-dn77x/ray-worker,286556160,306376704,307732480,3058463
1786038992051507346,raycluster-historyserver-cpu-worker-dn77x/collector,55697408,56651776,58314752,578232
1786038992051507346,rayjob-bench-fssm4/ray-job-submitter,102772736,113795072,115953664,2585427
1786038992051507346,raycluster-historyserver-head-5dds2/collector,62238720,63234048,64684032,641740
1786038992051507346,raycluster-historyserver-head-5dds2/ray-head,2831638528,2884616192,2884878336,12627752
1786038993106478722,raycluster-historyserver-cpu-worker-dn77x/ray-worker,353955840,375468032,376037376,3509926
1786038993106478722,raycluster-historyserver-cpu-worker-dn77x/collector,55697408,56651776,58314752,578415
1786038993106478722,rayjob-bench-fssm4/ray-job-submitter,102350848,113270784,115953664,3562047
1786038993106478722,raycluster-historyserver-head-5dds2/collector,62345216,63356928,64684032,648846
1786038993106478722,raycluster-historyserver-head-5dds2/ray-head,2951954432,3008884736,3009785856,13678555
1786038994161775055,raycluster-historyserver-cpu-worker-dn77x/ray-worker,573812736,601808896,602025984,5671164
1786038994161775055,raycluster-historyserver-cpu-worker-dn77x/collector,55697408,56651776,58314752,578415
1786038994161775055,rayjob-bench-fssm4/ray-job-submitter,102363136,113283072,115953664,3562543
1786038994161775055,raycluster-historyserver-head-5dds2/collector,62345216,63356928,64684032,649041
1786038994161775055,raycluster-historyserver-head-5dds2/ray-head,2998681600,3055472640,3056156672,14466544
1786038995223443083,raycluster-historyserver-cpu-worker-dn77x/ray-worker,756695040,791412736,792457216,7872626
1786038995223443083,raycluster-historyserver-cpu-worker-dn77x/collector,67477504,69877760,70131712,849480
1786038995223443083,rayjob-bench-fssm4/ray-job-submitter,102363136,113283072,115953664,3562543
1786038995223443083,raycluster-historyserver-head-5dds2/collector,95064064,99340288,100560896,1381010
1786038995223443083,raycluster-historyserver-head-5dds2/ray-head,3012685824,3073155072,3076464640,15276031
1786038996286023000,raycluster-historyserver-cpu-worker-dn77x/ray-worker,892502016,931196928,933060608,9873585
1786038996286023000,raycluster-historyserver-cpu-worker-dn77x/collector,72028160,75112448,75493376,975674
1786038996286023000,rayjob-bench-fssm4/ray-job-submitter,102363136,113283072,115953664,3562543
1786038996286023000,raycluster-historyserver-head-5dds2/collector,86077440,92274688,100560896,1787685
1786038996286023000,raycluster-historyserver-head-5dds2/ray-head,3029868544,3090554880,3091841024,16032345
1786038997354028918,raycluster-historyserver-cpu-worker-dn77x/ray-worker,944705536,984924160,986431488,12070940
1786038997354028918,raycluster-historyserver-cpu-worker-dn77x/collector,73891840,79106048,79548416,1336281
1786038997354028918,rayjob-bench-fssm4/ray-job-submitter,102367232,113287168,115953664,3562722
