time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T12:56:29.841318-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:29Z,3036376000,300150784
2026-08-06T12:56:29.841318-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:29Z,575707000,56627200
2026-08-06T12:56:29.841318-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:19Z,629146000,63205376
2026-08-06T12:56:29.841318-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:30.840986-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:30Z,575707000,56627200
2026-08-06T12:56:30.840986-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:30Z,3040914000,300572672
2026-08-06T12:56:30.840986-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:19Z,629146000,63205376
2026-08-06T12:56:30.840986-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:31.841155-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:31.841155-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:19Z,629146000,63205376
2026-08-06T12:56:31.841155-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:31Z,577188000,56643584
2026-08-06T12:56:31.841155-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:30Z,3040914000,300572672
2026-08-06T12:56:32.841277-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:32.841277-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:32Z,645753000,63229952
2026-08-06T12:56:32.841277-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:32Z,578391000,56647680
2026-08-06T12:56:32.841277-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:30Z,3040914000,300572672
2026-08-06T12:56:33.841288-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:32Z,645753000,63229952
2026-08-06T12:56:33.841288-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:33.841288-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:30Z,3040914000,300572672
2026-08-06T12:56:33.841288-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:33Z,578415000,56647680
2026-08-06T12:56:34.841332-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:32Z,645753000,63229952
2026-08-06T12:56:34.841332-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:34.841332-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:30Z,3040914000,300572672
2026-08-06T12:56:34.841332-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:34Z,578415000,56647680
2026-08-06T12:56:35.841344-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:34Z,578415000,56647680
2026-08-06T12:56:35.841344-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:30Z,3040914000,300572672
2026-08-06T12:56:35.841344-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:35.841344-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:32Z,645753000,63229952
2026-08-06T12:56:36.841399-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:32Z,645753000,63229952
2026-08-06T12:56:36.841399-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:36.841399-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:30Z,3040914000,300572672
2026-08-06T12:56:36.841399-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:34Z,578415000,56647680
2026-08-06T12:56:37.841343-05:00,job,raycluster-historyserver-head-5dds2,ray-head,2026-08-06T17:56:23Z,11367330000,2833133568
2026-08-06T12:56:37.841343-05:00,job,raycluster-historyserver-head-5dds2,collector,2026-08-06T17:56:32Z,645753000,63229952
2026-08-06T12:56:37.841343-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:34Z,578415000,56647680
2026-08-06T12:56:37.841343-05:00,job,raycluster-historyserver-cpu-worker-dn77x,ray-worker,2026-08-06T17:56:30Z,3040914000,300572672
2026-08-06T12:56:38.841428-05:00,job,raycluster-historyserver-cpu-worker-dn77x,collector,2026-08-06T17:56:34Z,578415000,56647680
