time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786040392515844633,raycluster-historyserver-cpu-worker-z8x54/collector,55734272,56717312,58048512,592561
1786040392515844633,raycluster-historyserver-cpu-worker-z8x54/ray-worker,282222592,302055424,303398912,3002366
1786040392515844633,raycluster-historyserver-head-tgs8m/collector,60792832,61820928,62320640,667639
1786040392515844633,raycluster-historyserver-head-tgs8m/ray-head,2841538560,2891845632,2893574144,12891926
1786040393553706092,raycluster-historyserver-cpu-worker-z8x54/collector,55734272,56717312,58048512,592561
1786040393553706092,raycluster-historyserver-cpu-worker-z8x54/ray-worker,282480640,302276608,303398912,3012564
1786040393553706092,raycluster-historyserver-head-tgs8m/collector,60792832,61820928,62320640,667639
1786040393553706092,raycluster-historyserver-head-tgs8m/ray-head,2841509888,2891939840,2895372288,12949933
1786040393553706092,rayjob-bench-8n5n2/ray-job-submitter,54632448,60252160,60760064,664620
1786040394596681259,raycluster-historyserver-cpu-worker-z8x54/collector,55734272,56717312,58048512,592561
1786040394596681259,raycluster-historyserver-cpu-worker-z8x54/ray-worker,282669056,302473216,303398912,3023020
1786040394596681259,raycluster-historyserver-head-tgs8m/collector,60796928,61825024,62341120,668965
1786040394596681259,raycluster-historyserver-head-tgs8m/ray-head,2841722880,2892414976,2895372288,13001681
1786040394596681259,rayjob-bench-8n5n2/ray-job-submitter,22421504,32628736,116031488,1686684
1786040395636511760,raycluster-historyserver-cpu-worker-z8x54/collector,55848960,56832000,58048512,595085
1786040395636511760,raycluster-historyserver-cpu-worker-z8x54/ray-worker,282869760,302682112,303398912,3033676
1786040395636511760,raycluster-historyserver-head-tgs8m/collector,60796928,61820928,62341120,669695
1786040395636511760,raycluster-historyserver-head-tgs8m/ray-head,2872991744,2926456832,2926972928,14065220
1786040395636511760,rayjob-bench-8n5n2/ray-job-submitter,102576128,113807360,116031488,2589970
1786040396676667094,raycluster-historyserver-cpu-worker-z8x54/collector,55848960,56832000,58048512,595085
1786040396676667094,raycluster-historyserver-cpu-worker-z8x54/ray-worker,344870912,365445120,365445120,3403467
1786040396676667094,raycluster-historyserver-head-tgs8m/collector,60928000,61960192,62464000,677187
1786040396676667094,raycluster-historyserver-head-tgs8m/ray-head,2999611392,3057795072,3059068928,15137679
