time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T13:19:53.468316-05:00,job,raycluster-historyserver-head-tgs8m,ray-head,2026-08-06T18:19:43Z,12420231000,2879287296
2026-08-06T13:19:53.468316-05:00,job,raycluster-historyserver-head-tgs8m,collector,2026-08-06T18:19:45Z,660411000,61792256
2026-08-06T13:19:53.468316-05:00,job,raycluster-historyserver-cpu-worker-z8x54,collector,2026-08-06T18:19:53Z,592561000,56713216
2026-08-06T13:19:53.468316-05:00,job,raycluster-historyserver-cpu-worker-z8x54,ray-worker,2026-08-06T18:19:53Z,3012011000,296595456
2026-08-06T13:19:54.467557-05:00,job,raycluster-historyserver-head-tgs8m,ray-head,2026-08-06T18:19:43Z,12420231000,2879287296
2026-08-06T13:19:54.467557-05:00,job,raycluster-historyserver-head-tgs8m,collector,2026-08-06T18:19:45Z,660411000,61792256
2026-08-06T13:19:54.467557-05:00,job,raycluster-historyserver-cpu-worker-z8x54,collector,2026-08-06T18:19:53Z,592561000,56713216
2026-08-06T13:19:54.467557-05:00,job,raycluster-historyserver-cpu-worker-z8x54,ray-worker,2026-08-06T18:19:54Z,3022094000,296792064
2026-08-06T13:19:55.46778-05:00,job,raycluster-historyserver-head-tgs8m,ray-head,2026-08-06T18:19:43Z,12420231000,2879287296
2026-08-06T13:19:55.46778-05:00,job,raycluster-historyserver-head-tgs8m,collector,2026-08-06T18:19:45Z,660411000,61792256
2026-08-06T13:19:55.46778-05:00,job,raycluster-historyserver-cpu-worker-z8x54,collector,2026-08-06T18:19:53Z,592561000,56713216
2026-08-06T13:19:55.46778-05:00,job,raycluster-historyserver-cpu-worker-z8x54,ray-worker,2026-08-06T18:19:55Z,3031021000,296792064
2026-08-06T13:19:56.467512-05:00,job,raycluster-historyserver-head-tgs8m,ray-head,2026-08-06T18:19:43Z,12420231000,2879287296
2026-08-06T13:19:56.467512-05:00,job,raycluster-historyserver-head-tgs8m,collector,2026-08-06T18:19:45Z,660411000,61792256
2026-08-06T13:19:56.467512-05:00,job,raycluster-historyserver-cpu-worker-z8x54,collector,2026-08-06T18:19:53Z,592561000,56713216
2026-08-06T13:19:56.467512-05:00,job,raycluster-historyserver-cpu-worker-z8x54,ray-worker,2026-08-06T18:19:56Z,3042649000,297070592
2026-08-06T13:19:57.468321-05:00,job,raycluster-historyserver-head-tgs8m,ray-head,2026-08-06T18:19:43Z,12420231000,2879287296
2026-08-06T13:19:57.468321-05:00,job,raycluster-historyserver-head-tgs8m,collector,2026-08-06T18:19:57Z,679522000,61976576
2026-08-06T13:19:57.468321-05:00,job,raycluster-historyserver-cpu-worker-z8x54,ray-worker,2026-08-06T18:19:57Z,4959063000,571011072
2026-08-06T13:19:57.468321-05:00,job,raycluster-historyserver-cpu-worker-z8x54,collector,2026-08-06T18:19:53Z,592561000,56713216
2026-08-06T13:19:58.468296-05:00,job,raycluster-historyserver-cpu-worker-z8x54,collector,2026-08-06T18:19:53Z,592561000,56713216
2026-08-06T13:19:58.468296-05:00,job,raycluster-historyserver-cpu-worker-z8x54,ray-worker,2026-08-06T18:19:58Z,7002192000,757538816
2026-08-06T13:19:58.468296-05:00,job,raycluster-historyserver-head-tgs8m,ray-head,2026-08-06T18:19:43Z,12420231000,2879287296
2026-08-06T13:19:58.468296-05:00,job,raycluster-historyserver-head-tgs8m,collector,2026-08-06T18:19:57Z,679522000,61976576
2026-08-06T13:19:59.467819-05:00,job,raycluster-historyserver-head-tgs8m,ray-head,2026-08-06T18:19:58Z,16357073000,3121885184
2026-08-06T13:19:59.467819-05:00,job,raycluster-historyserver-head-tgs8m,collector,2026-08-06T18:19:57Z,679522000,61976576
