time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786040602596330717,raycluster-historyserver-head-lnrqh/ray-head,2897887232,2949627904,2951766016,11304099
1786040602596330717,raycluster-historyserver-head-lnrqh/collector,60452864,61571072,62033920,681539
1786040602596330717,raycluster-historyserver-cpu-worker-7zh4c/ray-worker,281919488,301965312,303312896,3026595
1786040602596330717,raycluster-historyserver-cpu-worker-7zh4c/collector,55013376,55881728,57913344,601146
1786040603636586967,rayjob-bench-4wg4j/ray-job-submitter,55185408,60530688,60530688,648792
1786040603636586967,raycluster-historyserver-head-lnrqh/ray-head,2898137088,2949840896,2953551872,11355370
1786040603636586967,raycluster-historyserver-head-lnrqh/collector,60452864,61571072,62033920,681631
1786040603636586967,raycluster-historyserver-cpu-worker-7zh4c/ray-worker,282247168,302030848,303312896,3037452
1786040603636586967,raycluster-historyserver-cpu-worker-7zh4c/collector,55013376,55881728,57913344,601146
1786040604675589134,rayjob-bench-4wg4j/ray-job-submitter,19095552,29184000,115224576,1677253
1786040604675589134,raycluster-historyserver-head-lnrqh/ray-head,2898423808,2950135808,2953551872,11402262
1786040604675589134,raycluster-historyserver-head-lnrqh/collector,60452864,61571072,62033920,681631
1786040604675589134,raycluster-historyserver-cpu-worker-7zh4c/ray-worker,282427392,302219264,303312896,3047831
1786040604675589134,raycluster-historyserver-cpu-worker-7zh4c/collector,55013376,55881728,57913344,601146
1786040605716642718,rayjob-bench-4wg4j/ray-job-submitter,102526976,113790976,115224576,2562430
1786040605716642718,raycluster-historyserver-head-lnrqh/ray-head,2931720192,2985136128,2986553344,12464257
1786040605716642718,raycluster-historyserver-head-lnrqh/collector,60469248,61587456,62033920,683383
1786040605716642718,raycluster-historyserver-cpu-worker-7zh4c/ray-worker,282636288,302436352,303312896,3058422
1786040605716642718,raycluster-historyserver-cpu-worker-7zh4c/collector,55013376,55881728,57913344,601146
