time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T13:23:23.552423-05:00,job,raycluster-historyserver-head-lnrqh,collector,2026-08-06T18:23:16Z,673663000,61505536
2026-08-06T13:23:23.552423-05:00,job,raycluster-historyserver-head-lnrqh,ray-head,2026-08-06T18:23:12Z,10745117000,2937151488
2026-08-06T13:23:23.552423-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,ray-worker,2026-08-06T18:23:23Z,3036143000,296316928
2026-08-06T13:23:23.552423-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,collector,2026-08-06T18:23:23Z,601146000,55877632
2026-08-06T13:23:24.551713-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,ray-worker,2026-08-06T18:23:24Z,3045363000,296529920
2026-08-06T13:23:24.551713-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,collector,2026-08-06T18:23:24Z,601146000,55877632
2026-08-06T13:23:24.551713-05:00,job,raycluster-historyserver-head-lnrqh,ray-head,2026-08-06T18:23:12Z,10745117000,2937151488
2026-08-06T13:23:24.551713-05:00,job,raycluster-historyserver-head-lnrqh,collector,2026-08-06T18:23:16Z,673663000,61505536
2026-08-06T13:23:25.552005-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,ray-worker,2026-08-06T18:23:25Z,3055743000,296988672
2026-08-06T13:23:25.552005-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,collector,2026-08-06T18:23:25Z,601146000,55877632
2026-08-06T13:23:25.552005-05:00,job,raycluster-historyserver-head-lnrqh,ray-head,2026-08-06T18:23:12Z,10745117000,2937151488
2026-08-06T13:23:25.552005-05:00,job,raycluster-historyserver-head-lnrqh,collector,2026-08-06T18:23:16Z,673663000,61505536
2026-08-06T13:23:26.552425-05:00,job,raycluster-historyserver-head-lnrqh,collector,2026-08-06T18:23:16Z,673663000,61505536
2026-08-06T13:23:26.552425-05:00,job,raycluster-historyserver-head-lnrqh,ray-head,2026-08-06T18:23:12Z,10745117000,2937151488
2026-08-06T13:23:26.552425-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,ray-worker,2026-08-06T18:23:26Z,3066566000,296960000
2026-08-06T13:23:26.552425-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,collector,2026-08-06T18:23:26Z,603487000,55877632
2026-08-06T13:23:27.552345-05:00,job,raycluster-historyserver-head-lnrqh,collector,2026-08-06T18:23:16Z,673663000,61505536
2026-08-06T13:23:27.552345-05:00,job,raycluster-historyserver-head-lnrqh,ray-head,2026-08-06T18:23:12Z,10745117000,2937151488
2026-08-06T13:23:27.552345-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,ray-worker,2026-08-06T18:23:27Z,5010034000,565514240
2026-08-06T13:23:27.552345-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,collector,2026-08-06T18:23:27Z,603630000,55877632
2026-08-06T13:23:28.551564-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,ray-worker,2026-08-06T18:23:27Z,5251332000,586731520
2026-08-06T13:23:28.551564-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,collector,2026-08-06T18:23:27Z,603630000,55877632
2026-08-06T13:23:28.551564-05:00,job,raycluster-historyserver-head-lnrqh,ray-head,2026-08-06T18:23:12Z,10745117000,2937151488
2026-08-06T13:23:28.551564-05:00,job,raycluster-historyserver-head-lnrqh,collector,2026-08-06T18:23:16Z,673663000,61505536
2026-08-06T13:23:29.552467-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,ray-worker,2026-08-06T18:23:27Z,5251332000,586731520
2026-08-06T13:23:29.552467-05:00,job,raycluster-historyserver-cpu-worker-7zh4c,collector,2026-08-06T18:23:27Z,603630000,55877632
2026-08-06T13:23:29.552467-05:00,job,raycluster-historyserver-head-lnrqh,ray-head,2026-08-06T18:23:12Z,10745117000,2937151488
2026-08-06T13:23:29.552467-05:00,job,raycluster-historyserver-head-lnrqh,collector,2026-08-06T18:23:16Z,673663000,61505536
