time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786040807110489339,raycluster-historyserver-head-hbvjb/ray-head,3014238208,3065233408,3067359232,13234867
1786040807110489339,raycluster-historyserver-head-hbvjb/collector,61145088,62173184,62664704,698014
1786040807110489339,raycluster-historyserver-cpu-worker-cch7g/ray-worker,282193920,301973504,303403008,2994677
1786040807110489339,raycluster-historyserver-cpu-worker-cch7g/collector,55115776,56000512,57303040,591548
1786040808150736298,raycluster-historyserver-head-hbvjb/ray-head,3014385664,3065352192,3067359232,13283886
1786040808150736298,raycluster-historyserver-head-hbvjb/collector,61145088,62173184,62664704,698187
1786040808150736298,rayjob-bench-2tkwr/ray-job-submitter,54865920,59817984,60080128,649357
1786040808150736298,raycluster-historyserver-cpu-worker-cch7g/ray-worker,282255360,302034944,303403008,3005461
1786040808150736298,raycluster-historyserver-cpu-worker-cch7g/collector,55115776,56000512,57303040,591548
1786040809190542048,raycluster-historyserver-head-hbvjb/ray-head,3014557696,3065524224,3069054976,13338395
1786040809190542048,raycluster-historyserver-head-hbvjb/collector,61149184,62177280,62693376,699361
1786040809190542048,rayjob-bench-2tkwr/ray-job-submitter,19619840,29700096,115445760,1676322
1786040809190542048,raycluster-historyserver-cpu-worker-cch7g/ray-worker,282439680,302227456,303403008,3015848
1786040809190542048,raycluster-historyserver-cpu-worker-cch7g/collector,55115776,56000512,57303040,591548
1786040810233649007,raycluster-historyserver-head-hbvjb/ray-head,3021967360,3073761280,3074301952,13675997
1786040810233649007,raycluster-historyserver-head-hbvjb/collector,61149184,62173184,62693376,700498
1786040810233649007,rayjob-bench-2tkwr/ray-job-submitter,102535168,113512448,115445760,2626687
1786040810233649007,raycluster-historyserver-cpu-worker-cch7g/ray-worker,282640384,302456832,303403008,3030922
1786040810233649007,raycluster-historyserver-cpu-worker-cch7g/collector,55115776,56000512,57303040,591548
1786040811281703508,raycluster-historyserver-head-hbvjb/ray-head,3144880128,3201605632,3201859584,15542133
1786040811281703508,raycluster-historyserver-head-hbvjb/collector,61231104,62263296,62697472,705017
1786040811281703508,rayjob-bench-2tkwr/ray-job-submitter,86089728,96923648,115445760,3530224
1786040811281703508,raycluster-historyserver-cpu-worker-cch7g/ray-worker,282873856,302678016,303435776,3044594
1786040811281703508,raycluster-historyserver-cpu-worker-cch7g/collector,55185408,56074240,57303040,598480
1786040812325734633,raycluster-historyserver-head-hbvjb/ray-head,3287306240,3344326656,3344846848,16684358
1786040812325734633,raycluster-historyserver-head-hbvjb/collector,61378560,62418944,62697472,711588
1786040812325734633,rayjob-bench-2tkwr/ray-job-submitter,102371328,113287168,115445760,3787351
1786040812325734633,raycluster-historyserver-cpu-worker-cch7g/ray-worker,551866368,580132864,581320704,5133562
1786040812325734633,raycluster-historyserver-cpu-worker-cch7g/collector,55185408,56074240,57303040,598551
1786040813375854009,raycluster-historyserver-head-hbvjb/ray-head,3383472128,3440775168,3441053696,18131574
1786040813375854009,raycluster-historyserver-head-hbvjb/collector,80240640,81608704,81870848,993870
1786040813375854009,rayjob-bench-2tkwr/ray-job-submitter,102379520,113295360,115445760,3787610
1786040813375854009,raycluster-historyserver-cpu-worker-cch7g/ray-worker,725848064,759767040,760311808,7199962
1786040813375854009,raycluster-historyserver-cpu-worker-cch7g/collector,63758336,65880064,65880064,815447
1786040814437619801,raycluster-historyserver-head-hbvjb/ray-head,3385499648,3442876416,3451420672,18571506
1786040814437619801,raycluster-historyserver-head-hbvjb/collector,129634304,138575872,139018240,2225027
1786040814437619801,rayjob-bench-2tkwr/ray-job-submitter,102383616,113299456,115445760,3787775
1786040814437619801,raycluster-historyserver-cpu-worker-cch7g/ray-worker,859598848,897769472,898101248,9340049
1786040814437619801,raycluster-historyserver-cpu-worker-cch7g/collector,69193728,72040448,72638464,966691
1786040815501733635,raycluster-historyserver-head-hbvjb/ray-head,3412836352,3471249408,3472084992,19788182
1786040815501733635,raycluster-historyserver-head-hbvjb/collector,130338816,139124736,144302080,2532003
1786040815501733635,rayjob-bench-2tkwr/ray-job-submitter,102387712,113303552,115445760,3787917
1786040815501733635,raycluster-historyserver-cpu-worker-cch7g/ray-worker,931053568,971157504,971972608,11534666
1786040815501733635,raycluster-historyserver-cpu-worker-cch7g/collector,66248704,70320128,73228288,1193735
1786040816577709677,raycluster-historyserver-head-hbvjb/ray-head,3403739136,3461492736,3479764992,20350887
1786040816577709677,raycluster-historyserver-head-hbvjb/collector,130490368,146821120,146862080,3528030
1786040816577709677,rayjob-bench-2tkwr/ray-job-submitter,102387712,113303552,115445760,3787917
1786040816577709677,raycluster-historyserver-cpu-worker-cch7g/ray-worker,907845632,946888704,984948736,13614292
1786040816577709677,raycluster-historyserver-cpu-worker-cch7g/collector,74465280,80760832,81285120,1570352
1786040817643668427,raycluster-historyserver-head-hbvjb/ray-head,3423850496,3481415680,3482431488,22175632
1786040817643668427,raycluster-historyserver-head-hbvjb/collector,105418752,122032128,162160640,4034088
1786040817643668427,rayjob-bench-2tkwr/ray-job-submitter,102387712,113303552,115445760,3787917
1786040817643668427,raycluster-historyserver-cpu-worker-cch7g/ray-worker,925413376,964911104,984948736,15735945
1786040817643668427,raycluster-historyserver-cpu-worker-cch7g/collector,80912384,90419200,90648576,2132088
1786040818699552719,raycluster-historyserver-head-hbvjb/ray-head,3434684416,3493150720,3493453824,23060995
1786040818699552719,raycluster-historyserver-head-hbvjb/collector,112263168,135000064,162160640,4669262
1786040818699552719,rayjob-bench-2tkwr/ray-job-submitter,102387712,113303552,115445760,3787917
1786040818699552719,raycluster-historyserver-cpu-worker-cch7g/ray-worker,935477248,975196160,984948736,17935091
1786040818699552719,raycluster-historyserver-cpu-worker-cch7g/collector,80912384,90419200,90648576,2132088
1786040819768619845,raycluster-historyserver-head-hbvjb/ray-head,3455610880,3517235200,3517825024,23858483
1786040819768619845,raycluster-historyserver-head-hbvjb/collector,107061248,134135808,162160640,5639150
1786040819768619845,rayjob-bench-2tkwr/ray-job-submitter,102391808,113307648,115445760,3788055
1786040819768619845,raycluster-historyserver-cpu-worker-cch7g/ray-worker,957620224,997658624,999497728,19955683
1786040819768619845,raycluster-historyserver-cpu-worker-cch7g/collector,92549120,104562688,104562688,2901331
1786040820829963804,raycluster-historyserver-head-hbvjb/ray-head,3481284608,3543027712,3545071616,25713312
1786040820829963804,raycluster-historyserver-head-hbvjb/collector,123322368,151953408,162160640,5899675
1786040820829963804,rayjob-bench-2tkwr/ray-job-submitter,102391808,113307648,115445760,3788055
1786040820829963804,raycluster-historyserver-cpu-worker-cch7g/ray-worker,953929728,994136064,999682048,22124402
1786040820829963804,raycluster-historyserver-cpu-worker-cch7g/collector,94187520,109469696,109719552,3113952
1786040821891548971,raycluster-historyserver-head-hbvjb/ray-head,3488788480,3551981568,3553013760,26504457
