time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T13:26:48.063587-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:48.063587-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:48Z,3004593000,296353792
2026-08-06T13:26:48.063587-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:39Z,689830000,62148608
2026-08-06T13:26:48.063587-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:49.06348-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:49.06348-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:49Z,3015048000,296546304
2026-08-06T13:26:49.06348-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:39Z,689830000,62148608
2026-08-06T13:26:49.06348-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:50.065801-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:50.065801-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:50Z,3028177000,296751104
2026-08-06T13:26:50.065801-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:39Z,689830000,62148608
2026-08-06T13:26:50.065801-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:51.063912-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:51Z,3041027000,296968192
2026-08-06T13:26:51.063912-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:51.063912-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:39Z,689830000,62148608
2026-08-06T13:26:51.063912-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:52.063255-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:52.063255-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:51Z,3443332000,358137856
2026-08-06T13:26:52.063255-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:39Z,689830000,62148608
2026-08-06T13:26:52.063255-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:53.063938-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:39Z,689830000,62148608
2026-08-06T13:26:53.063938-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:53.063938-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:51Z,3443332000,358137856
2026-08-06T13:26:53.063938-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:54.063923-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:39Z,689830000,62148608
2026-08-06T13:26:54.063923-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:54.063923-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:54.063923-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:51Z,3443332000,358137856
2026-08-06T13:26:55.063965-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:55.063965-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:51Z,3443332000,358137856
2026-08-06T13:26:55.063965-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:39Z,689830000,62148608
2026-08-06T13:26:55.063965-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:56.063961-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:56.063961-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:51Z,3443332000,358137856
2026-08-06T13:26:56.063961-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:55Z,2270265000,131907584
2026-08-06T13:26:56.063961-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:41Z,12945485000,3056295936
2026-08-06T13:26:57.063092-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:57.063092-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:51Z,3443332000,358137856
2026-08-06T13:26:57.063092-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:55Z,2270265000,131907584
2026-08-06T13:26:57.063092-05:00,job,raycluster-historyserver-head-hbvjb,ray-head,2026-08-06T18:26:56Z,20133109000,3469197312
2026-08-06T13:26:58.063985-05:00,job,raycluster-historyserver-cpu-worker-cch7g,collector,2026-08-06T18:26:45Z,591408000,55996416
2026-08-06T13:26:58.063985-05:00,job,raycluster-historyserver-cpu-worker-cch7g,ray-worker,2026-08-06T18:26:51Z,3443332000,358137856
2026-08-06T13:26:58.063985-05:00,job,raycluster-historyserver-head-hbvjb,collector,2026-08-06T18:26:55Z,2270265000,131907584
