time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786046449500311173,raycluster-historyserver-cpu-worker-gd4zb/collector,55709696,56651776,57556992,559003
1786046449500311173,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,282198016,302563328,304005120,2866024
1786046449500311173,raycluster-historyserver-head-wvzft/collector,60616704,61595648,62099456,609823
1786046449500311173,raycluster-historyserver-head-wvzft/ray-head,3467919360,3519037440,3521032192,10957204
1786046450534033840,raycluster-historyserver-cpu-worker-gd4zb/collector,55709696,56651776,57556992,559003
1786046450534033840,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,282431488,302804992,304181248,2875540
1786046450534033840,raycluster-historyserver-head-wvzft/collector,60616704,61595648,62099456,610000
1786046450534033840,raycluster-historyserver-head-wvzft/ray-head,3468103680,3519184896,3521032192,11003919
1786046450534033840,rayjob-bench-d82bw/ray-job-submitter,57970688,63954944,63954944,634811
1786046451573952466,raycluster-historyserver-cpu-worker-gd4zb/collector,55709696,56651776,57556992,559003
1786046451573952466,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,282451968,302825472,304181248,2884413
1786046451573952466,raycluster-historyserver-head-wvzft/collector,60616704,61595648,62099456,610000
1786046451573952466,raycluster-historyserver-head-wvzft/ray-head,3468320768,3519389696,3521191936,11036325
1786046451573952466,rayjob-bench-d82bw/ray-job-submitter,38825984,49217536,115589120,1667067
1786046452614912716,raycluster-historyserver-cpu-worker-gd4zb/collector,55808000,56758272,57786368,564333
1786046452614912716,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,282505216,302882816,304181248,2894460
1786046452614912716,raycluster-historyserver-head-wvzft/collector,60616704,61595648,62099456,611632
1786046452614912716,raycluster-historyserver-head-wvzft/ray-head,3494273024,3547291648,3576471552,12038121
1786046452614912716,rayjob-bench-d82bw/ray-job-submitter,12234752,21889024,115630080,2509592
1786046453654948050,raycluster-historyserver-cpu-worker-gd4zb/collector,55808000,56754176,57786368,564472
1786046453654948050,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,431644672,456331264,456548352,3703812
1786046453654948050,raycluster-historyserver-head-wvzft/collector,60715008,61739008,62226432,618623
1786046453654948050,raycluster-historyserver-head-wvzft/ray-head,3629867008,3687325696,3687854080,12889025
1786046453654948050,rayjob-bench-d82bw/ray-job-submitter,102371328,113369088,115630080,3333477
1786046454702218051,raycluster-historyserver-cpu-worker-gd4zb/collector,55808000,56754176,57786368,564472
1786046454702218051,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,659566592,691695616,692105216,5909337
1786046454702218051,raycluster-historyserver-head-wvzft/collector,68186112,69210112,69472256,668187
1786046454702218051,raycluster-historyserver-head-wvzft/ray-head,3678515200,3736395776,3739107328,13615589
1786046454702218051,rayjob-bench-d82bw/ray-job-submitter,102379520,113377280,115630080,3333788
1786046455757940801,raycluster-historyserver-cpu-worker-gd4zb/collector,67010560,69275648,69537792,809749
1786046455757940801,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,825999360,862400512,862662656,7913022
1786046455757940801,raycluster-historyserver-head-wvzft/collector,88268800,92516352,96866304,1262113
1786046455757940801,raycluster-historyserver-head-wvzft/ray-head,3708846080,3766894592,3770576896,14525616
1786046455757940801,rayjob-bench-d82bw/ray-job-submitter,102383616,113381376,115630080,3333915
1786046456812091218,raycluster-historyserver-cpu-worker-gd4zb/collector,73404416,78389248,78635008,1278021
1786046456812091218,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,930992128,971735040,973369344,10104178
1786046456812091218,raycluster-historyserver-head-wvzft/collector,94040064,103186432,103854080,2126618
1786046456812091218,raycluster-historyserver-head-wvzft/ray-head,3708985344,3767857152,3770990592,15200877
1786046456812091218,rayjob-bench-d82bw/ray-job-submitter,102383616,113381376,115630080,3334044
1786046457860903677,raycluster-historyserver-cpu-worker-gd4zb/collector,76484608,83120128,85172224,1572129
1786046457860903677,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,904556544,947277824,988254208,12131224
1786046457860903677,raycluster-historyserver-head-wvzft/collector,95531008,105099264,112193536,2217036
1786046457860903677,raycluster-historyserver-head-wvzft/ray-head,3753783296,3812798464,3816255488,16494854
1786046457860903677,rayjob-bench-d82bw/ray-job-submitter,102387712,113385472,115630080,3334183
1786046458915016094,raycluster-historyserver-cpu-worker-gd4zb/collector,76886016,83525632,87453696,1734300
1786046458915016094,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,932388864,972214272,988254208,14303634
1786046458915016094,raycluster-historyserver-head-wvzft/collector,103907328,118452224,119115776,3057367
1786046458915016094,raycluster-historyserver-head-wvzft/ray-head,3758714880,3817775104,3823849472,17417196
1786046458915016094,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3334340
1786046459968866761,raycluster-historyserver-cpu-worker-gd4zb/collector,87760896,98226176,98725888,2191556
1786046459968866761,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,927469568,967823360,988254208,16387423
1786046459968866761,raycluster-historyserver-head-wvzft/collector,106962944,126525440,126787584,3931303
1786046459968866761,raycluster-historyserver-head-wvzft/ray-head,3788480512,3847348224,3848933376,18399423
1786046459968866761,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3334503
1786046461022047220,raycluster-historyserver-cpu-worker-gd4zb/collector,87760896,98226176,98725888,2191556
1786046461022047220,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,956497920,997076992,999788544,18504836
1786046461022047220,raycluster-historyserver-head-wvzft/collector,99926016,119500800,138244096,4418535
1786046461022047220,raycluster-historyserver-head-wvzft/ray-head,3815182336,3874603008,3875598336,19636062
1786046461022047220,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3334669
1786046462068945137,raycluster-historyserver-cpu-worker-gd4zb/collector,101740544,116400128,116662272,3197384
1786046462068945137,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,974696448,1015615488,1016958976,20553553
1786046462068945137,raycluster-historyserver-head-wvzft/collector,104865792,129171456,138244096,5003656
1786046462068945137,raycluster-historyserver-head-wvzft/ray-head,3829460992,3889500160,3889643520,20889015
1786046462068945137,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3334814
1786046463124877596,raycluster-historyserver-cpu-worker-gd4zb/collector,101933056,119209984,119492608,3356540
1786046463124877596,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,975687680,1016758272,1019084800,22700821
1786046463124877596,raycluster-historyserver-head-wvzft/collector,105267200,133697536,138244096,5460177
1786046463124877596,raycluster-historyserver-head-wvzft/ray-head,3853066240,3913572352,3913613312,22170883
1786046463124877596,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3334952
1786046464172031472,raycluster-historyserver-cpu-worker-gd4zb/collector,115908608,133210112,133726208,3561915
1786046464172031472,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,991649792,1033248768,1038000128,24774587
1786046464172031472,raycluster-historyserver-head-wvzft/collector,106958848,135417856,140398592,6283809
1786046464172031472,raycluster-historyserver-head-wvzft/ray-head,3902783488,3963301888,3964522496,23329574
1786046464172031472,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3335100
1786046465233067458,raycluster-historyserver-cpu-worker-gd4zb/collector,115904512,140025856,140214272,4522290
1786046465233067458,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,984035328,1025822720,1038000128,26877456
1786046465233067458,raycluster-historyserver-head-wvzft/collector,135671808,172343296,172568576,6901092
1786046465233067458,raycluster-historyserver-head-wvzft/ray-head,3972976640,4037529600,4038639616,25528955
1786046465233067458,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3335248
1786046466279043292,raycluster-historyserver-cpu-worker-gd4zb/collector,115904512,140025856,140214272,4522290
1786046466279043292,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,984891392,1027829760,1038000128,29003903
1786046466279043292,raycluster-historyserver-head-wvzft/collector,112283648,148983808,190861312,7510203
1786046466279043292,raycluster-historyserver-head-wvzft/ray-head,4089765888,4156309504,4157562880,27196467
1786046466279043292,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3335374
1786046467329039751,raycluster-historyserver-cpu-worker-gd4zb/collector,108683264,132808704,145297408,5143718
1786046467329039751,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,999837696,1041674240,1043656704,31076165
1786046467329039751,raycluster-historyserver-head-wvzft/collector,133193728,177876992,190861312,8255860
1786046467329039751,raycluster-historyserver-head-wvzft/ray-head,4108062720,4174684160,4175458304,28401817
1786046467329039751,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3335501
1786046468373080543,raycluster-historyserver-cpu-worker-gd4zb/collector,113770496,144711680,145297408,5692129
1786046468373080543,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1001324544,1044078592,1045164032,33178342
1786046468373080543,raycluster-historyserver-head-wvzft/collector,114847744,159526912,195751936,8896838
1786046468373080543,raycluster-historyserver-head-wvzft/ray-head,4140339200,4207517696,4207947776,29684476
1786046468373080543,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3335678
1786046469428086252,raycluster-historyserver-cpu-worker-gd4zb/collector,113770496,144711680,145297408,5692129
1786046469428086252,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1004216320,1046650880,1049600000,35277591
1786046469428086252,raycluster-historyserver-head-wvzft/collector,136331264,189292544,195751936,9681047
1786046469428086252,raycluster-historyserver-head-wvzft/ray-head,4140802048,4207239168,4215689216,30627400
1786046469428086252,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3335814
1786046470473114794,raycluster-historyserver-cpu-worker-gd4zb/collector,112844800,150110208,152674304,6786380
1786046470473114794,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1015324672,1058492416,1063165952,37369336
1786046470473114794,raycluster-historyserver-head-wvzft/collector,112353280,165314560,207536128,10322030
1786046470473114794,raycluster-historyserver-head-wvzft/ray-head,4164407296,4231176192,4232228864,31938578
1786046470473114794,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3335935
1786046471529356378,raycluster-historyserver-cpu-worker-gd4zb/collector,114696192,152473600,152895488,6822562
1786046471529356378,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1000001536,1042489344,1063165952,39474625
1786046471529356378,raycluster-historyserver-head-wvzft/collector,132562944,193417216,207536128,11047481
1786046471529356378,raycluster-historyserver-head-wvzft/ray-head,4166234112,4232732672,4250177536,33161568
1786046471529356378,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3336058
1786046472592128670,raycluster-historyserver-cpu-worker-gd4zb/collector,101273600,139063296,169447424,7272608
1786046472592128670,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1018621952,1062105088,1064136704,41665578
1786046472592128670,raycluster-historyserver-head-wvzft/collector,114634752,175484928,211271680,11724537
1786046472592128670,raycluster-historyserver-head-wvzft/ray-head,4194136064,4262506496,4264665088,34306885
1786046472592128670,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3336177
1786046473645132712,raycluster-historyserver-cpu-worker-gd4zb/collector,111865856,156483584,169447424,7984540
1786046473645132712,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1019437056,1062268928,1064136704,43674474
1786046473645132712,raycluster-historyserver-head-wvzft/collector,137662464,206766080,211271680,12447167
1786046473645132712,raycluster-historyserver-head-wvzft/ray-head,4207550464,4275982336,4278398976,35586315
1786046473645132712,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3336356
1786046474694881004,raycluster-historyserver-cpu-worker-gd4zb/collector,111865856,156483584,169447424,7984540
1786046474694881004,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1020309504,1063342080,1066254336,45858231
1786046474694881004,raycluster-historyserver-head-wvzft/collector,112820224,181919744,223264768,13115011
1786046474694881004,raycluster-historyserver-head-wvzft/ray-head,4259028992,4327751680,4329787392,36830103
1786046474694881004,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3336506
1786046475750047255,raycluster-historyserver-cpu-worker-gd4zb/collector,111722496,161714176,172494848,9025470
1786046475750047255,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1030856704,1074028544,1076834304,47868439
1786046475750047255,raycluster-historyserver-head-wvzft/collector,134107136,211279872,223264768,13840482
1786046475750047255,raycluster-historyserver-head-wvzft/ray-head,4249116672,4318363648,4336320512,37989337
1786046475750047255,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3336764
1786046476796464089,raycluster-historyserver-cpu-worker-gd4zb/collector,116457472,167903232,172494848,9189195
1786046476796464089,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1031254016,1074716672,1076834304,50069650
1786046476796464089,raycluster-historyserver-head-wvzft/collector,125857792,203030528,229740544,14556060
1786046476796464089,raycluster-historyserver-head-wvzft/ray-head,4272717824,4342419456,4343091200,39184442
1786046476796464089,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3336883
1786046477853529131,raycluster-historyserver-cpu-worker-gd4zb/collector,106807296,158240768,174727168,9766523
1786046477853529131,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1042182144,1085644800,1090539520,52065528
1786046477853529131,raycluster-historyserver-head-wvzft/collector,125931520,211238912,229740544,15251606
1786046477853529131,raycluster-historyserver-head-wvzft/ray-head,4282499072,4352655360,4352667648,40456915
1786046477853529131,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3337010
1786046478909466423,raycluster-historyserver-cpu-worker-gd4zb/collector,113909760,172163072,174727168,10309610
1786046478909466423,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1027571712,1071607808,1090539520,54266201
1786046478909466423,raycluster-historyserver-head-wvzft/collector,125169664,210472960,229740544,16031837
1786046478909466423,raycluster-historyserver-head-wvzft/ray-head,4300611584,4370604032,4371873792,41539289
1786046478909466423,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3337136
1786046479957023590,raycluster-historyserver-cpu-worker-gd4zb/collector,128380928,186634240,188354560,10385836
1786046479957023590,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1048772608,1092542464,1097261056,56265288
1786046479957023590,raycluster-historyserver-head-wvzft/collector,128716800,222121984,229740544,16656823
1786046479957023590,raycluster-historyserver-head-wvzft/ray-head,4319576064,4389801984,4390834176,42847839
1786046479957023590,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3337256
1786046481005290091,raycluster-historyserver-cpu-worker-gd4zb/collector,114511872,179585024,188456960,11460862
1786046481005290091,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1033154560,1077063680,1097261056,58465447
1786046481005290091,raycluster-historyserver-head-wvzft/collector,116682752,210350080,233111552,17539755
1786046481005290091,raycluster-historyserver-head-wvzft/ray-head,4339249152,4410105856,4410810368,43969584
1786046481005290091,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3337382
1786046482061094216,raycluster-historyserver-cpu-worker-gd4zb/collector,114511872,179585024,188456960,11460862
1786046482061094216,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1033441280,1078026240,1097261056,60491996
1786046482061094216,raycluster-historyserver-head-wvzft/collector,134389760,235859968,236118016,18014325
1786046482061094216,raycluster-historyserver-head-wvzft/ray-head,4352425984,4422291456,4423790592,45215765
1786046482061094216,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3337498
1786046483112177175,raycluster-historyserver-cpu-worker-gd4zb/collector,113373184,178446336,189988864,11924128
1786046483112177175,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1054683136,1099735040,1103626240,62648931
1786046483112177175,raycluster-historyserver-head-wvzft/collector,116482048,217948160,254246912,18913206
1786046483112177175,raycluster-historyserver-head-wvzft/ray-head,4375896064,4446527488,4447911936,46360835
1786046483112177175,rayjob-bench-d82bw/ray-job-submitter,102391808,113389568,115630080,3337622
1786046484167038759,raycluster-historyserver-cpu-worker-gd4zb/collector,116408320,188305408,189988864,12656082
1786046484167038759,raycluster-historyserver-cpu-worker-gd4zb/ray-worker,1040105472,1084502016,1103626240,64697955
1786046484167038759,raycluster-historyserver-head-wvzft/collector,136523776,246263808,254246912,19453340
1786046484167038759,raycluster-historyserver-head-wvzft/ray-head,4380954624,4451299328,4459438080,47658377
