time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T15:00:50.458334-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,ray-worker,2026-08-06T20:00:49Z,2870537000,296476672
2026-08-06T15:00:50.458334-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,collector,2026-08-06T20:00:50Z,559003000,56610816
2026-08-06T15:00:50.458334-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:43Z,10655895000,3509915648
2026-08-06T15:00:50.458334-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:51.458008-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,ray-worker,2026-08-06T20:00:49Z,2870537000,296476672
2026-08-06T15:00:51.458008-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,collector,2026-08-06T20:00:51Z,559003000,56610816
2026-08-06T15:00:51.458008-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:51.458008-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:43Z,10655895000,3509915648
2026-08-06T15:00:52.458126-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:52.458126-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:43Z,10655895000,3509915648
2026-08-06T15:00:52.458126-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,ray-worker,2026-08-06T20:00:49Z,2870537000,296476672
2026-08-06T15:00:52.458126-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,collector,2026-08-06T20:00:51Z,559003000,56610816
2026-08-06T15:00:53.458358-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:53.458358-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:43Z,10655895000,3509915648
2026-08-06T15:00:53.458358-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,ray-worker,2026-08-06T20:00:49Z,2870537000,296476672
2026-08-06T15:00:53.458358-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,collector,2026-08-06T20:00:51Z,559003000,56610816
2026-08-06T15:00:54.457681-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:43Z,10655895000,3509915648
2026-08-06T15:00:54.457681-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:54.457681-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,collector,2026-08-06T20:00:51Z,559003000,56610816
2026-08-06T15:00:54.457681-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,ray-worker,2026-08-06T20:00:49Z,2870537000,296476672
2026-08-06T15:00:55.458002-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:55.458002-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:43Z,10655895000,3509915648
2026-08-06T15:00:55.458002-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,ray-worker,2026-08-06T20:00:49Z,2870537000,296476672
2026-08-06T15:00:55.458002-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,collector,2026-08-06T20:00:51Z,559003000,56610816
2026-08-06T15:00:56.457986-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:43Z,10655895000,3509915648
2026-08-06T15:00:56.457986-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:56.457986-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,collector,2026-08-06T20:00:51Z,559003000,56610816
2026-08-06T15:00:56.457986-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,ray-worker,2026-08-06T20:00:49Z,2870537000,296476672
2026-08-06T15:00:57.457444-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:57.457444-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:43Z,10655895000,3509915648
2026-08-06T15:00:57.457444-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,ray-worker,2026-08-06T20:00:49Z,2870537000,296476672
2026-08-06T15:00:57.457444-05:00,job,raycluster-historyserver-cpu-worker-gd4zb,collector,2026-08-06T20:00:51Z,559003000,56610816
2026-08-06T15:00:58.458347-05:00,job,raycluster-historyserver-head-wvzft,collector,2026-08-06T20:00:48Z,607450000,61538304
2026-08-06T15:00:58.458347-05:00,job,raycluster-historyserver-head-wvzft,ray-head,2026-08-06T20:00:57Z,16302447000,3790536704
