time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786041009508697710,raycluster-historyserver-head-rcx62/collector,62357504,63283200,63766528,646275
1786041009508697710,raycluster-historyserver-head-rcx62/ray-head,3036286976,3087802368,3089879040,12097735
1786041009508697710,raycluster-historyserver-cpu-worker-8mvkw/collector,55549952,56430592,57933824,605767
1786041009508697710,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,281145344,300883968,304115712,2964046
1786041010546931794,raycluster-historyserver-head-rcx62/collector,62357504,63283200,63766528,646411
1786041010546931794,raycluster-historyserver-head-rcx62/ray-head,3036622848,3088142336,3090604032,12158799
1786041010546931794,raycluster-historyserver-cpu-worker-8mvkw/collector,55549952,56430592,57933824,605767
1786041010546931794,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,282198016,301973504,304115712,2991403
1786041010546931794,rayjob-bench-ldjmz/ray-job-submitter,52715520,58466304,58466304,636631
1786041011587076878,raycluster-historyserver-head-rcx62/collector,62357504,63283200,63766528,646411
1786041011587076878,raycluster-historyserver-head-rcx62/ray-head,3036778496,3088293888,3090604032,12207773
1786041011587076878,raycluster-historyserver-cpu-worker-8mvkw/collector,55549952,56430592,57933824,605767
1786041011587076878,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,282533888,302325760,304115712,3002344
1786041011587076878,rayjob-bench-ldjmz/ray-job-submitter,13664256,23707648,115433472,1660224
1786041012626819920,raycluster-historyserver-head-rcx62/collector,62377984,63299584,63766528,648778
1786041012626819920,raycluster-historyserver-head-rcx62/ray-head,3061063680,3114491904,3114557440,13164413
1786041012626819920,raycluster-historyserver-cpu-worker-8mvkw/collector,55549952,56430592,57933824,605767
1786041012626819920,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,282578944,302370816,304115712,3013846
1786041012626819920,rayjob-bench-ldjmz/ray-job-submitter,102555648,113537024,115433472,2542569
1786041013680892337,raycluster-historyserver-head-rcx62/collector,62427136,63356928,63873024,653517
1786041013680892337,raycluster-historyserver-head-rcx62/ray-head,3197349888,3254976512,3255500800,14318800
1786041013680892337,raycluster-historyserver-cpu-worker-8mvkw/collector,55566336,56446976,57933824,608709
1786041013680892337,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,340373504,360988672,360992768,3340767
1786041013680892337,rayjob-bench-ldjmz/ray-job-submitter,99008512,109903872,115433472,3590089
1786041014727821296,raycluster-historyserver-head-rcx62/collector,62439424,63377408,63873024,658091
1786041014727821296,raycluster-historyserver-head-rcx62/ray-head,3226402816,3284127744,3284865024,14824857
1786041014727821296,raycluster-historyserver-cpu-worker-8mvkw/collector,55566336,56446976,57933824,608872
1786041014727821296,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,579457024,608145408,609837056,5504327
1786041014727821296,rayjob-bench-ldjmz/ray-job-submitter,102363136,113291264,115433472,3634255
1786041015780824297,raycluster-historyserver-head-rcx62/collector,94363648,98828288,98893824,1393865
1786041015780824297,raycluster-historyserver-head-rcx62/ray-head,3247349760,3309408256,3309953024,15655263
1786041015780824297,raycluster-historyserver-cpu-worker-8mvkw/collector,64397312,66347008,67579904,817316
1786041015780824297,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,778235904,813477888,813940736,7708136
1786041015780824297,rayjob-bench-ldjmz/ray-job-submitter,102371328,113295360,115433472,3634672
1786041016842844797,raycluster-historyserver-head-rcx62/collector,94654464,99860480,100315136,1461498
1786041016842844797,raycluster-historyserver-head-rcx62/ray-head,3258363904,3319648256,3320844288,16299994
1786041016842844797,raycluster-historyserver-cpu-worker-8mvkw/collector,69574656,73297920,73555968,1133661
1786041016842844797,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,877162496,915968000,916320256,9706415
1786041016842844797,rayjob-bench-ldjmz/ray-job-submitter,102379520,113303552,115433472,3634985
1786041017897813423,raycluster-historyserver-head-rcx62/collector,87433216,95985664,104529920,2115820
1786041017897813423,raycluster-historyserver-head-rcx62/ray-head,3274121216,3336278016,3336540160,17469044
1786041017897813423,raycluster-historyserver-cpu-worker-8mvkw/collector,72044544,78487552,78487552,1594930
1786041017897813423,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,929595392,970076160,971083776,11888321
1786041017897813423,rayjob-bench-ldjmz/ray-job-submitter,102379520,113303552,115433472,3634985
1786041018962825923,raycluster-historyserver-head-rcx62/collector,92938240,105349120,105615360,2877301
1786041018962825923,raycluster-historyserver-head-rcx62/ray-head,3293229056,3355176960,3360485376,18367872
1786041018962825923,raycluster-historyserver-cpu-worker-8mvkw/collector,73256960,79974400,83505152,1897088
1786041018962825923,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,908455936,947621888,975810560,13928387
1786041018962825923,rayjob-bench-ldjmz/ray-job-submitter,102379520,113303552,115433472,3634985
1786041020021817090,raycluster-historyserver-head-rcx62/collector,98082816,114307072,114499584,3594408
1786041020021817090,raycluster-historyserver-head-rcx62/ray-head,3318431744,3380506624,3391668224,19452306
1786041020021817090,raycluster-historyserver-cpu-worker-8mvkw/collector,77148160,85876736,86003712,2015945
1786041020021817090,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,915468288,954728448,975810560,16103359
1786041020021817090,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3635146
1786041021075753841,raycluster-historyserver-head-rcx62/collector,97112064,114651136,121597952,4214867
1786041021075753841,raycluster-historyserver-head-rcx62/ray-head,3346792448,3409002496,3410337792,20737714
1786041021075753841,raycluster-historyserver-cpu-worker-8mvkw/collector,86564864,98844672,98971648,2624114
1786041021075753841,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,931037184,971014144,975810560,18203530
1786041021075753841,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3635285
1786041022138875675,raycluster-historyserver-head-rcx62/collector,107442176,128589824,133988352,4681025
1786041022138875675,raycluster-historyserver-head-rcx62/ray-head,3373043712,3435974656,3441766400,21952501
1786041022138875675,raycluster-historyserver-cpu-worker-8mvkw/collector,86564864,98844672,98971648,2624114
1786041022138875675,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,940064768,980168704,981602304,20300927
1786041022138875675,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3635407
1786041023199799883,raycluster-historyserver-head-rcx62/collector,108220416,134467584,134725632,5438047
1786041023199799883,raycluster-historyserver-head-rcx62/ray-head,3379748864,3443191808,3448606720,23225622
1786041023199799883,raycluster-historyserver-cpu-worker-8mvkw/collector,89014272,101572608,105676800,3208631
1786041023199799883,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,973123584,1013448704,1016467456,22492296
1786041023199799883,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3635533
1786041024266783301,raycluster-historyserver-head-rcx62/collector,107610112,133877760,146153472,6020263
1786041024266783301,raycluster-historyserver-head-rcx62/ray-head,3437125632,3501101056,3502379008,24448768
1786041024266783301,raycluster-historyserver-cpu-worker-8mvkw/collector,101941248,121094144,121430016,3827168
1786041024266783301,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,968871936,1010053120,1016995840,24575465
1786041024266783301,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3635655
1786041025332796218,raycluster-historyserver-head-rcx62/collector,133742592,168042496,168194048,6864523
1786041025332796218,raycluster-historyserver-head-rcx62/ray-head,3495411712,3560919040,3560919040,26594748
1786041025332796218,raycluster-historyserver-cpu-worker-8mvkw/collector,101941248,121094144,121430016,3827168
1786041025332796218,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,969109504,1009733632,1016995840,26692921
1786041025332796218,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3635781
1786041026387757427,raycluster-historyserver-head-rcx62/collector,114278400,148611072,188391424,7371135
1786041026387757427,raycluster-historyserver-head-rcx62/ray-head,3613732864,3681386496,3684331520,28446083
1786041026387757427,raycluster-historyserver-cpu-worker-8mvkw/collector,100515840,122134528,137555968,4743540
1786041026387757427,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,985739264,1026838528,1029296128,28845360
1786041026387757427,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3635913
1786041027452938136,raycluster-historyserver-head-rcx62/collector,136638464,179191808,188391424,8327653
1786041027452938136,raycluster-historyserver-head-rcx62/ray-head,3621388288,3688759296,3697311744,29459237
1786041027452938136,raycluster-historyserver-cpu-worker-8mvkw/collector,110927872,136933376,137555968,5008535
1786041027452938136,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,985931776,1026904064,1029296128,30887759
1786041027452938136,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3636310
1786041028516795636,raycluster-historyserver-head-rcx62/collector,114442240,157003776,197402624,8887733
1786041028516795636,raycluster-historyserver-head-rcx62/ray-head,3648385024,3715891200,3717836800,30870565
1786041028516795636,raycluster-historyserver-cpu-worker-8mvkw/collector,120115200,146124800,146616320,5177631
1786041028516795636,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,996098048,1037185024,1043111936,33087439
1786041028516795636,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3636450
1786041029585764887,raycluster-historyserver-head-rcx62/collector,133820416,184356864,197402624,9832412
1786041029585764887,raycluster-historyserver-head-rcx62/ray-head,3657097216,3724619776,3726598144,31924718
1786041029585764887,raycluster-historyserver-cpu-worker-8mvkw/collector,118788096,151621632,151764992,6194660
1786041029585764887,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,982548480,1023840256,1043111936,35247478
1786041029585764887,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3636665
1786041030648807804,raycluster-historyserver-head-rcx62/collector,116518912,167084032,202997760,10318216
1786041030648807804,raycluster-historyserver-head-rcx62/ray-head,3677851648,3745402880,3748417536,33340122
1786041030648807804,raycluster-historyserver-cpu-worker-8mvkw/collector,118788096,151621632,151764992,6194660
1786041030648807804,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,982339584,1023705088,1043111936,37286930
1786041030648807804,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3636782
1786041031702812596,raycluster-historyserver-head-rcx62/collector,137039872,195817472,202997760,11279248
1786041031702812596,raycluster-historyserver-head-rcx62/ray-head,3674918912,3742691328,3756240896,34230312
1786041031702812596,raycluster-historyserver-cpu-worker-8mvkw/collector,87851008,120782848,158773248,6650295
1786041031702812596,raycluster-historyserver-cpu-worker-8mvkw/ray-worker,999239680,1040801792,1045258240,39459497
1786041031702812596,rayjob-bench-ldjmz/ray-job-submitter,102383616,113307648,115433472,3636921
