time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T13:30:10.466459-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:06Z,11931871000,3079688192
2026-08-06T13:30:10.466459-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:02Z,639329000,63238144
2026-08-06T13:30:10.466459-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:10Z,605767000,56426496
2026-08-06T13:30:10.466459-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:10Z,2990576000,296259584
2026-08-06T13:30:11.466834-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:11Z,2999866000,296472576
2026-08-06T13:30:11.466834-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:11.466834-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:06Z,11931871000,3079688192
2026-08-06T13:30:11.466834-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:02Z,639329000,63238144
2026-08-06T13:30:12.466355-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:06Z,11931871000,3079688192
2026-08-06T13:30:12.466355-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:02Z,639329000,63238144
2026-08-06T13:30:12.466355-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:12.466355-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:12Z,3010086000,296660992
2026-08-06T13:30:13.466845-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:06Z,11931871000,3079688192
2026-08-06T13:30:13.466845-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:02Z,639329000,63238144
2026-08-06T13:30:13.466845-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:13.466845-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:13Z,3018721000,296894464
2026-08-06T13:30:14.466756-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:06Z,11931871000,3079688192
2026-08-06T13:30:14.466756-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:02Z,639329000,63238144
2026-08-06T13:30:14.466756-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:14.466756-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:13Z,3018721000,296894464
2026-08-06T13:30:15.46647-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:13Z,3018721000,296894464
2026-08-06T13:30:15.46647-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:15.46647-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:06Z,11931871000,3079688192
2026-08-06T13:30:15.46647-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:02Z,639329000,63238144
2026-08-06T13:30:16.466808-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:16.466808-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:13Z,3018721000,296894464
2026-08-06T13:30:16.466808-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:06Z,11931871000,3079688192
2026-08-06T13:30:16.466808-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:02Z,639329000,63238144
2026-08-06T13:30:17.46697-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:06Z,11931871000,3079688192
2026-08-06T13:30:17.46697-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:02Z,639329000,63238144
2026-08-06T13:30:17.46697-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:17.46697-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:13Z,3018721000,296894464
2026-08-06T13:30:18.466899-05:00,job,raycluster-historyserver-head-rcx62,ray-head,2026-08-06T18:30:17Z,17462446000,3328798720
2026-08-06T13:30:18.466899-05:00,job,raycluster-historyserver-head-rcx62,collector,2026-08-06T18:30:18Z,2161410000,89321472
2026-08-06T13:30:18.466899-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:13Z,3018721000,296894464
2026-08-06T13:30:18.466899-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:19.466908-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,collector,2026-08-06T18:30:11Z,605767000,56426496
2026-08-06T13:30:19.466908-05:00,job,raycluster-historyserver-cpu-worker-8mvkw,ray-worker,2026-08-06T18:30:13Z,3018721000,296894464
