time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786046068225286552,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,284221440,304103424,306520064,2746362
1786046068225286552,raycluster-historyserver-cpu-worker-n6lzs/collector,55603200,56500224,58118144,492789
1786046068225286552,raycluster-historyserver-head-jnls9/ray-head,3362250752,3413938176,3415871488,11062644
1786046068225286552,raycluster-historyserver-head-jnls9/collector,61984768,62992384,63488000,615369
1786046069264059886,rayjob-bench-lv6h5/ray-job-submitter,61964288,68354048,71213056,667817
1786046069264059886,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,284389376,304279552,306520064,2756241
1786046069264059886,raycluster-historyserver-cpu-worker-n6lzs/collector,55603200,56500224,58118144,492789
1786046069264059886,raycluster-historyserver-head-jnls9/ray-head,3362443264,3414151168,3417878528,11117352
1786046069264059886,raycluster-historyserver-head-jnls9/collector,61984768,62992384,63488000,615508
1786046070304328428,rayjob-bench-lv6h5/ray-job-submitter,50647040,60964864,115286016,1659537
1786046070304328428,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,284573696,304472064,306520064,2765003
1786046070304328428,raycluster-historyserver-cpu-worker-n6lzs/collector,55603200,56500224,58118144,492789
1786046070304328428,raycluster-historyserver-head-jnls9/ray-head,3364720640,3416420352,3417956352,11150494
1786046070304328428,raycluster-historyserver-head-jnls9/collector,61984768,62992384,63488000,615508
1786046071341905804,rayjob-bench-lv6h5/ray-job-submitter,44883968,55017472,115286016,2563765
1786046071341905804,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,284622848,304693248,306520064,2775861
1786046071341905804,raycluster-historyserver-cpu-worker-n6lzs/collector,55615488,56512512,58118144,495229
1786046071341905804,raycluster-historyserver-head-jnls9/ray-head,3421708288,3477422080,3478786048,12588527
1786046071341905804,raycluster-historyserver-head-jnls9/collector,61984768,63041536,63512576,619793
1786046072382175804,rayjob-bench-lv6h5/ray-job-submitter,102367232,113283072,115286016,3146723
1786046072382175804,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,461963264,486567936,487395328,3849921
1786046072382175804,raycluster-historyserver-cpu-worker-n6lzs/collector,55615488,56512512,58118144,495380
1786046072382175804,raycluster-historyserver-head-jnls9/ray-head,3528863744,3587330048,3588317184,13309105
1786046072382175804,raycluster-historyserver-head-jnls9/collector,62038016,63078400,63574016,623695
1786046073419926721,rayjob-bench-lv6h5/ray-job-submitter,102371328,113278976,115286016,3147045
1786046073419926721,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,703037440,735191040,735297536,6048610
1786046073419926721,raycluster-historyserver-cpu-worker-n6lzs/collector,55615488,56512512,58118144,495380
1786046073419926721,raycluster-historyserver-head-jnls9/ray-head,3582685184,3640602624,3642126336,14040619
1786046073419926721,raycluster-historyserver-head-jnls9/collector,75210752,76537856,76537856,863530
1786046074463972055,rayjob-bench-lv6h5/ray-job-submitter,102371328,113278976,115286016,3147177
1786046074463972055,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,862027776,900390912,901509120,8049952
1786046074463972055,raycluster-historyserver-cpu-worker-n6lzs/collector,71143424,74440704,74678272,941445
1786046074463972055,raycluster-historyserver-head-jnls9/ray-head,3610632192,3669004288,3670282240,14882857
1786046074463972055,raycluster-historyserver-head-jnls9/collector,81932288,86224896,100499456,1396764
1786046075501028958,rayjob-bench-lv6h5/ray-job-submitter,102371328,113278976,115286016,3147316
1786046075501028958,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,939339776,980615168,982003712,10238356
1786046075501028958,raycluster-historyserver-cpu-worker-n6lzs/collector,72351744,77545472,77852672,1266119
1786046075501028958,raycluster-historyserver-head-jnls9/ray-head,3626184704,3685036032,3687514112,15997922
1786046075501028958,raycluster-historyserver-head-jnls9/collector,99000320,107200512,108789760,2000713
1786046076551056084,rayjob-bench-lv6h5/ray-job-submitter,102375424,113283072,115286016,3147451
1786046076551056084,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,914104320,953389056,994668544,12246793
1786046076551056084,raycluster-historyserver-cpu-worker-n6lzs/collector,76165120,83247104,83308544,1600830
1786046076551056084,raycluster-historyserver-head-jnls9/ray-head,3641090048,3701854208,3701854208,17066590
1786046076551056084,raycluster-historyserver-head-jnls9/collector,95989760,108318720,109363200,2646091
1786046077592393376,rayjob-bench-lv6h5/ray-job-submitter,102379520,113287168,115286016,3147608
1786046077592393376,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,939376640,978157568,994668544,14339992
1786046077592393376,raycluster-historyserver-cpu-worker-n6lzs/collector,76165120,83247104,83308544,1600830
1786046077592393376,raycluster-historyserver-head-jnls9/ray-head,3663654912,3724902400,3730472960,17936027
1786046077592393376,raycluster-historyserver-head-jnls9/collector,98304000,115093504,115355648,3451200
1786046078640493960,rayjob-bench-lv6h5/ray-job-submitter,102379520,113287168,115286016,3147732
1786046078640493960,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,943874048,984420352,994668544,16447487
1786046078640493960,raycluster-historyserver-cpu-worker-n6lzs/collector,86609920,98086912,98271232,2349652
1786046078640493960,raycluster-historyserver-head-jnls9/ray-head,3696234496,3756851200,3758878720,18942327
1786046078640493960,raycluster-historyserver-head-jnls9/collector,102592512,123658240,124108800,4232231
1786046079680422752,rayjob-bench-lv6h5/ray-job-submitter,102379520,113287168,115286016,3147880
1786046079680422752,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,951865344,992550912,994668544,18448088
1786046079680422752,raycluster-historyserver-cpu-worker-n6lzs/collector,86609920,98086912,98271232,2349652
1786046079680422752,raycluster-historyserver-head-jnls9/ray-head,3722506240,3783385088,3786272768,20046147
1786046079680422752,raycluster-historyserver-head-jnls9/collector,99348480,121679872,130994176,4831061
1786046080722105294,rayjob-bench-lv6h5/ray-job-submitter,102379520,113287168,115286016,3148031
1786046080722105294,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,980369408,1021689856,1023619072,20645804
1786046080722105294,raycluster-historyserver-cpu-worker-n6lzs/collector,97886208,109596672,110751744,3015102
1786046080722105294,raycluster-historyserver-head-jnls9/ray-head,3726692352,3787513856,3796553728,21363897
1786046080722105294,raycluster-historyserver-head-jnls9/collector,85737472,113082368,142831616,5285910
1786046081769300919,rayjob-bench-lv6h5/ray-job-submitter,102379520,113287168,115286016,3148153
1786046081769300919,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,981667840,1022902272,1024950272,22645935
1786046081769300919,raycluster-historyserver-cpu-worker-n6lzs/collector,103444480,121794560,122191872,3511744
1786046081769300919,raycluster-historyserver-head-jnls9/ray-head,3749847040,3811758080,3813269504,22580484
1786046081769300919,raycluster-historyserver-head-jnls9/collector,104689664,137216000,142831616,5999142
1786046082811996503,rayjob-bench-lv6h5/ray-job-submitter,102379520,113287168,115286016,3148265
1786046082811996503,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,997826560,1039560704,1044758528,24846054
1786046082811996503,raycluster-historyserver-cpu-worker-n6lzs/collector,119291904,137674752,137965568,3657738
1786046082811996503,raycluster-historyserver-head-jnls9/ray-head,3802619904,3864530944,3866284032,23699455
1786046082811996503,raycluster-historyserver-head-jnls9/collector,107163648,139694080,146354176,6612947
1786046083861118129,rayjob-bench-lv6h5/ray-job-submitter,102379520,113287168,115286016,3148392
1786046083861118129,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,983982080,1025716224,1044758528,26734630
1786046083861118129,raycluster-historyserver-cpu-worker-n6lzs/collector,119877632,145080320,145379328,4636571
1786046083861118129,raycluster-historyserver-head-jnls9/ray-head,3862781952,3927773184,3927773184,25459679
1786046083861118129,raycluster-historyserver-head-jnls9/collector,134234112,174854144,175022080,7364211
1786046084905160004,rayjob-bench-lv6h5/ray-job-submitter,102379520,113287168,115286016,3148513
1786046084905160004,raycluster-historyserver-cpu-worker-n6lzs/ray-worker,982564864,1024561152,1044758528,28812904
