time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T14:57:34.559485-05:00,job,raycluster-historyserver-head-prqcs,ray-head,2026-08-06T19:57:28Z,10063744000,3480498176
2026-08-06T14:57:34.559485-05:00,job,raycluster-historyserver-head-prqcs,collector,2026-08-06T19:57:29Z,582580000,61714432
2026-08-06T14:57:34.559485-05:00,job,raycluster-historyserver-cpu-worker-qkgz8,collector,2026-08-06T19:57:34Z,553520000,57081856
2026-08-06T14:57:34.559485-05:00,job,raycluster-historyserver-cpu-worker-qkgz8,ray-worker,2026-08-06T19:57:34Z,2804178000,298795008
2026-08-06T14:57:35.558583-05:00,job,raycluster-historyserver-head-prqcs,collector,2026-08-06T19:57:29Z,582580000,61714432
2026-08-06T14:57:35.558583-05:00,job,raycluster-historyserver-head-prqcs,ray-head,2026-08-06T19:57:28Z,10063744000,3480498176
2026-08-06T14:57:35.558583-05:00,job,raycluster-historyserver-cpu-worker-qkgz8,ray-worker,2026-08-06T19:57:35Z,2813200000,298905600
2026-08-06T14:57:35.558583-05:00,job,raycluster-historyserver-cpu-worker-qkgz8,collector,2026-08-06T19:57:35Z,553520000,57081856
2026-08-06T14:57:36.559452-05:00,job,raycluster-historyserver-head-prqcs,ray-head,2026-08-06T19:57:28Z,10063744000,3480498176
2026-08-06T14:57:36.559452-05:00,job,raycluster-historyserver-head-prqcs,collector,2026-08-06T19:57:29Z,582580000,61714432
2026-08-06T14:57:36.559452-05:00,job,raycluster-historyserver-cpu-worker-qkgz8,ray-worker,2026-08-06T19:57:36Z,2822487000,298950656
2026-08-06T14:57:36.559452-05:00,job,raycluster-historyserver-cpu-worker-qkgz8,collector,2026-08-06T19:57:36Z,553520000,57081856
2026-08-06T14:57:37.559451-05:00,job,raycluster-historyserver-cpu-worker-qkgz8,ray-worker,2026-08-06T19:57:36Z,2824327000,299122688
2026-08-06T14:57:37.559451-05:00,job,raycluster-historyserver-cpu-worker-qkgz8,collector,2026-08-06T19:57:37Z,556026000,57085952
2026-08-06T14:57:37.559451-05:00,job,raycluster-historyserver-head-prqcs,collector,2026-08-06T19:57:29Z,582580000,61714432
2026-08-06T14:57:37.559451-05:00,job,raycluster-historyserver-head-prqcs,ray-head,2026-08-06T19:57:28Z,10063744000,3480498176
2026-08-06T14:57:38.559326-05:00,job,raycluster-historyserver-head-prqcs,collector,2026-08-06T19:57:29Z,582580000,61714432
2026-08-06T14:57:38.559326-05:00,job,raycluster-historyserver-head-prqcs,ray-head,2026-08-06T19:57:28Z,10063744000,3480498176
