time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786045741965788804,raycluster-historyserver-head-2rgq7/ray-head,3278852096,3331911680,3333279744,10368718
1786045741965788804,raycluster-historyserver-head-2rgq7/collector,61886464,62849024,64176128,617095
1786045741965788804,raycluster-historyserver-cpu-worker-c4plj/ray-worker,284434432,304230400,306089984,2924210
1786045741965788804,raycluster-historyserver-cpu-worker-c4plj/collector,55402496,56315904,57626624,563218
1786045743000445471,raycluster-historyserver-head-2rgq7/ray-head,3278983168,3332034560,3333324800,10411877
1786045743000445471,raycluster-historyserver-head-2rgq7/collector,61890560,62853120,64176128,619115
1786045743000445471,rayjob-bench-qm6wh/ray-job-submitter,57876480,63840256,63840256,629024
1786045743000445471,raycluster-historyserver-cpu-worker-c4plj/ray-worker,284651520,304451584,306089984,2934660
1786045743000445471,raycluster-historyserver-cpu-worker-c4plj/collector,55402496,56315904,57626624,563218
1786045744038269638,raycluster-historyserver-head-2rgq7/ray-head,3279212544,3332263936,3335946240,10466370
1786045744038269638,raycluster-historyserver-head-2rgq7/collector,61890560,62853120,64176128,619282
1786045744038269638,rayjob-bench-qm6wh/ray-job-submitter,44396544,55316480,115769344,1658500
1786045744038269638,raycluster-historyserver-cpu-worker-c4plj/ray-worker,284827648,304635904,306089984,2944140
1786045744038269638,raycluster-historyserver-cpu-worker-c4plj/collector,55402496,56315904,57626624,563218
1786045745078261166,raycluster-historyserver-head-2rgq7/ray-head,3321548800,3376873472,3387584512,11754746
1786045745078261166,raycluster-historyserver-head-2rgq7/collector,61902848,62865408,64176128,621026
1786045745078261166,rayjob-bench-qm6wh/ray-job-submitter,37462016,47484928,115769344,2548395
1786045745078261166,raycluster-historyserver-cpu-worker-c4plj/ray-worker,284897280,304705536,306089984,2954402
1786045745078261166,raycluster-historyserver-cpu-worker-c4plj/collector,55402496,56315904,57626624,563218
1786045746126121583,raycluster-historyserver-head-2rgq7/ray-head,3441033216,3500486656,3502006272,12621007
1786045746126121583,raycluster-historyserver-head-2rgq7/collector,61931520,62894080,64176128,624795
1786045746126121583,rayjob-bench-qm6wh/ray-job-submitter,102367232,113287168,115769344,3228035
1786045746126121583,raycluster-historyserver-cpu-worker-c4plj/ray-worker,455852032,480178176,480702464,4016070
1786045746126121583,raycluster-historyserver-cpu-worker-c4plj/collector,55431168,56344576,57626624,565367
1786045747186950126,raycluster-historyserver-head-2rgq7/ray-head,3493031936,3552555008,3555246080,13301734
1786045747186950126,raycluster-historyserver-head-2rgq7/collector,74539008,75644928,75644928,849231
1786045747186950126,rayjob-bench-qm6wh/ray-job-submitter,102371328,113291264,115769344,3228272
1786045747186950126,raycluster-historyserver-cpu-worker-c4plj/ray-worker,678510592,711491584,712015872,6181850
1786045747186950126,raycluster-historyserver-cpu-worker-c4plj/collector,55431168,56344576,57626624,565507
1786045748258977418,raycluster-historyserver-head-2rgq7/ray-head,3517394944,3577061376,3581358080,14163323
1786045748258977418,raycluster-historyserver-head-2rgq7/collector,94932992,99127296,99745792,1385571
1786045748258977418,rayjob-bench-qm6wh/ray-job-submitter,102371328,113291264,115769344,3228392
1786045748258977418,raycluster-historyserver-cpu-worker-c4plj/ray-worker,835600384,873361408,873914368,8260604
1786045748258977418,raycluster-historyserver-cpu-worker-c4plj/collector,69120000,71397376,71815168,904989
1786045749337928793,raycluster-historyserver-head-2rgq7/ray-head,3516829696,3577036800,3582545920,14883656
1786045749337928793,raycluster-historyserver-head-2rgq7/collector,99307520,108822528,109256704,2167453
1786045749337928793,rayjob-bench-qm6wh/ray-job-submitter,102371328,113291264,115769344,3228513
1786045749337928793,raycluster-historyserver-cpu-worker-c4plj/ray-worker,936382464,976560128,977571840,10447826
1786045749337928793,raycluster-historyserver-cpu-worker-c4plj/collector,71348224,76169216,76632064,1251158
1786045750413141669,raycluster-historyserver-head-2rgq7/ray-head,3561512960,3622002688,3622719488,16077591
1786045750413141669,raycluster-historyserver-head-2rgq7/collector,82313216,92041216,114180096,2523585
1786045750413141669,rayjob-bench-qm6wh/ray-job-submitter,102371328,113291264,115769344,3228657
1786045750413141669,raycluster-historyserver-cpu-worker-c4plj/ray-worker,921108480,959959040,999825408,12644807
1786045750413141669,raycluster-historyserver-cpu-worker-c4plj/collector,78499840,83324928,84299776,1562830
1786045751523788253,raycluster-historyserver-head-2rgq7/ray-head,3587735552,3648290816,3651207168,17400519
1786045751523788253,raycluster-historyserver-head-2rgq7/collector,104738816,118874112,119689216,3039302
1786045751523788253,rayjob-bench-qm6wh/ray-job-submitter,102375424,113295360,115769344,3228815
1786045751523788253,raycluster-historyserver-cpu-worker-c4plj/ray-worker,928382976,967569408,999825408,14845755
1786045751523788253,raycluster-historyserver-cpu-worker-c4plj/collector,80920576,88625152,89497600,1777642
1786045752613479878,raycluster-historyserver-head-2rgq7/ray-head,3604402176,3664678912,3665207296,18376440
1786045752613479878,raycluster-historyserver-head-2rgq7/collector,104034304,123424768,123510784,3901541
1786045752613479878,rayjob-bench-qm6wh/ray-job-submitter,102379520,113299456,115769344,3228946
1786045752613479878,raycluster-historyserver-cpu-worker-c4plj/ray-worker,956510208,996339712,999825408,17045662
1786045752613479878,raycluster-historyserver-cpu-worker-c4plj/collector,85774336,95215616,95805440,2368610
1786045753713473587,raycluster-historyserver-head-2rgq7/ray-head,3620483072,3681329152,3698016256,19338104
1786045753713473587,raycluster-historyserver-head-2rgq7/collector,107184128,131284992,131837952,4742347
1786045753713473587,rayjob-bench-qm6wh/ray-job-submitter,102379520,113299456,115769344,3229100
1786045753713473587,raycluster-historyserver-cpu-worker-c4plj/ray-worker,958906368,999485440,1000517632,19230408
1786045753713473587,raycluster-historyserver-cpu-worker-c4plj/collector,97681408,110346240,111853568,2641239
1786045754778499421,raycluster-historyserver-head-2rgq7/ray-head,3648401408,3708846080,3710193664,20491411
1786045754778499421,raycluster-historyserver-head-2rgq7/collector,102797312,130736128,136437760,5432583
1786045754778499421,rayjob-bench-qm6wh/ray-job-submitter,102379520,113299456,115769344,3229226
1786045754778499421,raycluster-historyserver-cpu-worker-c4plj/ray-worker,983760896,1023975424,1026768896,21242212
1786045754778499421,raycluster-historyserver-cpu-worker-c4plj/collector,105066496,118149120,118149120,2832697
1786045755829461505,raycluster-historyserver-head-2rgq7/ray-head,3685801984,3746734080,3747762176,21922446
1786045755829461505,raycluster-historyserver-head-2rgq7/collector,89989120,119279616,136437760,5976823
1786045755829461505,rayjob-bench-qm6wh/ray-job-submitter,102379520,113299456,115769344,3229339
1786045755829461505,raycluster-historyserver-cpu-worker-c4plj/ray-worker,975872000,1016344576,1028952064,23440946
1786045755829461505,raycluster-historyserver-cpu-worker-c4plj/collector,112222208,131760128,132202496,3819179
1786045756887414047,raycluster-historyserver-head-2rgq7/ray-head,3714199552,3775033344,3775033344,23253905
1786045756887414047,raycluster-historyserver-head-2rgq7/collector,103604224,136691712,137654272,6349398
1786045756887414047,rayjob-bench-qm6wh/ray-job-submitter,102379520,113299456,115769344,3229502
1786045756887414047,raycluster-historyserver-cpu-worker-c4plj/ray-worker,977108992,1017806848,1028952064,25456480
1786045756887414047,raycluster-historyserver-cpu-worker-c4plj/collector,112222208,131760128,132202496,3819253
1786045757940539547,raycluster-historyserver-head-2rgq7/ray-head,3758178304,3819503616,3821010944,24188086
