time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T14:49:02.919077-05:00,job,raycluster-historyserver-head-2rgq7,collector,2026-08-06T19:48:59Z,615971000,62836736
2026-08-06T14:49:02.919077-05:00,job,raycluster-historyserver-head-2rgq7,ray-head,2026-08-06T19:49:00Z,10310812000,3324682240
2026-08-06T14:49:02.919077-05:00,job,raycluster-historyserver-cpu-worker-c4plj,collector,2026-08-06T19:49:02Z,563218000,56311808
2026-08-06T14:49:02.919077-05:00,job,raycluster-historyserver-cpu-worker-c4plj,ray-worker,2026-08-06T19:49:02Z,2933837000,298766336
2026-08-06T14:49:03.918389-05:00,job,raycluster-historyserver-cpu-worker-c4plj,ray-worker,2026-08-06T19:49:03Z,2943049000,298950656
2026-08-06T14:49:03.918389-05:00,job,raycluster-historyserver-cpu-worker-c4plj,collector,2026-08-06T19:49:03Z,563218000,56311808
2026-08-06T14:49:03.918389-05:00,job,raycluster-historyserver-head-2rgq7,ray-head,2026-08-06T19:49:00Z,10310812000,3324682240
2026-08-06T14:49:03.918389-05:00,job,raycluster-historyserver-head-2rgq7,collector,2026-08-06T19:48:59Z,615971000,62836736
2026-08-06T14:49:04.919053-05:00,job,raycluster-historyserver-head-2rgq7,collector,2026-08-06T19:48:59Z,615971000,62836736
2026-08-06T14:49:04.919053-05:00,job,raycluster-historyserver-head-2rgq7,ray-head,2026-08-06T19:49:00Z,10310812000,3324682240
2026-08-06T14:49:04.919053-05:00,job,raycluster-historyserver-cpu-worker-c4plj,ray-worker,2026-08-06T19:49:04Z,2952670000,299020288
2026-08-06T14:49:04.919053-05:00,job,raycluster-historyserver-cpu-worker-c4plj,collector,2026-08-06T19:49:04Z,563218000,56311808
2026-08-06T14:49:05.91908-05:00,job,raycluster-historyserver-cpu-worker-c4plj,collector,2026-08-06T19:49:05Z,563218000,56311808
2026-08-06T14:49:05.91908-05:00,job,raycluster-historyserver-cpu-worker-c4plj,ray-worker,2026-08-06T19:49:05Z,2959477000,299487232
2026-08-06T14:49:05.91908-05:00,job,raycluster-historyserver-head-2rgq7,ray-head,2026-08-06T19:49:00Z,10310812000,3324682240
2026-08-06T14:49:05.91908-05:00,job,raycluster-historyserver-head-2rgq7,collector,2026-08-06T19:48:59Z,615971000,62836736
2026-08-06T14:49:06.91824-05:00,job,raycluster-historyserver-head-2rgq7,collector,2026-08-06T19:48:59Z,615971000,62836736
2026-08-06T14:49:06.91824-05:00,job,raycluster-historyserver-head-2rgq7,ray-head,2026-08-06T19:49:00Z,10310812000,3324682240
2026-08-06T14:49:06.91824-05:00,job,raycluster-historyserver-cpu-worker-c4plj,collector,2026-08-06T19:49:05Z,563218000,56311808
2026-08-06T14:49:06.91824-05:00,job,raycluster-historyserver-cpu-worker-c4plj,ray-worker,2026-08-06T19:49:05Z,2959477000,299487232
2026-08-06T14:49:07.919101-05:00,job,raycluster-historyserver-cpu-worker-c4plj,collector,2026-08-06T19:49:05Z,563218000,56311808
2026-08-06T14:49:07.919101-05:00,job,raycluster-historyserver-cpu-worker-c4plj,ray-worker,2026-08-06T19:49:05Z,2959477000,299487232
2026-08-06T14:49:07.919101-05:00,job,raycluster-historyserver-head-2rgq7,ray-head,2026-08-06T19:49:00Z,10310812000,3324682240
2026-08-06T14:49:07.919101-05:00,job,raycluster-historyserver-head-2rgq7,collector,2026-08-06T19:48:59Z,615971000,62836736
2026-08-06T14:49:08.918225-05:00,job,raycluster-historyserver-cpu-worker-c4plj,ray-worker,2026-08-06T19:49:05Z,2959477000,299487232
2026-08-06T14:49:08.918225-05:00,job,raycluster-historyserver-cpu-worker-c4plj,collector,2026-08-06T19:49:05Z,563218000,56311808
