time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786045866223672833,raycluster-historyserver-cpu-worker-fzjdw/collector,55533568,56418304,58011648,516808
1786045866223672833,raycluster-historyserver-cpu-worker-fzjdw/ray-worker,282365952,302157824,304041984,2692442
1786045866223672833,raycluster-historyserver-head-scg8b/ray-head,3316449280,3371737088,3373506560,10567001
1786045866223672833,raycluster-historyserver-head-scg8b/collector,61194240,62210048,62722048,611906
1786045867258212667,rayjob-bench-j85rp/ray-job-submitter,61272064,67633152,69292032,754859
1786045867258212667,raycluster-historyserver-cpu-worker-fzjdw/collector,55533568,56418304,58011648,516808
1786045867258212667,raycluster-historyserver-cpu-worker-fzjdw/ray-worker,282574848,302362624,304041984,2701232
1786045867258212667,raycluster-historyserver-head-scg8b/ray-head,3316621312,3371868160,3375194112,10622381
1786045867258212667,raycluster-historyserver-head-scg8b/collector,61194240,62210048,62722048,612101
1786045868324508918,rayjob-bench-j85rp/ray-job-submitter,56020992,66174976,116011008,1707035
1786045868324508918,raycluster-historyserver-cpu-worker-fzjdw/collector,55533568,56418304,58011648,516808
1786045868324508918,raycluster-historyserver-cpu-worker-fzjdw/ray-worker,282755072,302551040,304041984,2710678
1786045868324508918,raycluster-historyserver-head-scg8b/ray-head,3316805632,3372294144,3375194112,10669800
1786045868324508918,raycluster-historyserver-head-scg8b/collector,61194240,62214144,62722048,613135
1786045869364522293,rayjob-bench-j85rp/ray-job-submitter,51322880,61452288,116011008,2633706
1786045869364522293,raycluster-historyserver-cpu-worker-fzjdw/collector,55533568,56430592,58011648,518990
1786045869364522293,raycluster-historyserver-cpu-worker-fzjdw/ray-worker,282951680,302755840,304041984,2720137
1786045869364522293,raycluster-historyserver-head-scg8b/ray-head,3381764096,3440308224,3440308224,11801979
1786045869364522293,raycluster-historyserver-head-scg8b/collector,61247488,62275584,62738432,616224
1786045870405739127,rayjob-bench-j85rp/ray-job-submitter,102359040,113287168,116011008,3175487
