time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T14:51:07.183176-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:07.183176-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:07.183176-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:07.183176-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:50:58Z,603577000,62193664
2026-08-06T14:51:08.183459-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:08.183459-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:50:58Z,603577000,62193664
2026-08-06T14:51:08.183459-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:08.183459-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:09.183162-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:09.183162-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:09.183162-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:09.183162-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:50:58Z,603577000,62193664
2026-08-06T14:51:10.183499-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:50:58Z,603577000,62193664
2026-08-06T14:51:10.183499-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:10.183499-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:10.183499-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:11.183458-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:11.183458-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:11.183458-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:11.183458-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:50:58Z,603577000,62193664
2026-08-06T14:51:12.183466-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:12.183466-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:50:58Z,603577000,62193664
2026-08-06T14:51:12.183466-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:12.183466-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:13.183504-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:13.183504-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:13.183504-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:13.183504-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:50:58Z,603577000,62193664
2026-08-06T14:51:14.18349-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:14.18349-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:14.18349-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:14.18349-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:15.182588-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:15.182588-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:15.182588-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:15.182588-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:16.182527-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:16.182527-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:16.182527-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:04Z,510472000,56287232
2026-08-06T14:51:16.182527-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:06Z,2691183000,296468480
2026-08-06T14:51:17.182549-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:00Z,10203822000,3362852864
2026-08-06T14:51:17.182549-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:17.182549-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:16Z,15701072000,965427200
2026-08-06T14:51:17.182549-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:17Z,2285123000,87388160
2026-08-06T14:51:18.183477-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:17Z,2285123000,87388160
2026-08-06T14:51:18.183477-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:16Z,15701072000,965427200
2026-08-06T14:51:18.183477-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:18Z,19716067000,3759112192
2026-08-06T14:51:18.183477-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:19.18346-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:17Z,2285123000,87388160
2026-08-06T14:51:19.18346-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:16Z,15701072000,965427200
2026-08-06T14:51:19.18346-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:18Z,19716067000,3759112192
2026-08-06T14:51:19.18346-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:20.18345-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:18Z,19716067000,3759112192
2026-08-06T14:51:20.18345-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:20.18345-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:16Z,15701072000,965427200
2026-08-06T14:51:20.18345-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:17Z,2285123000,87388160
2026-08-06T14:51:21.18347-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:21.18347-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:18Z,19716067000,3759112192
2026-08-06T14:51:21.18347-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:16Z,15701072000,965427200
2026-08-06T14:51:21.18347-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:17Z,2285123000,87388160
2026-08-06T14:51:22.183461-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:18Z,19716067000,3759112192
2026-08-06T14:51:22.183461-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:22.183461-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,collector,2026-08-06T19:51:17Z,2285123000,87388160
2026-08-06T14:51:22.183461-05:00,job,raycluster-historyserver-cpu-worker-fzjdw,ray-worker,2026-08-06T19:51:16Z,15701072000,965427200
2026-08-06T14:51:23.182667-05:00,job,raycluster-historyserver-head-scg8b,collector,2026-08-06T19:51:13Z,2214196000,97857536
2026-08-06T14:51:23.182667-05:00,job,raycluster-historyserver-head-scg8b,ray-head,2026-08-06T19:51:18Z,19716067000,3759112192
