time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786046867621575881,raycluster-historyserver-head-bb29z/collector,60411904,61407232,61931520,673001
1786046867621575881,raycluster-historyserver-head-bb29z/ray-head,3515629568,3570323456,3572817920,17551502
1786046867621575881,raycluster-historyserver-cpu-worker-4cmcn/collector,55291904,56168448,57995264,536864
1786046867621575881,raycluster-historyserver-cpu-worker-4cmcn/ray-worker,282161152,302129152,303661056,2857900
1786046868662194381,rayjob-bench-52rpf/ray-job-submitter,55189504,61083648,61083648,629922
1786046868662194381,raycluster-historyserver-head-bb29z/collector,60411904,61407232,61931520,673001
1786046868662194381,raycluster-historyserver-head-bb29z/ray-head,3515797504,3570499584,3572817920,17603050
1786046868662194381,raycluster-historyserver-cpu-worker-4cmcn/collector,55291904,56168448,57995264,536864
1786046868662194381,raycluster-historyserver-cpu-worker-4cmcn/ray-worker,282411008,302194688,303661056,2867608
1786046869705086423,rayjob-bench-52rpf/ray-job-submitter,23150592,33378304,115523584,1656509
1786046869705086423,raycluster-historyserver-head-bb29z/collector,60411904,61407232,61931520,673001
1786046869705086423,raycluster-historyserver-head-bb29z/ray-head,3512987648,3568439296,3572817920,17645282
1786046869705086423,raycluster-historyserver-cpu-worker-4cmcn/collector,55291904,56168448,57995264,536864
1786046869705086423,raycluster-historyserver-cpu-worker-4cmcn/ray-worker,282624000,302419968,303661056,2879291
1786046870746143174,rayjob-bench-52rpf/ray-job-submitter,102760448,113995776,115523584,2559196
1786046870746143174,raycluster-historyserver-head-bb29z/collector,60420096,61415424,61931520,674884
1786046870746143174,raycluster-historyserver-head-bb29z/ray-head,3546529792,3603288064,3603550208,18715454
1786046870746143174,raycluster-historyserver-cpu-worker-4cmcn/collector,55291904,56168448,57995264,536864
1786046870746143174,raycluster-historyserver-cpu-worker-4cmcn/ray-worker,282816512,302620672,303661056,2888766
1786046871792252716,rayjob-bench-52rpf/ray-job-submitter,102363136,113283072,115523584,3548292
1786046871792252716,raycluster-historyserver-head-bb29z/collector,60514304,61517824,61931520,682536
1786046871792252716,raycluster-historyserver-head-bb29z/ray-head,3676049408,3737673728,3738439680,19838916
1786046871792252716,raycluster-historyserver-cpu-worker-4cmcn/collector,55377920,56262656,58060800,542773
1786046871792252716,raycluster-historyserver-cpu-worker-4cmcn/ray-worker,351391744,373641216,375230464,3343552
1786046872838161550,rayjob-bench-52rpf/ray-job-submitter,102363136,113283072,115523584,3548454
1786046872838161550,raycluster-historyserver-head-bb29z/collector,60579840,61591552,61931520,684512
1786046872838161550,raycluster-historyserver-head-bb29z/ray-head,3712565248,3775201280,3775205376,20422772
1786046872838161550,raycluster-historyserver-cpu-worker-4cmcn/collector,55377920,56258560,58060800,542950
1786046872838161550,raycluster-historyserver-cpu-worker-4cmcn/ray-worker,586932224,616636416,617730048,5460647
1786046873883198384,rayjob-bench-52rpf/ray-job-submitter,102375424,113295360,115523584,3548454
1786046873883198384,raycluster-historyserver-head-bb29z/collector,92360704,96624640,98103296,1363778
1786046873883198384,raycluster-historyserver-head-bb29z/ray-head,3735564288,3797929984,3799044096,21184914
1786046873883198384,raycluster-historyserver-cpu-worker-4cmcn/collector,67903488,70275072,71151616,854147
1786046873883198384,raycluster-historyserver-cpu-worker-4cmcn/ray-worker,797114368,832425984,833077248,7661898
1786046874935152967,rayjob-bench-52rpf/ray-job-submitter,102375424,113295360,115523584,3548454
1786046874935152967,raycluster-historyserver-head-bb29z/collector,84058112,92491776,98103296,1621401
1786046874935152967,raycluster-historyserver-head-bb29z/ray-head,3749330944,3812544512,3814592512,21997283
