time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786047187934290751,raycluster-historyserver-cpu-worker-sspg7/ray-worker,282316800,302174208,303247360,2953196
1786047187934290751,raycluster-historyserver-cpu-worker-sspg7/collector,55013376,55844864,57774080,556695
1786047187934290751,raycluster-historyserver-head-8jdc9/ray-head,3542122496,3596677120,3598614528,11268166
1786047187934290751,raycluster-historyserver-head-8jdc9/collector,61616128,62595072,63102976,620680
1786047188969924251,raycluster-historyserver-cpu-worker-sspg7/ray-worker,282341376,302366720,303247360,2962512
1786047188969924251,raycluster-historyserver-cpu-worker-sspg7/collector,55013376,55844864,57774080,556695
1786047188969924251,rayjob-bench-5fqgk/ray-job-submitter,58626048,65765376,68476928,696784
1786047188969924251,raycluster-historyserver-head-8jdc9/ray-head,3542257664,3596828672,3600936960,11322242
1786047188969924251,raycluster-historyserver-head-8jdc9/collector,61616128,62595072,63102976,620680
1786047190013913877,raycluster-historyserver-cpu-worker-sspg7/ray-worker,282525696,302391296,303419392,2973275
1786047190013913877,raycluster-historyserver-cpu-worker-sspg7/collector,55013376,55844864,57774080,556695
1786047190013913877,rayjob-bench-5fqgk/ray-job-submitter,25853952,36106240,116289536,1684931
1786047190013913877,raycluster-historyserver-head-8jdc9/ray-head,3542564864,3597148160,3600936960,11369821
1786047190013913877,raycluster-historyserver-head-8jdc9/collector,61616128,62595072,63102976,620680
1786047191062063294,raycluster-historyserver-cpu-worker-sspg7/ray-worker,282746880,302620672,303620096,2984878
1786047191062063294,raycluster-historyserver-cpu-worker-sspg7/collector,55017472,55848960,57774080,559885
1786047191062063294,rayjob-bench-5fqgk/ray-job-submitter,102756352,113725440,116289536,2559441
1786047191062063294,raycluster-historyserver-head-8jdc9/ray-head,3574423552,3630800896,3630837760,12208209
1786047191062063294,raycluster-historyserver-head-8jdc9/collector,61616128,62595072,63102976,622309
1786047192157848878,raycluster-historyserver-cpu-worker-sspg7/ray-worker,351432704,373776384,373915648,3474276
1786047192157848878,raycluster-historyserver-cpu-worker-sspg7/collector,55017472,55848960,57774080,560009
