time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T15:13:08.887777-05:00,job,raycluster-historyserver-head-8jdc9,ray-head,2026-08-06T20:13:05Z,11113723000,3589648384
2026-08-06T15:13:08.887777-05:00,job,raycluster-historyserver-head-8jdc9,collector,2026-08-06T20:13:01Z,609522000,62562304
2026-08-06T15:13:08.887777-05:00,job,raycluster-historyserver-cpu-worker-sspg7,ray-worker,2026-08-06T20:13:08Z,2961574000,296513536
2026-08-06T15:13:08.887777-05:00,job,raycluster-historyserver-cpu-worker-sspg7,collector,2026-08-06T20:13:08Z,556695000,55840768
2026-08-06T15:13:09.888356-05:00,job,raycluster-historyserver-cpu-worker-sspg7,ray-worker,2026-08-06T20:13:08Z,2962754000,296681472
2026-08-06T15:13:09.888356-05:00,job,raycluster-historyserver-cpu-worker-sspg7,collector,2026-08-06T20:13:09Z,556695000,55840768
2026-08-06T15:13:09.888356-05:00,job,raycluster-historyserver-head-8jdc9,ray-head,2026-08-06T20:13:05Z,11113723000,3589648384
2026-08-06T15:13:09.888356-05:00,job,raycluster-historyserver-head-8jdc9,collector,2026-08-06T20:13:01Z,609522000,62562304
2026-08-06T15:13:10.888407-05:00,job,raycluster-historyserver-cpu-worker-sspg7,ray-worker,2026-08-06T20:13:08Z,2962754000,296681472
2026-08-06T15:13:10.888407-05:00,job,raycluster-historyserver-cpu-worker-sspg7,collector,2026-08-06T20:13:10Z,559885000,55844864
2026-08-06T15:13:10.888407-05:00,job,raycluster-historyserver-head-8jdc9,ray-head,2026-08-06T20:13:05Z,11113723000,3589648384
2026-08-06T15:13:10.888407-05:00,job,raycluster-historyserver-head-8jdc9,collector,2026-08-06T20:13:01Z,609522000,62562304
2026-08-06T15:13:11.88755-05:00,job,raycluster-historyserver-head-8jdc9,collector,2026-08-06T20:13:01Z,609522000,62562304
2026-08-06T15:13:11.88755-05:00,job,raycluster-historyserver-head-8jdc9,ray-head,2026-08-06T20:13:05Z,11113723000,3589648384
2026-08-06T15:13:11.88755-05:00,job,raycluster-historyserver-cpu-worker-sspg7,ray-worker,2026-08-06T20:13:08Z,2962754000,296681472
2026-08-06T15:13:11.88755-05:00,job,raycluster-historyserver-cpu-worker-sspg7,collector,2026-08-06T20:13:11Z,560009000,55844864
2026-08-06T15:13:12.888312-05:00,job,raycluster-historyserver-head-8jdc9,collector,2026-08-06T20:13:01Z,609522000,62562304
2026-08-06T15:13:12.888312-05:00,job,raycluster-historyserver-head-8jdc9,ray-head,2026-08-06T20:13:05Z,11113723000,3589648384
2026-08-06T15:13:12.888312-05:00,job,raycluster-historyserver-cpu-worker-sspg7,ray-worker,2026-08-06T20:13:08Z,2962754000,296681472
2026-08-06T15:13:12.888312-05:00,job,raycluster-historyserver-cpu-worker-sspg7,collector,2026-08-06T20:13:11Z,560009000,55844864
2026-08-06T15:13:13.888363-05:00,job,raycluster-historyserver-head-8jdc9,ray-head,2026-08-06T20:13:05Z,11113723000,3589648384
2026-08-06T15:13:13.888363-05:00,job,raycluster-historyserver-head-8jdc9,collector,2026-08-06T20:13:01Z,609522000,62562304
