time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T15:16:22.321443-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:14Z,10537033000,3629318144
2026-08-06T15:16:22.321443-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:13Z,599400000,61095936
2026-08-06T15:16:22.321443-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:22.321443-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:22Z,535009000,56246272
2026-08-06T15:16:23.320579-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:14Z,10537033000,3629318144
2026-08-06T15:16:23.320579-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:13Z,599400000,61095936
2026-08-06T15:16:23.320579-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:23.320579-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:23Z,535009000,56246272
2026-08-06T15:16:24.32046-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:24.32046-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:24Z,538047000,56250368
2026-08-06T15:16:24.32046-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:14Z,10537033000,3629318144
2026-08-06T15:16:24.32046-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:13Z,599400000,61095936
2026-08-06T15:16:25.32131-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:25Z,538164000,56250368
2026-08-06T15:16:25.32131-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:25.32131-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:14Z,10537033000,3629318144
2026-08-06T15:16:25.32131-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:13Z,599400000,61095936
2026-08-06T15:16:26.320337-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:26.320337-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:26Z,538164000,56250368
2026-08-06T15:16:26.320337-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:14Z,10537033000,3629318144
2026-08-06T15:16:26.320337-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:13Z,599400000,61095936
2026-08-06T15:16:27.320416-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:27.320416-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:26Z,538164000,56250368
2026-08-06T15:16:27.320416-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:14Z,10537033000,3629318144
2026-08-06T15:16:27.320416-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:26Z,618917000,61206528
2026-08-06T15:16:28.320337-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:26Z,618917000,61206528
2026-08-06T15:16:28.320337-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:27Z,14288848000,3848339456
2026-08-06T15:16:28.320337-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:26Z,538164000,56250368
2026-08-06T15:16:28.320337-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:29.321296-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:27Z,14288848000,3848339456
2026-08-06T15:16:29.321296-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:26Z,618917000,61206528
2026-08-06T15:16:29.321296-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:29.321296-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:26Z,538164000,56250368
2026-08-06T15:16:30.321266-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:27Z,14288848000,3848339456
2026-08-06T15:16:30.321266-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:26Z,618917000,61206528
2026-08-06T15:16:30.321266-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:30.321266-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:26Z,538164000,56250368
2026-08-06T15:16:31.32133-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:27Z,14288848000,3848339456
2026-08-06T15:16:31.32133-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:26Z,618917000,61206528
2026-08-06T15:16:31.32133-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:20Z,2647308000,296837120
2026-08-06T15:16:31.32133-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:26Z,538164000,56250368
2026-08-06T15:16:32.320414-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,ray-worker,2026-08-06T20:16:31Z,15250243000,960417792
2026-08-06T15:16:32.320414-05:00,job,raycluster-historyserver-cpu-worker-4n7v2,collector,2026-08-06T20:16:26Z,538164000,56250368
2026-08-06T15:16:32.320414-05:00,job,raycluster-historyserver-head-2v7kd,ray-head,2026-08-06T20:16:27Z,14288848000,3848339456
2026-08-06T15:16:32.320414-05:00,job,raycluster-historyserver-head-2v7kd,collector,2026-08-06T20:16:26Z,618917000,61206528
