time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786045247489175089,raycluster-historyserver-head-mh767/ray-head,3174584320,3226411008,3227725824,10895502
1786045247489175089,raycluster-historyserver-head-mh767/collector,60514304,61460480,61968384,662297
1786045247489175089,raycluster-historyserver-cpu-worker-t8sb2/ray-worker,282120192,301932544,303476736,2833692
1786045247489175089,raycluster-historyserver-cpu-worker-t8sb2/collector,55136256,56004608,56553472,555392
1786045248526832048,raycluster-historyserver-head-mh767/ray-head,3174694912,3226492928,3227725824,10932680
1786045248526832048,raycluster-historyserver-head-mh767/collector,60514304,61460480,61968384,662438
1786045248526832048,raycluster-historyserver-cpu-worker-t8sb2/ray-worker,282411008,302231552,303476736,2844525
1786045248526832048,raycluster-historyserver-cpu-worker-t8sb2/collector,55136256,56004608,56553472,555392
1786045248526832048,rayjob-bench-hcvp8/ray-job-submitter,56930304,63619072,63881216,650671
1786045249578123757,raycluster-historyserver-head-mh767/ray-head,3174920192,3226984448,3229114368,10985989
1786045249578123757,raycluster-historyserver-head-mh767/collector,60514304,61460480,61968384,662438
1786045249578123757,raycluster-historyserver-cpu-worker-t8sb2/ray-worker,282431488,302252032,303476736,2853926
1786045249578123757,raycluster-historyserver-cpu-worker-t8sb2/collector,55136256,56004608,56553472,555392
1786045249578123757,rayjob-bench-hcvp8/ray-job-submitter,50257920,61243392,115515392,1697581
1786045250632486715,raycluster-historyserver-head-mh767/ray-head,3226652672,3281117184,3282173952,12368050
1786045250632486715,raycluster-historyserver-head-mh767/collector,60567552,61521920,61968384,666258
1786045250632486715,raycluster-historyserver-cpu-worker-t8sb2/ray-worker,282779648,302616576,303476736,2863558
1786045250632486715,raycluster-historyserver-cpu-worker-t8sb2/collector,55156736,56025088,56553472,558678
1786045250632486715,rayjob-bench-hcvp8/ray-job-submitter,44339200,54525952,115515392,2597201
1786045251689622174,raycluster-historyserver-head-mh767/ray-head,3338108928,3396128768,3397120000,13124622
1786045251689622174,raycluster-historyserver-head-mh767/collector,60674048,61636608,62046208,671187
1786045251689622174,raycluster-historyserver-cpu-worker-t8sb2/ray-worker,463626240,488865792,489754624,3972591
1786045251689622174,raycluster-historyserver-cpu-worker-t8sb2/collector,55156736,56025088,56553472,558739
1786045251689622174,rayjob-bench-hcvp8/ray-job-submitter,102371328,113283072,115515392,3165309
1786045252751713175,raycluster-historyserver-head-mh767/ray-head,3386548224,3445190656,3450314752,13813747
1786045252751713175,raycluster-historyserver-head-mh767/collector,73691136,74952704,74969088,953502
1786045252751713175,raycluster-historyserver-cpu-worker-t8sb2/ray-worker,700309504,732102656,732360704,6170808
1786045252751713175,raycluster-historyserver-cpu-worker-t8sb2/collector,55156736,56025088,56553472,558739
1786045252751713175,rayjob-bench-hcvp8/ray-job-submitter,102379520,113291264,115515392,3165515
1786045253820555842,raycluster-historyserver-head-mh767/ray-head,3418746880,3477970944,3478818816,14730414
