time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T14:40:48.439484-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:48.439484-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:40Z,10473948000,3216728064
2026-08-06T14:40:48.439484-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:48Z,555392000,56000512
2026-08-06T14:40:48.439484-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:48Z,2843429000,296382464
2026-08-06T14:40:49.440589-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:40Z,10473948000,3216728064
2026-08-06T14:40:49.440589-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:49.440589-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:49Z,2852280000,296566784
2026-08-06T14:40:49.440589-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:49Z,555392000,56000512
2026-08-06T14:40:50.439956-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:50Z,558678000,56020992
2026-08-06T14:40:50.439956-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:50Z,2861666000,296759296
2026-08-06T14:40:50.439956-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:40Z,10473948000,3216728064
2026-08-06T14:40:50.439956-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:51.439971-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:51Z,558739000,56020992
2026-08-06T14:40:51.439971-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:51Z,3442020000,412393472
2026-08-06T14:40:51.439971-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:40Z,10473948000,3216728064
2026-08-06T14:40:51.439971-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:52.441841-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:52.441841-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:40Z,10473948000,3216728064
2026-08-06T14:40:52.441841-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:52Z,558739000,56020992
2026-08-06T14:40:52.441841-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:40:53.440152-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:40:53.440152-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:53Z,814096000,67989504
2026-08-06T14:40:53.440152-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:40:53.440152-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:54.440432-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:54.440432-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:40:54.440432-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1025485000,72105984
2026-08-06T14:40:54.440432-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:40:55.439538-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:40:55.439538-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:40:55.439538-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:40:55.439538-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:56.440454-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:40:56.440454-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:40:56.440454-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:56.440454-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:40:57.441637-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:40Z,652214000,61448192
2026-08-06T14:40:57.441637-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:40:57.441637-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:40:57.441637-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:40:58.440462-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:40:58.440462-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:40:58.440462-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:40:58.440462-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:40:59.440489-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:40:59.440489-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:40:59.440489-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:40:59.440489-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:41:00.440478-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:00.440478-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:00.440478-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:41:00.440478-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:01.440493-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:01.440493-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:01.440493-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:01.440493-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:41:02.439704-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:02.439704-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:02.439704-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:02.439704-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:41:03.440532-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:03.440532-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:03.440532-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:03.440532-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:41:04.439787-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:04.439787-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:41:04.439787-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:04.439787-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:05.439683-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:05.439683-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:05.439683-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:40:52Z,5266058000,632508416
2026-08-06T14:41:05.439683-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:06.44055-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:06.44055-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:06.44055-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:06.44055-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:07.439735-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:07.439735-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:07.439735-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:07.439735-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:08.440398-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:40:54Z,1053554000,74375168
2026-08-06T14:41:08.440398-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:08.440398-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:40:53Z,14002628000,3440656384
2026-08-06T14:41:08.440398-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:09.440394-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:09.440394-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:09.440394-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:09.440394-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:10.439687-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:10.439687-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:10.439687-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:10.439687-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:11.440713-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:11.440713-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:11.440713-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:11.440713-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:12.439937-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:12.439937-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:12.439937-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:12.439937-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:13.440131-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:40:58Z,4335076000,97136640
2026-08-06T14:41:13.440131-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:13.440131-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:13.440131-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:14.440641-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:14.440641-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:14.440641-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:14.440641-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:41:13Z,14478366000,154357760
2026-08-06T14:41:15.440755-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:15.440755-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:41:13Z,14478366000,154357760
2026-08-06T14:41:15.440755-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:15.440755-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:16.440423-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:16.440423-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:16.440423-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:16.440423-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:41:13Z,14478366000,154357760
2026-08-06T14:41:17.439829-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:17.439829-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:17.439829-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:17.439829-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:41:13Z,14478366000,154357760
2026-08-06T14:41:18.440262-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:41:13Z,14478366000,154357760
2026-08-06T14:41:18.440262-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
2026-08-06T14:41:18.440262-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:18.440262-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:19.440705-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,collector,2026-08-06T19:41:09Z,6694489000,105287680
2026-08-06T14:41:19.440705-05:00,job,raycluster-historyserver-cpu-worker-t8sb2,ray-worker,2026-08-06T19:41:06Z,32905725000,1042173952
2026-08-06T14:41:19.440705-05:00,job,raycluster-historyserver-head-mh767,collector,2026-08-06T19:41:13Z,14478366000,154357760
2026-08-06T14:41:19.440705-05:00,job,raycluster-historyserver-head-mh767,ray-head,2026-08-06T19:41:09Z,32822359000,3935465472
