time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786044871978586346,raycluster-historyserver-cpu-worker-bjbrl/collector,55431168,56438784,58093568,528214
1786044871978586346,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,281968640,301830144,302841856,2857854
1786044871978586346,raycluster-historyserver-head-cc4st/collector,60796928,61771776,62246912,620579
1786044871978586346,raycluster-historyserver-head-cc4st/ray-head,3098980352,3151392768,3153297408,10309884
1786044873015656888,rayjob-bench-pg7gg/ray-job-submitter,61894656,68521984,70905856,702892
1786044873015656888,raycluster-historyserver-cpu-worker-bjbrl/collector,55431168,56438784,58093568,528214
1786044873015656888,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,282152960,302284800,302841856,2867099
1786044873015656888,raycluster-historyserver-head-cc4st/collector,60796928,61771776,62246912,620766
1786044873015656888,raycluster-historyserver-head-cc4st/ray-head,3098861568,3151290368,3154198528,10363669
1786044874058953930,rayjob-bench-pg7gg/ray-job-submitter,45314048,55521280,115761152,1679649
1786044874058953930,raycluster-historyserver-cpu-worker-bjbrl/collector,55431168,56438784,58093568,528214
1786044874058953930,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,282337280,302215168,303071232,2876462
1786044874058953930,raycluster-historyserver-head-cc4st/collector,60796928,61775872,62246912,621759
1786044874058953930,raycluster-historyserver-head-cc4st/ray-head,3099312128,3151745024,3154198528,10412277
1786044875100921666,rayjob-bench-pg7gg/ray-job-submitter,33288192,43536384,115761152,2560899
1786044875100921666,raycluster-historyserver-cpu-worker-bjbrl/collector,55443456,56451072,58093568,530824
1786044875100921666,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,282517504,302403584,303071232,2885221
1786044875100921666,raycluster-historyserver-head-cc4st/collector,60796928,61771776,62246912,622417
1786044875100921666,raycluster-historyserver-head-cc4st/ray-head,3150323712,3204620288,3208511488,11553836
1786044876145982875,rayjob-bench-pg7gg/ray-job-submitter,102371328,113295360,115761152,3285311
1786044876145982875,raycluster-historyserver-cpu-worker-bjbrl/collector,55443456,56451072,58093568,530824
1786044876145982875,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,455213056,480092160,480559104,3956279
1786044876145982875,raycluster-historyserver-head-cc4st/collector,60829696,61816832,62296064,626976
1786044876145982875,raycluster-historyserver-head-cc4st/ray-head,3260456960,3319009280,3320029184,12333700
1786044877194997542,rayjob-bench-pg7gg/ray-job-submitter,102375424,113299456,115761152,3285614
1786044877194997542,raycluster-historyserver-cpu-worker-bjbrl/collector,55443456,56451072,58093568,530824
1786044877194997542,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,679768064,711487488,711958528,6080724
1786044877194997542,raycluster-historyserver-head-cc4st/collector,73601024,74805248,75067392,854441
1786044877194997542,raycluster-historyserver-head-cc4st/ray-head,3310776320,3369115648,3373182976,13009191
1786044878243935584,rayjob-bench-pg7gg/ray-job-submitter,102375424,113299456,115761152,3285755
1786044878243935584,raycluster-historyserver-cpu-worker-bjbrl/collector,69292032,72179712,73289728,909079
1786044878243935584,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,840781824,877973504,878526464,8193757
1786044878243935584,raycluster-historyserver-head-cc4st/collector,93614080,97828864,99778560,1418889
1786044878243935584,raycluster-historyserver-head-cc4st/ray-head,3345166336,3404328960,3407872000,13967546
1786044879304912502,rayjob-bench-pg7gg/ray-job-submitter,102379520,113303552,115761152,3285890
1786044879304912502,raycluster-historyserver-cpu-worker-bjbrl/collector,73342976,78729216,78995456,1306370
1786044879304912502,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,934846464,975036416,975900672,10283663
1786044879304912502,raycluster-historyserver-head-cc4st/collector,97366016,105660416,110010368,2003106
1786044879304912502,raycluster-historyserver-head-cc4st/ray-head,3357413376,3416293376,3420020736,15034379
1786044880356866544,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3286028
1786044880356866544,raycluster-historyserver-cpu-worker-bjbrl/collector,74874880,81899520,86835200,1615522
1786044880356866544,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,912158720,951025664,991895552,12476062
1786044880356866544,raycluster-historyserver-head-cc4st/collector,98775040,111218688,111230976,2706592
1786044880356866544,raycluster-historyserver-head-cc4st/ray-head,3370459136,3429941248,3433558016,16024619
1786044881429105794,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3286158
1786044881429105794,raycluster-historyserver-cpu-worker-bjbrl/collector,76083200,83611648,86835200,1969290
1786044881429105794,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,937414656,977223680,991895552,14581375
1786044881429105794,raycluster-historyserver-head-cc4st/collector,100769792,117760000,117780480,3532167
1786044881429105794,raycluster-historyserver-head-cc4st/ray-head,3394510848,3454828544,3460907008,17034387
1786044882510024628,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3286312
1786044882510024628,raycluster-historyserver-cpu-worker-bjbrl/collector,86376448,97517568,97755136,2344849
1786044882510024628,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,930377728,970166272,991895552,16680234
1786044882510024628,raycluster-historyserver-head-cc4st/collector,103276544,124637184,124968960,4272298
1786044882510024628,raycluster-historyserver-head-cc4st/ray-head,3420184576,3480326144,3482173440,18047170
1786044883560312004,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3286493
1786044883560312004,raycluster-historyserver-cpu-worker-bjbrl/collector,86376448,97517568,97755136,2344849
1786044883560312004,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,956698624,995471360,997748736,18827701
1786044883560312004,raycluster-historyserver-head-cc4st/collector,91107328,112357376,129732608,4756104
1786044883560312004,raycluster-historyserver-head-cc4st/ray-head,3439554560,3499786240,3503386624,19254821
1786044884630900671,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3286624
1786044884630900671,raycluster-historyserver-cpu-worker-bjbrl/collector,100732928,118280192,118513664,3419995
1786044884630900671,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,970915840,1011220480,1013870592,20926481
1786044884630900671,raycluster-historyserver-head-cc4st/collector,101928960,128217088,129732608,5184686
1786044884630900671,raycluster-historyserver-head-cc4st/ray-head,3463041024,3524554752,3524775936,20730699
1786044885722919130,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3286792
1786044885722919130,raycluster-historyserver-cpu-worker-bjbrl/collector,100732928,118280192,118513664,3420047
1786044885722919130,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,972242944,1012674560,1014800384,23078737
1786044885722919130,raycluster-historyserver-head-cc4st/collector,113254400,143048704,143048704,6258824
1786044885722919130,raycluster-historyserver-head-cc4st/ray-head,3510595584,3571212288,3573710848,21712322
1786044886774261422,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3286931
1786044886774261422,raycluster-historyserver-cpu-worker-bjbrl/collector,95154176,112734208,135868416,4094318
1786044886774261422,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,987500544,1028444160,1031659520,25205343
1786044886774261422,raycluster-historyserver-head-cc4st/collector,120365056,154497024,154759168,6548225
1786044886774261422,raycluster-historyserver-head-cc4st/ray-head,3516907520,3577319424,3580813312,23192172
1786044887829945714,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3287067
1786044887829945714,raycluster-historyserver-cpu-worker-bjbrl/collector,114196480,138600448,139100160,4541772
1786044887829945714,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,979365888,1020751872,1031659520,27307459
1786044887829945714,raycluster-historyserver-head-cc4st/collector,124817408,162476032,173649920,7618491
1786044887829945714,raycluster-historyserver-head-cc4st/ray-head,3643314176,3706728448,3706986496,25242486
1786044888889129506,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3287212
1786044888889129506,raycluster-historyserver-cpu-worker-bjbrl/collector,92250112,118800384,146661376,4590279
1786044888889129506,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,998309888,1039364096,1043832832,29468412
1786044888889129506,raycluster-historyserver-head-cc4st/collector,129355776,171655168,173649920,7994789
1786044888889129506,raycluster-historyserver-head-cc4st/ray-head,3697868800,3763081216,3763318784,27198859
1786044889944871423,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3287357
1786044889944871423,raycluster-historyserver-cpu-worker-bjbrl/collector,114098176,145317888,146661376,5674789
1786044889944871423,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,983064576,1024823296,1043832832,31588004
1786044889944871423,raycluster-historyserver-head-cc4st/collector,123015168,169156608,181727232,9118623
1786044889944871423,raycluster-historyserver-head-cc4st/ray-head,3721895936,3787788288,3788812288,27999305
1786044891000906882,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3287622
1786044891000906882,raycluster-historyserver-cpu-worker-bjbrl/collector,114098176,145317888,146661376,5674844
1786044891000906882,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,983465984,1024757760,1043832832,33671621
1786044891000906882,raycluster-historyserver-head-cc4st/collector,134660096,184905728,188215296,9454891
1786044891000906882,raycluster-historyserver-head-cc4st/ray-head,3755716608,3820818432,3824771072,29520440
1786044892050860633,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3287750
1786044892050860633,raycluster-historyserver-cpu-worker-bjbrl/collector,85835776,117055488,152514560,6145867
1786044892050860633,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1003638784,1045204992,1048301568,35705825
1786044892050860633,raycluster-historyserver-head-cc4st/collector,127574016,183681024,188215296,10638021
1786044892050860633,raycluster-historyserver-head-cc4st/ray-head,3773317120,3838758912,3839062016,30240922
1786044893103907383,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3287975
1786044893103907383,raycluster-historyserver-cpu-worker-bjbrl/collector,114352128,152412160,153755648,6895437
1786044893103907383,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1004650496,1046339584,1048657920,37872859
1786044893103907383,raycluster-historyserver-head-cc4st/collector,134389760,192679936,195428352,10900282
1786044893103907383,raycluster-historyserver-head-cc4st/ray-head,3796451328,3862171648,3863486464,31838483
1786044894152883842,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3288166
1786044894152883842,raycluster-historyserver-cpu-worker-bjbrl/collector,114352128,152412160,153755648,6895437
1786044894152883842,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1004945408,1047052288,1048809472,40037577
1786044894152883842,raycluster-historyserver-head-cc4st/collector,123961344,189251584,195428352,12100388
1786044894152883842,raycluster-historyserver-head-cc4st/ray-head,3815329792,3880980480,3881504768,32629652
1786044895212186176,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3288292
1786044895212186176,raycluster-historyserver-cpu-worker-bjbrl/collector,110739456,151097344,156889088,7756982
1786044895212186176,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1022853120,1064849408,1067933696,42069801
1786044895212186176,raycluster-historyserver-head-cc4st/collector,137347072,203767808,205254656,12383766
1786044895212186176,raycluster-historyserver-head-cc4st/ray-head,3823996928,3889766400,3891494912,34234610
1786044896264077801,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3288419
1786044896264077801,raycluster-historyserver-cpu-worker-bjbrl/collector,110751744,155611136,156889088,8036360
1786044896264077801,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1003692032,1045831680,1067933696,44266353
1786044896264077801,raycluster-historyserver-head-cc4st/collector,124506112,197042176,205254656,13538602
1786044896264077801,raycluster-historyserver-head-cc4st/ray-head,3840634880,3906203648,3907874816,35057963
1786044897319938802,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3288559
1786044897319938802,raycluster-historyserver-cpu-worker-bjbrl/collector,122290176,167432192,167493632,8110255
1786044897319938802,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1020432384,1062735872,1067933696,46269433
1786044897319938802,raycluster-historyserver-head-cc4st/collector,148426752,222732288,224284672,13859887
1786044897319938802,raycluster-historyserver-head-cc4st/ray-head,3875602432,3941392384,3944448000,36647158
1786044898373840886,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3288718
1786044898373840886,raycluster-historyserver-cpu-worker-bjbrl/collector,111378432,163078144,167694336,9275484
1786044898373840886,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1021153280,1063645184,1067933696,48467564
1786044898373840886,raycluster-historyserver-head-cc4st/collector,123510784,202444800,224284672,14989585
1786044898373840886,raycluster-historyserver-head-cc4st/ray-head,3882250240,3947954176,3949817856,37437962
1786044899425097095,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3288847
1786044899425097095,raycluster-historyserver-cpu-worker-bjbrl/collector,111378432,163078144,167694336,9275484
1786044899425097095,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1021423616,1064026112,1067933696,50466117
1786044899425097095,raycluster-historyserver-head-cc4st/collector,152616960,235151360,235896832,15305205
1786044899425097095,raycluster-historyserver-head-cc4st/ray-head,3901263872,3967352832,3971547136,38988240
1786044900475342262,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3288962
1786044900475342262,raycluster-historyserver-cpu-worker-bjbrl/collector,102567936,154279936,174944256,9870124
1786044900475342262,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1037680640,1080487936,1084989440,52665140
1786044900475342262,raycluster-historyserver-head-cc4st/collector,124346368,212443136,236249088,16431714
1786044900475342262,raycluster-historyserver-head-cc4st/ray-head,3922440192,3988283392,3988807680,39886470
1786044901552501929,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3289203
1786044901552501929,raycluster-historyserver-cpu-worker-bjbrl/collector,111013888,169537536,174944256,10453669
1786044901552501929,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1022357504,1066098688,1084989440,54825553
1786044901552501929,raycluster-historyserver-head-cc4st/collector,148852736,239288320,239931392,16718351
1786044901552501929,raycluster-historyserver-head-cc4st/ray-head,3945349120,4011126784,4012113920,41460947
1786044902612244513,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3289332
1786044902612244513,raycluster-historyserver-cpu-worker-bjbrl/collector,111013888,169537536,174944256,10453669
1786044902612244513,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1022619648,1065693184,1084989440,56861453
1786044902612244513,raycluster-historyserver-head-cc4st/collector,128057344,225742848,240349184,17912294
1786044902612244513,raycluster-historyserver-head-cc4st/ray-head,3964444672,4030472192,4030943232,42268268
1786044903663952972,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3289452
1786044903663952972,raycluster-historyserver-cpu-worker-bjbrl/collector,106307584,168173568,180117504,11376167
1786044903663952972,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1040871424,1084321792,1087102976,58936624
1786044903663952972,raycluster-historyserver-head-cc4st/collector,138919936,238288896,240349184,18174560
1786044903663952972,raycluster-historyserver-head-cc4st/ray-head,3974512640,4040515584,4041191424,43874458
1786044904717180889,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3289574
1786044904717180889,raycluster-historyserver-cpu-worker-bjbrl/collector,117493760,182845440,185122816,11670032
1786044904717180889,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1040871424,1084272640,1087102976,61062195
1786044904717180889,raycluster-historyserver-head-cc4st/collector,126894080,233025536,240349184,19363555
1786044904717180889,raycluster-historyserver-head-cc4st/ray-head,3982012416,4049211392,4051918848,44641856
1786044905762206208,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3289730
1786044905762206208,raycluster-historyserver-cpu-worker-bjbrl/collector,120377344,185720832,188116992,11805931
1786044905762206208,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1048231936,1091784704,1094045696,63119667
1786044905762206208,raycluster-historyserver-head-cc4st/collector,132886528,239837184,245612544,19630123
1786044905762206208,raycluster-historyserver-head-cc4st/ray-head,3996131328,4063948800,4065746944,46224016
1786044906814992792,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3289860
1786044906814992792,raycluster-historyserver-cpu-worker-bjbrl/collector,112353280,184524800,188116992,12797756
1786044906814992792,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1048420352,1092128768,1094602752,65256524
1786044906814992792,raycluster-historyserver-head-cc4st/collector,133324800,248078336,248131584,20750870
1786044906814992792,raycluster-historyserver-head-cc4st/ray-head,4014788608,4081909760,4083691520,47070380
1786044907857142876,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290015
1786044907857142876,raycluster-historyserver-cpu-worker-bjbrl/collector,112353280,184524800,188116992,12797756
1786044907857142876,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1048707072,1092538368,1094684672,67453341
1786044907857142876,raycluster-historyserver-head-cc4st/collector,150487040,265236480,266162176,21049068
1786044907857142876,raycluster-historyserver-head-cc4st/ray-head,4041900032,4109496320,4110471168,48674703
1786044908909343751,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290139
1786044908909343751,raycluster-historyserver-cpu-worker-bjbrl/collector,94760960,167669760,193433600,13355537
1786044908909343751,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1061519360,1105547264,1110073344,69452909
1786044908909343751,raycluster-historyserver-head-cc4st/collector,130826240,252432384,266162176,22183993
1786044908909343751,raycluster-historyserver-head-cc4st/ray-head,4054798336,4122976256,4124143616,49566754
1786044909956278419,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290270
1786044909956278419,raycluster-historyserver-cpu-worker-bjbrl/collector,120602624,199589888,199831552,13925531
1786044909956278419,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1046958080,1090854912,1110073344,71648246
1786044909956278419,raycluster-historyserver-head-cc4st/collector,151851008,275050496,276004864,22504894
1786044909956278419,raycluster-historyserver-head-cc4st/ray-head,4072448000,4139892736,4144615424,51051188
1786044911006290377,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290401
1786044911006290377,raycluster-historyserver-cpu-worker-bjbrl/collector,95338496,174501888,207511552,14525169
1786044911006290377,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,1067573248,1111519232,1115955200,72375750
1786044911006290377,raycluster-historyserver-head-cc4st/collector,132608000,263516160,276004864,23619259
1786044911006290377,raycluster-historyserver-head-cc4st/ray-head,4053671936,4121022464,4146585600,51335756
1786044912048253461,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290520
1786044912048253461,raycluster-historyserver-cpu-worker-bjbrl/collector,116785152,202588160,207511552,15156597
1786044912048253461,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,559628288,588386304,1115955200,73652465
1786044912048253461,raycluster-historyserver-head-cc4st/collector,148897792,279818240,281432064,23884095
1786044912048253461,raycluster-historyserver-head-cc4st/ray-head,4074246144,4141608960,4146585600,52252869
1786044913094289212,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290642
1786044913094289212,raycluster-historyserver-cpu-worker-bjbrl/collector,111439872,202125312,209264640,16151228
1786044913094289212,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,575385600,604168192,1115955200,73843201
1786044913094289212,raycluster-historyserver-head-cc4st/collector,135729152,274882560,281432064,24990134
1786044913094289212,raycluster-historyserver-head-cc4st/ray-head,4069568512,4137340928,4149084160,52449170
1786044914136297337,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290642
1786044914136297337,raycluster-historyserver-cpu-worker-bjbrl/collector,103006208,195899392,224239616,16670327
1786044914136297337,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,576589824,605376512,1115955200,74464017
1786044914136297337,raycluster-historyserver-head-cc4st/collector,112185344,251342848,292859904,25396859
1786044914136297337,raycluster-historyserver-head-cc4st/ray-head,4086009856,4153548800,4157751296,53273328
1786044915174193213,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290642
1786044915174193213,raycluster-historyserver-cpu-worker-bjbrl/collector,111538176,210997248,224239616,17428957
1786044915174193213,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,559288320,588038144,1115955200,74853791
1786044915174193213,raycluster-historyserver-head-cc4st/collector,131665920,278695936,292859904,26319677
1786044915174193213,raycluster-historyserver-head-cc4st/ray-head,4065619968,4133167104,4159524864,53605668
1786044916214159755,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290642
1786044916214159755,raycluster-historyserver-cpu-worker-bjbrl/collector,106561536,210296832,227639296,18344484
1786044916214159755,raycluster-historyserver-cpu-worker-bjbrl/ray-worker,580194304,608985088,1115955200,75107155
1786044916214159755,raycluster-historyserver-head-cc4st/collector,146710528,294006784,296415232,26783009
1786044916214159755,raycluster-historyserver-head-cc4st/ray-head,4092211200,4159934464,4162461696,54420175
1786044917254493922,rayjob-bench-pg7gg/ray-job-submitter,102383616,113307648,115761152,3290642
1786044917254493922,raycluster-historyserver-cpu-worker-bjbrl/collector,87654400,193536000,231428096,18843598
