time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T14:37:38.525854-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:38.525854-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:27Z,10301770000,3177828352
2026-08-06T14:37:38.525854-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:38Z,2799136000,296398848
2026-08-06T14:37:38.525854-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:38Z,551566000,55967744
2026-08-06T14:37:39.525809-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:39Z,2809032000,296759296
2026-08-06T14:37:39.525809-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:39Z,551566000,55967744
2026-08-06T14:37:39.525809-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:39.525809-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:27Z,10301770000,3177828352
2026-08-06T14:37:40.525378-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:40.525378-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:27Z,10301770000,3177828352
2026-08-06T14:37:40.525378-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:40Z,2817733000,297050112
2026-08-06T14:37:40.525378-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
2026-08-06T14:37:41.525504-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:41.525504-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:27Z,10301770000,3177828352
2026-08-06T14:37:41.525504-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:41Z,2871183000,309477376
2026-08-06T14:37:41.525504-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
2026-08-06T14:37:42.52508-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:27Z,10301770000,3177828352
2026-08-06T14:37:42.52508-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:42.52508-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
2026-08-06T14:37:42.52508-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:42Z,4903546000,585273344
2026-08-06T14:37:43.525775-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:43Z,6902477000,772005888
2026-08-06T14:37:43.525775-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
2026-08-06T14:37:43.525775-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:43.525775-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:42Z,13600346000,3401048064
2026-08-06T14:37:44.524948-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:44.524948-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:42Z,13600346000,3401048064
2026-08-06T14:37:44.524948-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:44Z,8904344000,901849088
2026-08-06T14:37:44.524948-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
2026-08-06T14:37:45.525808-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:45.525808-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:42Z,13600346000,3401048064
2026-08-06T14:37:45.525808-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:44Z,9101219000,928161792
2026-08-06T14:37:45.525808-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
2026-08-06T14:37:46.52504-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:42Z,13600346000,3401048064
2026-08-06T14:37:46.52504-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:46.52504-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:44Z,9101219000,928161792
2026-08-06T14:37:46.52504-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
2026-08-06T14:37:47.525768-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:44Z,9101219000,928161792
2026-08-06T14:37:47.525768-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
2026-08-06T14:37:47.525768-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:47.525768-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:42Z,13600346000,3401048064
2026-08-06T14:37:48.525822-05:00,job,raycluster-historyserver-head-t99mj,collector,2026-08-06T19:37:34Z,650096000,61186048
2026-08-06T14:37:48.525822-05:00,job,raycluster-historyserver-head-t99mj,ray-head,2026-08-06T19:37:42Z,13600346000,3401048064
2026-08-06T14:37:48.525822-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,ray-worker,2026-08-06T19:37:44Z,9101219000,928161792
2026-08-06T14:37:48.525822-05:00,job,raycluster-historyserver-cpu-worker-z4cjr,collector,2026-08-06T19:37:40Z,551566000,55967744
