time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-05T20:57:24.753579-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:24.753579-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:24Z,2693908000,304381952
2026-08-05T20:57:24.753579-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:16Z,8905449000,3124162560
2026-08-05T20:57:24.753579-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:25.753226-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:25Z,2703053000,304582656
2026-08-05T20:57:25.753226-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:25.753226-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:25.753226-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:16Z,8905449000,3124162560
2026-08-05T20:57:26.753622-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:16Z,8905449000,3124162560
2026-08-05T20:57:26.753622-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:26.753622-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:26.753622-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:27.753611-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:27.753611-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:27.753611-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:16Z,8905449000,3124162560
2026-08-05T20:57:27.753611-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:28.75264-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:28.75264-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:28.75264-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:16Z,8905449000,3124162560
2026-08-05T20:57:28.75264-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:29.753596-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:29.753596-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:29.753596-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:16Z,8905449000,3124162560
2026-08-05T20:57:29.753596-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:30.753605-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:30.753605-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:30.753605-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:30.753605-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:16Z,8905449000,3124162560
2026-08-05T20:57:31.753481-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:31.753481-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:31.753481-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:31.753481-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:32.75358-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:32.75358-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:32.75358-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:32.75358-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:33.752805-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:33.752805-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:33.752805-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:33.752805-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:34.75342-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:34.75342-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:34.75342-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:16Z,579770000,62832640
2026-08-05T20:57:34.75342-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:35.753603-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:35.753603-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:26Z,2706383000,304844800
2026-08-05T20:57:35.753603-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:35Z,3830045000,94969856
2026-08-05T20:57:35.753603-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:36.75308-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:36Z,13652247000,487161856
2026-08-05T20:57:36.75308-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:36.75308-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:35Z,3830045000,94969856
2026-08-05T20:57:36.75308-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:37.753576-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:36Z,13652247000,487161856
2026-08-05T20:57:37.753576-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:37.753576-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:35Z,3830045000,94969856
2026-08-05T20:57:37.753576-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:38.753499-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:36Z,13652247000,487161856
2026-08-05T20:57:38.753499-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:38.753499-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:35Z,3830045000,94969856
2026-08-05T20:57:38.753499-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:39.753511-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:39.753511-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:35Z,3830045000,94969856
2026-08-05T20:57:39.753511-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:39.753511-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:36Z,13652247000,487161856
2026-08-05T20:57:40.753497-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:24Z,586730000,56795136
2026-08-05T20:57:40.753497-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:36Z,13652247000,487161856
2026-08-05T20:57:40.753497-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:35Z,3830045000,94969856
2026-08-05T20:57:40.753497-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:41.753572-05:00,job,raycluster-historyserver-head-z6tjf,collector,2026-08-06T01:57:35Z,3830045000,94969856
2026-08-05T20:57:41.753572-05:00,job,raycluster-historyserver-head-z6tjf,ray-head,2026-08-06T01:57:31Z,14373125000,3394494464
2026-08-05T20:57:41.753572-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,collector,2026-08-06T01:57:41Z,2880583000,101212160
2026-08-05T20:57:41.753572-05:00,job,raycluster-historyserver-cpu-worker-rn2pv,ray-worker,2026-08-06T01:57:36Z,13652247000,487161856
