time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1785978815472928838,raycluster-historyserver-head-kvb8g/collector,60088320,61046784,61530112,619576
1785978815472928838,raycluster-historyserver-head-kvb8g/ray-head,3005427712,3063422976,3066834944,11797381
1785978815472928838,raycluster-historyserver-cpu-worker-zhs74/collector,55132160,55988224,57393152,536410
1785978815472928838,raycluster-historyserver-cpu-worker-zhs74/ray-worker,282120192,301916160,304660480,2711172
1785978816510561630,raycluster-historyserver-head-kvb8g/collector,60088320,61046784,61530112,619742
1785978816510561630,raycluster-historyserver-head-kvb8g/ray-head,3005460480,3063570432,3066834944,11841900
1785978816510561630,raycluster-historyserver-cpu-worker-zhs74/collector,55132160,55988224,57393152,536410
1785978816510561630,raycluster-historyserver-cpu-worker-zhs74/ray-worker,282337280,302141440,304660480,2720300
1785978816510561630,rayjob-bench-xnhkr/ray-job-submitter,60305408,67706880,68825088,674270
1785978817549563714,raycluster-historyserver-head-kvb8g/collector,60088320,61046784,61530112,619742
1785978817549563714,raycluster-historyserver-head-kvb8g/ray-head,3005685760,3063832576,3067957248,11885030
1785978817549563714,raycluster-historyserver-cpu-worker-zhs74/collector,55132160,55988224,57393152,536410
1785978817549563714,raycluster-historyserver-cpu-worker-zhs74/ray-worker,282361856,302338048,304660480,2729298
1785978817549563714,rayjob-bench-xnhkr/ray-job-submitter,47984640,58273792,116023296,1675570
1785978818588668922,raycluster-historyserver-head-kvb8g/collector,60088320,61067264,61566976,623232
1785978818588668922,raycluster-historyserver-head-kvb8g/ray-head,3060400128,3120463872,3121786880,13054572
1785978818588668922,raycluster-historyserver-cpu-worker-zhs74/collector,55132160,55988224,57393152,538491
1785978818588668922,raycluster-historyserver-cpu-worker-zhs74/ray-worker,282566656,302567424,304660480,2739527
1785978818588668922,rayjob-bench-xnhkr/ray-job-submitter,44097536,54276096,116023296,2575790
1785978819629889756,raycluster-historyserver-head-kvb8g/collector,60182528,61149184,61612032,627707
1785978819629889756,raycluster-historyserver-head-kvb8g/ray-head,3167637504,3232088064,3232788480,13809432
1785978819629889756,raycluster-historyserver-cpu-worker-zhs74/collector,55132160,55988224,57393152,538625
1785978819629889756,raycluster-historyserver-cpu-worker-zhs74/ray-worker,460529664,485851136,486117376,3979997
1785978819629889756,rayjob-bench-xnhkr/ray-job-submitter,102363136,113287168,116023296,3225602
1785978820676204548,raycluster-historyserver-head-kvb8g/collector,75960320,77033472,77033472,892405
1785978820676204548,raycluster-historyserver-head-kvb8g/ray-head,3221917696,3286016000,3287482368,14636632
1785978820676204548,raycluster-historyserver-cpu-worker-zhs74/collector,55132160,55988224,57393152,538625
1785978820676204548,raycluster-historyserver-cpu-worker-zhs74/ray-worker,695422976,727109632,728543232,6073050
1785978820676204548,rayjob-bench-xnhkr/ray-job-submitter,102371328,113295360,116023296,3225748
1785978821712442716,raycluster-historyserver-head-kvb8g/collector,88408064,92696576,105201664,1528297
1785978821712442716,raycluster-historyserver-head-kvb8g/ray-head,3253030912,3317755904,3319570432,15541988
1785978821712442716,raycluster-historyserver-cpu-worker-zhs74/collector,69451776,72294400,73773056,944113
1785978821712442716,raycluster-historyserver-cpu-worker-zhs74/ray-worker,857825280,896270336,896520192,8110480
1785978821712442716,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3225885
1785978822760194383,raycluster-historyserver-head-kvb8g/collector,94867456,103157760,108683264,2159683
1785978822760194383,raycluster-historyserver-head-kvb8g/ray-head,3267104768,3332501504,3334963200,16509361
1785978822760194383,raycluster-historyserver-cpu-worker-zhs74/collector,70160384,73932800,77352960,1256317
1785978822760194383,raycluster-historyserver-cpu-worker-zhs74/ray-worker,946622464,986759168,988463104,10272006
1785978822760194383,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3226009
1785978823803147258,raycluster-historyserver-head-kvb8g/collector,97853440,110477312,111878144,2746967
1785978823803147258,raycluster-historyserver-head-kvb8g/ray-head,3282841600,3348299776,3348299776,17677867
1785978823803147258,raycluster-historyserver-cpu-worker-zhs74/collector,74661888,80629760,81088512,1423960
1785978823803147258,raycluster-historyserver-cpu-worker-zhs74/ray-worker,921600000,960659456,996032512,12272083
1785978823803147258,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3226122
1785978824846239717,raycluster-historyserver-head-kvb8g/collector,99049472,115585024,120283136,3367089
1785978824846239717,raycluster-historyserver-head-kvb8g/ray-head,3306143744,3371560960,3376500736,18815697
1785978824846239717,raycluster-historyserver-cpu-worker-zhs74/collector,80826368,89935872,90161152,1954901
1785978824846239717,raycluster-historyserver-cpu-worker-zhs74/ray-worker,931090432,970518528,996032512,14471901
1785978824846239717,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3226264
1785978825891702051,raycluster-historyserver-head-kvb8g/collector,100560896,121647104,121884672,4112131
1785978825891702051,raycluster-historyserver-head-kvb8g/ray-head,3332587520,3397976064,3399409664,19856130
1785978825891702051,raycluster-historyserver-cpu-worker-zhs74/collector,80826368,89935872,90161152,1954901
1785978825891702051,raycluster-historyserver-cpu-worker-zhs74/ray-worker,948174848,987672576,996032512,16472607
1785978825891702051,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3226403
1785978826928743551,raycluster-historyserver-head-kvb8g/collector,102834176,129036288,129323008,5014249
1785978826928743551,raycluster-historyserver-head-kvb8g/ray-head,3355492352,3422068736,3422728192,20890710
1785978826928743551,raycluster-historyserver-cpu-worker-zhs74/collector,92209152,101474304,101474304,2504528
1785978826928743551,raycluster-historyserver-cpu-worker-zhs74/ray-worker,977571840,1017909248,1020010496,18629333
1785978826928743551,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3226528
1785978827978461469,raycluster-historyserver-head-kvb8g/collector,107905024,134905856,134905856,5555704
1785978827978461469,raycluster-historyserver-head-kvb8g/ray-head,3387383808,3454259200,3454480384,22082892
1785978827978461469,raycluster-historyserver-cpu-worker-zhs74/collector,102965248,118919168,119107584,3096564
1785978827978461469,raycluster-historyserver-cpu-worker-zhs74/ray-worker,974123008,1014501376,1020682240,20668441
1785978827978461469,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3226646
1785978829022409677,raycluster-historyserver-head-kvb8g/collector,108130304,139251712,139751424,5887601
1785978829022409677,raycluster-historyserver-head-kvb8g/ray-head,3423473664,3491115008,3491651584,23584251
1785978829022409677,raycluster-historyserver-cpu-worker-zhs74/collector,102977536,118931456,119447552,3098607
1785978829022409677,raycluster-historyserver-cpu-worker-zhs74/ray-worker,974876672,1016705024,1020682240,22800518
1785978829022409677,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3226800
1785978830070433595,raycluster-historyserver-head-kvb8g/collector,117223424,151441408,151445504,6885718
1785978830070433595,raycluster-historyserver-head-kvb8g/ray-head,3464101888,3531030528,3532652544,24556716
1785978830070433595,raycluster-historyserver-cpu-worker-zhs74/collector,107507712,125915136,136269824,3945038
1785978830070433595,raycluster-historyserver-cpu-worker-zhs74/ray-worker,993337344,1034293248,1036980224,24870097
1785978830070433595,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3226938
1785978831108272137,raycluster-historyserver-head-kvb8g/collector,125911040,165269504,165765120,7310053
1785978831108272137,raycluster-historyserver-head-kvb8g/ray-head,3513249792,3582599168,3583369216,26897946
1785978831108272137,raycluster-historyserver-cpu-worker-zhs74/collector,119275520,142098432,143036416,4269842
1785978831108272137,raycluster-historyserver-cpu-worker-zhs74/ray-worker,995446784,1036390400,1038315520,26882352
1785978831108272137,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3227095
1785978832158356137,raycluster-historyserver-head-kvb8g/collector,133738496,176984064,176988160,8360486
1785978832158356137,raycluster-historyserver-head-kvb8g/ray-head,3648294912,3719639040,3720708096,28266853
1785978832158356137,raycluster-historyserver-cpu-worker-zhs74/collector,118636544,141438976,146219008,4306437
1785978832158356137,raycluster-historyserver-cpu-worker-zhs74/ray-worker,1010081792,1051283456,1056141312,29069554
1785978832158356137,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3227240
1785978833197164429,raycluster-historyserver-head-kvb8g/collector,136396800,183840768,187727872,8713762
1785978833197164429,raycluster-historyserver-head-kvb8g/ray-head,3673804800,3745157120,3749548032,29894259
1785978833197164429,raycluster-historyserver-cpu-worker-zhs74/collector,111996928,141656064,146219008,5385686
1785978833197164429,raycluster-historyserver-cpu-worker-zhs74/ray-worker,994177024,1035485184,1056141312,31070218
1785978833197164429,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3227358
1785978834234721180,raycluster-historyserver-head-kvb8g/collector,131231744,184492032,187727872,9898553
1785978834234721180,raycluster-historyserver-head-kvb8g/ray-head,3694804992,3766534144,3766792192,30716372
1785978834234721180,raycluster-historyserver-cpu-worker-zhs74/collector,112037888,141656064,146219008,5385828
1785978834234721180,raycluster-historyserver-cpu-worker-zhs74/ray-worker,994795520,1036525568,1056141312,33268936
1785978834234721180,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3227483
1785978835283987347,raycluster-historyserver-head-kvb8g/collector,148979712,204427264,206295040,10209176
1785978835283987347,raycluster-historyserver-head-kvb8g/ray-head,3693559808,3765039104,3769303040,32095201
1785978835283987347,raycluster-historyserver-cpu-worker-zhs74/collector,120061952,149684224,150966272,5632162
1785978835283987347,raycluster-historyserver-cpu-worker-zhs74/ray-worker,1015906304,1057587200,1059921920,35267432
1785978835283987347,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3227601
1785978836322614375,raycluster-historyserver-head-kvb8g/collector,127078400,190148608,206295040,11405956
1785978836322614375,raycluster-historyserver-head-kvb8g/ray-head,3711250432,3782721536,3783761920,32656239
1785978836322614375,raycluster-historyserver-cpu-worker-zhs74/collector,116408320,152854528,152989696,6462408
1785978836322614375,raycluster-historyserver-cpu-worker-zhs74/ray-worker,1016336384,1058340864,1060208640,36766994
1785978836322614375,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3227724
1785978837359852375,raycluster-historyserver-head-kvb8g/collector,131284992,194838528,210583552,11743756
1785978837359852375,raycluster-historyserver-head-kvb8g/ray-head,3726843904,3798331392,3801591808,33516694
1785978837359852375,raycluster-historyserver-cpu-worker-zhs74/collector,99250176,137699328,162115584,7325443
1785978837359852375,raycluster-historyserver-cpu-worker-zhs74/ray-worker,547586048,574341120,1084944384,37757109
1785978837359852375,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3227895
1785978838397697001,raycluster-historyserver-head-kvb8g/collector,130834432,202309632,210583552,12752499
1785978838397697001,raycluster-historyserver-head-kvb8g/ray-head,3731984384,3803807744,3805356032,33807131
1785978838397697001,raycluster-historyserver-cpu-worker-zhs74/collector,118562816,161812480,162168832,7848100
1785978838397697001,raycluster-historyserver-cpu-worker-zhs74/ray-worker,536399872,563118080,1084944384,38312671
1785978838397697001,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978839437521043,raycluster-historyserver-head-kvb8g/collector,112680960,184434688,213159936,13242372
1785978839437521043,raycluster-historyserver-head-kvb8g/ray-head,3743662080,3815194624,3820437504,34608596
1785978839437521043,raycluster-historyserver-cpu-worker-zhs74/collector,119631872,169693184,171937792,8774949
1785978839437521043,raycluster-historyserver-cpu-worker-zhs74/ray-worker,536440832,563159040,1084944384,38612782
1785978839437521043,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978840472526044,raycluster-historyserver-head-kvb8g/collector,135405568,215044096,215302144,14081768
1785978840472526044,raycluster-historyserver-head-kvb8g/ray-head,3721302016,3793047552,3820437504,35004377
1785978840472526044,raycluster-historyserver-cpu-worker-zhs74/collector,111718400,164487168,172486656,9615393
1785978840472526044,raycluster-historyserver-cpu-worker-zhs74/ray-worker,540499968,567222272,1084944384,38940563
1785978840472526044,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978841511322544,raycluster-historyserver-head-kvb8g/collector,111878144,191508480,232103936,14775565
1785978841511322544,raycluster-historyserver-head-kvb8g/ray-head,3735064576,3806875648,3820437504,35501232
1785978841511322544,raycluster-historyserver-cpu-worker-zhs74/collector,81518592,138661888,178032640,10138075
1785978841511322544,raycluster-historyserver-cpu-worker-zhs74/ray-worker,547561472,574296064,1084944384,39507190
1785978841511322544,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978842547458628,raycluster-historyserver-head-kvb8g/collector,131903488,219426816,232103936,15504052
1785978842547458628,raycluster-historyserver-head-kvb8g/ray-head,3716853760,3788369920,3820437504,35857738
1785978842547458628,raycluster-historyserver-cpu-worker-zhs74/collector,115068928,178765824,179064832,10974634
1785978842547458628,raycluster-historyserver-cpu-worker-zhs74/ray-worker,526774272,553467904,1084944384,39769958
1785978842547458628,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978843593431753,raycluster-historyserver-head-kvb8g/collector,113139712,200663040,237445120,16175181
1785978843593431753,raycluster-historyserver-head-kvb8g/ray-head,3731644416,3803508736,3820437504,36364467
1785978843593431753,raycluster-historyserver-cpu-worker-zhs74/collector,98689024,168419328,186286080,11896538
1785978843593431753,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532865024,559570944,1084944384,40038541
1785978843593431753,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978844639585087,raycluster-historyserver-head-kvb8g/collector,136036352,231686144,237445120,16932439
1785978844639585087,raycluster-historyserver-head-kvb8g/ray-head,3710693376,3782275072,3820437504,36459850
1785978844639585087,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11896631
1785978844639585087,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532840448,559554560,1084944384,40076990
1785978844639585087,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978845687496421,raycluster-historyserver-head-kvb8g/collector,136040448,231690240,237445120,16939861
1785978845687496421,raycluster-historyserver-head-kvb8g/ray-head,3710820352,3782385664,3820437504,36560473
1785978845687496421,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11896631
1785978845687496421,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532873216,559579136,1084944384,40111629
1785978845687496421,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978846736477838,raycluster-historyserver-head-kvb8g/collector,136040448,231690240,237445120,16939861
1785978846736477838,raycluster-historyserver-head-kvb8g/ray-head,3710951424,3782520832,3820437504,36663120
1785978846736477838,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11896631
1785978846736477838,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532893696,559603712,1084944384,40148393
1785978846736477838,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978847786466297,raycluster-historyserver-head-kvb8g/collector,136060928,231714816,237445120,16945303
1785978847786466297,raycluster-historyserver-head-kvb8g/ray-head,3711090688,3782664192,3820437504,36764272
1785978847786466297,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11896631
1785978847786466297,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532930560,559636480,1084944384,40201796
1785978847786466297,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978848837498881,raycluster-historyserver-head-kvb8g/collector,136060928,231714816,237445120,16946872
1785978848837498881,raycluster-historyserver-head-kvb8g/ray-head,3710365696,3781947392,3820437504,36896212
1785978848837498881,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11901067
1785978848837498881,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532951040,559656960,1084944384,40236403
1785978848837498881,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978849888450006,raycluster-historyserver-head-kvb8g/collector,136069120,231723008,237445120,16948069
1785978849888450006,raycluster-historyserver-head-kvb8g/ray-head,3710705664,3782291456,3820437504,37017489
1785978849888450006,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11901371
1785978849888450006,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532955136,559665152,1084944384,40279681
1785978849888450006,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978850936499840,raycluster-historyserver-head-kvb8g/collector,136077312,231727104,237445120,16951471
1785978850936499840,raycluster-historyserver-head-kvb8g/ray-head,3710820352,3782410240,3820437504,37120001
1785978850936499840,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11901371
1785978850936499840,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532992000,559702016,1084944384,40316732
1785978850936499840,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978851986427049,raycluster-historyserver-head-kvb8g/collector,136085504,231735296,237445120,16953153
1785978851986427049,raycluster-historyserver-head-kvb8g/ray-head,3710902272,3782496256,3820437504,37223380
1785978851986427049,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11901371
1785978851986427049,raycluster-historyserver-cpu-worker-zhs74/ray-worker,533012480,559726592,1084944384,40344798
1785978851986427049,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978853034541841,raycluster-historyserver-head-kvb8g/collector,136085504,231739392,237445120,16956048
1785978853034541841,raycluster-historyserver-head-kvb8g/ray-head,3711119360,3782717440,3820437504,37342003
1785978853034541841,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168419328,186286080,11901371
1785978853034541841,raycluster-historyserver-cpu-worker-zhs74/ray-worker,533028864,559738880,1084944384,40405851
1785978853034541841,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978854082760883,raycluster-historyserver-head-kvb8g/collector,136085504,231739392,237445120,16957296
1785978854082760883,raycluster-historyserver-head-kvb8g/ray-head,3710472192,3782787072,3820437504,37452998
1785978854082760883,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168415232,186286080,11903948
1785978854082760883,raycluster-historyserver-cpu-worker-zhs74/ray-worker,532992000,559702016,1084944384,40442195
1785978854082760883,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978855131736592,raycluster-historyserver-head-kvb8g/collector,136085504,231739392,237445120,16957296
1785978855131736592,raycluster-historyserver-head-kvb8g/ray-head,3710521344,3782840320,3820437504,37586927
1785978855131736592,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168415232,186286080,11904182
1785978855131736592,raycluster-historyserver-cpu-worker-zhs74/ray-worker,533069824,559779840,1084944384,40497638
1785978855131736592,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978856179666259,raycluster-historyserver-head-kvb8g/collector,136089600,231743488,237445120,16960251
1785978856179666259,raycluster-historyserver-head-kvb8g/ray-head,3710812160,3783151616,3820437504,37756354
1785978856179666259,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168415232,186286080,11904182
1785978856179666259,raycluster-historyserver-cpu-worker-zhs74/ray-worker,533069824,559779840,1084944384,40529186
1785978856179666259,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978857232013260,raycluster-historyserver-head-kvb8g/collector,136097792,231751680,237445120,16961547
1785978857232013260,raycluster-historyserver-head-kvb8g/ray-head,3460001792,3527725056,3820437504,38016346
1785978857232013260,raycluster-historyserver-cpu-worker-zhs74/collector,99151872,168415232,186286080,11904182
1785978857232013260,raycluster-historyserver-cpu-worker-zhs74/ray-worker,411320320,434257920,1084944384,40572060
1785978857232013260,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
1785978858298735552,raycluster-historyserver-head-kvb8g/collector,136122368,231780352,237445120,16968339
1785978858298735552,raycluster-historyserver-head-kvb8g/ray-head,3460272128,3528015872,3820437504,38130773
1785978858298735552,raycluster-historyserver-cpu-worker-zhs74/collector,99168256,168431616,186286080,11907242
1785978858298735552,raycluster-historyserver-cpu-worker-zhs74/ray-worker,411340800,434270208,1084944384,40606878
1785978858298735552,rayjob-bench-xnhkr/ray-job-submitter,102375424,113299456,116023296,3228009
