time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1785977229096402964,raycluster-historyserver-cpu-worker-dbzjh/ray-worker,282275840,302125056,304271360,2879456
1785977229096402964,raycluster-historyserver-cpu-worker-dbzjh/collector,56434688,57339904,59092992,560747
1785977229096402964,raycluster-historyserver-head-7jvss/collector,59822080,60837888,61599744,657323
1785977229096402964,raycluster-historyserver-head-7jvss/ray-head,2948378624,2999214080,3002937344,11015321
1785977230139527007,rayjob-bench-5zfsq/ray-job-submitter,55246848,61026304,61026304,629375
1785977230139527007,raycluster-historyserver-cpu-worker-dbzjh/ray-worker,282484736,302342144,304271360,2890352
1785977230139527007,raycluster-historyserver-cpu-worker-dbzjh/collector,56434688,57339904,59092992,560747
1785977230139527007,raycluster-historyserver-head-7jvss/collector,59822080,60837888,61599744,657477
1785977230139527007,raycluster-historyserver-head-7jvss/ray-head,2948505600,2999332864,3002937344,11065590
1785977231177587090,rayjob-bench-5zfsq/ray-job-submitter,32800768,42987520,115453952,1655202
1785977231177587090,raycluster-historyserver-cpu-worker-dbzjh/ray-worker,282652672,302522368,304271360,2899846
1785977231177587090,raycluster-historyserver-cpu-worker-dbzjh/collector,56434688,57339904,59092992,560747
1785977231177587090,raycluster-historyserver-head-7jvss/collector,59822080,60837888,61599744,657477
1785977231177587090,raycluster-historyserver-head-7jvss/ray-head,2947940352,2999562240,3003265024,11113060
1785977232216505758,rayjob-bench-5zfsq/ray-job-submitter,102772736,113999872,115453952,2488644
1785977232216505758,raycluster-historyserver-cpu-worker-dbzjh/ray-worker,282865664,302739456,304271360,2909978
1785977232216505758,raycluster-historyserver-cpu-worker-dbzjh/collector,56463360,57368576,59092992,563333
1785977232216505758,raycluster-historyserver-head-7jvss/collector,59822080,60837888,61599744,659651
1785977232216505758,raycluster-historyserver-head-7jvss/ray-head,2990776320,3044614144,3044704256,11969852
1785977233261560133,rayjob-bench-5zfsq/ray-job-submitter,102195200,113647616,115453952,3531712
1785977233261560133,raycluster-historyserver-cpu-worker-dbzjh/ray-worker,337801216,358449152,358449152,3297447
