time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-05T19:47:10.049236-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:10Z,2889662000,296660992
2026-08-05T19:47:10.049236-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:10.049236-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:10.049236-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:11.049209-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898855000,296837120
2026-08-05T19:47:11.049209-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:11.049209-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:11.049209-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:12.049938-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:12.049938-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:12.049938-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:12.049938-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:13.04858-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:13.04858-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:13.04858-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:13.04858-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:14.049237-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:14.049237-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:14.049237-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:14.049237-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:15.049239-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:15.049239-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:15.049239-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:15.049239-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:16.05058-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:16.05058-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:16.05058-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:16.05058-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:17.049193-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:17.049193-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:17.049193-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:17.049193-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:18.048696-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:18.048696-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:18.048696-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:18.048696-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:19.049268-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:19.049268-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:19.049268-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:19.049268-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:08Z,560747000,57335808
2026-08-05T19:47:20.048763-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:20.048763-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:19Z,1864648000,75341824
2026-08-05T19:47:20.048763-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:20.048763-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:01Z,10449451000,2989957120
2026-08-05T19:47:21.049294-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:21.049294-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:19Z,1864648000,75341824
2026-08-05T19:47:21.049294-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:20Z,19090441000,3303874560
2026-08-05T19:47:21.049294-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:22.04891-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:22.04891-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:19Z,1864648000,75341824
2026-08-05T19:47:22.04891-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:22.04891-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:20Z,19090441000,3303874560
2026-08-05T19:47:23.04941-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:23.04941-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:19Z,1864648000,75341824
2026-08-05T19:47:23.04941-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:23.04941-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:20Z,19090441000,3303874560
2026-08-05T19:47:24.048725-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
2026-08-05T19:47:24.048725-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,collector,2026-08-06T00:47:19Z,1864648000,75341824
2026-08-05T19:47:24.048725-05:00,job,raycluster-historyserver-head-7jvss,collector,2026-08-06T00:47:06Z,652374000,60829696
2026-08-05T19:47:24.048725-05:00,job,raycluster-historyserver-head-7jvss,ray-head,2026-08-06T00:47:20Z,19090441000,3303874560
2026-08-05T19:47:25.048795-05:00,job,raycluster-historyserver-cpu-worker-dbzjh,ray-worker,2026-08-06T00:47:11Z,2898927000,296837120
