time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1785971204038796759,raycluster-historyserver-cpu-worker-grcxz/ray-worker,282419200,302301184,305364992,2743341
1785971204038796759,raycluster-historyserver-cpu-worker-grcxz/collector,55427072,56864768,59150336,583120
1785971204038796759,raycluster-historyserver-head-8lwmp/ray-head,2322264064,2375266304,2377424896,9896012
1785971204038796759,raycluster-historyserver-head-8lwmp/collector,61992960,63619072,64118784,611091
1785971205071959843,rayjob-bench-vj4hg/ray-job-submitter,61607936,67973120,69869568,652493
1785971205071959843,raycluster-historyserver-cpu-worker-grcxz/ray-worker,282603520,302493696,305364992,2752632
1785971205071959843,raycluster-historyserver-cpu-worker-grcxz/collector,55427072,56864768,59150336,583120
1785971205071959843,raycluster-historyserver-head-8lwmp/ray-head,2322481152,2375467008,2378670080,9949266
1785971205071959843,raycluster-historyserver-head-8lwmp/collector,61992960,63619072,64118784,611231
1785971206111191926,rayjob-bench-vj4hg/ray-job-submitter,55369728,65843200,115531776,1651631
1785971206111191926,raycluster-historyserver-cpu-worker-grcxz/ray-worker,282787840,302686208,305364992,2761340
1785971206111191926,raycluster-historyserver-cpu-worker-grcxz/collector,55427072,56860672,59150336,583120
1785971206111191926,raycluster-historyserver-head-8lwmp/ray-head,2322370560,2375892992,2378670080,9992845
1785971206111191926,raycluster-historyserver-head-8lwmp/collector,61992960,63623168,64118784,612392
1785971207152567927,rayjob-bench-vj4hg/ray-job-submitter,45801472,55889920,115593216,2544102
1785971207152567927,raycluster-historyserver-cpu-worker-grcxz/ray-worker,283025408,302936064,305364992,2771400
1785971207152567927,raycluster-historyserver-cpu-worker-grcxz/collector,55427072,56860672,59150336,583120
1785971207152567927,raycluster-historyserver-head-8lwmp/ray-head,2376192000,2432503808,2434465792,11400012
1785971207152567927,raycluster-historyserver-head-8lwmp/collector,61992960,63619072,64118784,613569
1785971208191251469,rayjob-bench-vj4hg/ray-job-submitter,102371328,113299456,115593216,3130508
1785971208191251469,raycluster-historyserver-cpu-worker-grcxz/ray-worker,482807808,511676416,512266240,4048798
1785971208191251469,raycluster-historyserver-cpu-worker-grcxz/collector,55443456,56877056,59150336,585073
1785971208191251469,raycluster-historyserver-head-8lwmp/ray-head,2484334592,2543910912,2545479680,12125836
1785971208191251469,raycluster-historyserver-head-8lwmp/collector,62013440,63647744,64143360,617912
1785971209235212136,rayjob-bench-vj4hg/ray-job-submitter,102375424,113299456,115593216,3130665
1785971209235212136,raycluster-historyserver-cpu-worker-grcxz/ray-worker,703156224,735846400,736391168,6103500
