time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-05T18:00:39.508832-05:00,job,raycluster-historyserver-head-zfsvg,collector,2026-08-05T23:00:34Z,637028000,63369216
2026-08-05T18:00:39.508832-05:00,job,raycluster-historyserver-head-zfsvg,ray-head,2026-08-05T23:00:35Z,15699011000,2269700096
2026-08-05T18:00:39.508832-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,collector,2026-08-05T23:00:39Z,593333000,58028032
2026-08-05T18:00:39.508832-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,ray-worker,2026-08-05T23:00:39Z,3030817000,296869888
2026-08-05T18:00:40.510292-05:00,job,raycluster-historyserver-head-zfsvg,ray-head,2026-08-05T23:00:35Z,15699011000,2269700096
2026-08-05T18:00:40.510292-05:00,job,raycluster-historyserver-head-zfsvg,collector,2026-08-05T23:00:34Z,637028000,63369216
2026-08-05T18:00:40.510292-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,ray-worker,2026-08-05T23:00:40Z,3040423000,296800256
2026-08-05T18:00:40.510292-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,collector,2026-08-05T23:00:40Z,593333000,58028032
2026-08-05T18:00:41.511632-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,ray-worker,2026-08-05T23:00:41Z,3049947000,297263104
2026-08-05T18:00:41.511632-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,collector,2026-08-05T23:00:40Z,593333000,58028032
2026-08-05T18:00:41.511632-05:00,job,raycluster-historyserver-head-zfsvg,ray-head,2026-08-05T23:00:35Z,15699011000,2269700096
2026-08-05T18:00:41.511632-05:00,job,raycluster-historyserver-head-zfsvg,collector,2026-08-05T23:00:34Z,637028000,63369216
2026-08-05T18:00:42.512926-05:00,job,raycluster-historyserver-head-zfsvg,collector,2026-08-05T23:00:34Z,637028000,63369216
2026-08-05T18:00:42.512926-05:00,job,raycluster-historyserver-head-zfsvg,ray-head,2026-08-05T23:00:35Z,15699011000,2269700096
2026-08-05T18:00:42.512926-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,collector,2026-08-05T23:00:40Z,593333000,58028032
2026-08-05T18:00:42.512926-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,ray-worker,2026-08-05T23:00:42Z,3108174000,310435840
2026-08-05T18:00:43.513863-05:00,job,raycluster-historyserver-head-zfsvg,ray-head,2026-08-05T23:00:35Z,15699011000,2269700096
2026-08-05T18:00:43.513863-05:00,job,raycluster-historyserver-head-zfsvg,collector,2026-08-05T23:00:34Z,637028000,63369216
2026-08-05T18:00:43.513863-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,ray-worker,2026-08-05T23:00:43Z,4791225000,534446080
2026-08-05T18:00:43.513863-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,collector,2026-08-05T23:00:40Z,593333000,58028032
2026-08-05T18:00:44.514634-05:00,job,raycluster-historyserver-head-zfsvg,collector,2026-08-05T23:00:34Z,637028000,63369216
2026-08-05T18:00:44.514634-05:00,job,raycluster-historyserver-head-zfsvg,ray-head,2026-08-05T23:00:35Z,15699011000,2269700096
2026-08-05T18:00:44.514634-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,ray-worker,2026-08-05T23:00:43Z,4791225000,534446080
2026-08-05T18:00:44.514634-05:00,job,raycluster-historyserver-cpu-worker-m7fn6,collector,2026-08-05T23:00:40Z,593333000,58028032
