time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1785971804332453134,raycluster-historyserver-head-t2rwc/collector,62230528,63377408,64131072,621487
1785971804332453134,raycluster-historyserver-head-t2rwc/ray-head,2340147200,2393919488,2395762688,10686025
1785971804332453134,raycluster-historyserver-cpu-worker-qrqz2/collector,55164928,56463360,58486784,573013
1785971804332453134,raycluster-historyserver-cpu-worker-qrqz2/ray-worker,282329088,302252032,304562176,3048422
1785971805371488051,rayjob-bench-gntmh/ray-job-submitter,58060800,63930368,63930368,645571
1785971805371488051,raycluster-historyserver-head-t2rwc/collector,62230528,63377408,64131072,621612
1785971805371488051,raycluster-historyserver-head-t2rwc/ray-head,2340323328,2394144768,2397306880,10742487
1785971805371488051,raycluster-historyserver-cpu-worker-qrqz2/collector,55164928,56463360,58486784,573013
1785971805371488051,raycluster-historyserver-cpu-worker-qrqz2/ray-worker,282574848,302497792,304562176,3059738
1785971806412004051,rayjob-bench-gntmh/ray-job-submitter,40677376,50794496,115769344,1672345
1785971806412004051,raycluster-historyserver-head-t2rwc/collector,62230528,63381504,64131072,622751
1785971806412004051,raycluster-historyserver-head-t2rwc/ray-head,2340667392,2394574848,2397306880,10791766
1785971806412004051,raycluster-historyserver-cpu-worker-qrqz2/collector,55164928,56463360,58486784,573013
1785971806412004051,raycluster-historyserver-cpu-worker-qrqz2/ray-worker,282759168,302690304,304562176,3068844
1785971807450640552,rayjob-bench-gntmh/ray-job-submitter,23023616,32993280,115769344,2593120
1785971807450640552,raycluster-historyserver-head-t2rwc/collector,62230528,63377408,64131072,623397
1785971807450640552,raycluster-historyserver-head-t2rwc/ray-head,2367574016,2423422976,2450690048,11877053
1785971807450640552,raycluster-historyserver-cpu-worker-qrqz2/collector,55164928,56463360,58486784,573013
1785971807450640552,raycluster-historyserver-cpu-worker-qrqz2/ray-worker,282816512,302751744,304562176,3078956
1785971808492946344,rayjob-bench-gntmh/ray-job-submitter,102350848,113274880,115769344,3419439
1785971808492946344,raycluster-historyserver-head-t2rwc/collector,62271488,63426560,64131072,628554
1785971808492946344,raycluster-historyserver-head-t2rwc/ray-head,2501414912,2561343488,2562641920,12792143
1785971808492946344,raycluster-historyserver-cpu-worker-qrqz2/collector,55222272,56520704,58486784,575736
1785971808492946344,raycluster-historyserver-cpu-worker-qrqz2/ray-worker,431046656,455127040,455389184,3880547
1785971809534607136,rayjob-bench-gntmh/ray-job-submitter,102354944,113278976,115769344,3419654
1785971809534607136,raycluster-historyserver-head-t2rwc/collector,69566464,69419008,70205440,651912
1785971809534607136,raycluster-historyserver-head-t2rwc/ray-head,2554609664,2614722560,2617602048,13560708
1785971809534607136,raycluster-historyserver-cpu-worker-qrqz2/collector,55222272,56520704,58486784,575736
1785971809534607136,raycluster-historyserver-cpu-worker-qrqz2/ray-worker,641118208,672530432,673386496,6056897
1785971810584194970,rayjob-bench-gntmh/ray-job-submitter,102359040,113283072,115769344,3419801
1785971810584194970,raycluster-historyserver-head-t2rwc/collector,94765056,99880960,99880960,1277706
1785971810584194970,raycluster-historyserver-head-t2rwc/ray-head,2581123072,2641817600,2645254144,14521759
1785971810584194970,raycluster-historyserver-cpu-worker-qrqz2/collector,66527232,69365760,70230016,874228
