time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-05T18:13:13.075391-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:01Z,604458000,62963712
2026-08-05T18:13:13.075391-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:13.075391-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:13Z,550184000,56303616
2026-08-05T18:13:13.075391-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:13Z,2743599000,298131456
2026-08-05T18:13:14.074589-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:01Z,604458000,62963712
2026-08-05T18:13:14.074589-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:14.074589-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:14.074589-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:14Z,2751955000,298323968
2026-08-05T18:13:15.072884-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:15.072884-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:15Z,2761848000,298500096
2026-08-05T18:13:15.072884-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:01Z,604458000,62963712
2026-08-05T18:13:15.072884-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:16.073618-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:01Z,604458000,62963712
2026-08-05T18:13:16.073618-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:16.073618-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:16.073618-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:16Z,3464726000,441503744
2026-08-05T18:13:17.072671-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:17.072671-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:17Z,5469063000,593199104
2026-08-05T18:13:17.072671-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:17.072671-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:01Z,604458000,62963712
2026-08-05T18:13:18.073846-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:18.073846-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:01Z,604458000,62963712
2026-08-05T18:13:18.073846-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:17Z,7391233000,585211904
2026-08-05T18:13:18.073846-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:19.073606-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:01Z,604458000,62963712
2026-08-05T18:13:19.073606-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:19.073606-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:19.073606-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:17Z,7391233000,585211904
2026-08-05T18:13:20.077583-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:20.077583-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:17Z,7391233000,585211904
2026-08-05T18:13:20.077583-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:19Z,2493743000,103903232
2026-08-05T18:13:20.077583-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:21.073609-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:21.073609-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:17Z,7391233000,585211904
2026-08-05T18:13:21.073609-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:19Z,2493743000,103903232
2026-08-05T18:13:21.073609-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:22.073466-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:22.073466-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:19Z,2493743000,103903232
2026-08-05T18:13:22.073466-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:17Z,7391233000,585211904
2026-08-05T18:13:22.073466-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
2026-08-05T18:13:23.073616-05:00,job,raycluster-historyserver-head-dnd8p,ray-head,2026-08-05T23:13:09Z,10641353000,2377977856
2026-08-05T18:13:23.073616-05:00,job,raycluster-historyserver-head-dnd8p,collector,2026-08-05T23:13:19Z,2493743000,103903232
2026-08-05T18:13:23.073616-05:00,job,raycluster-historyserver-cpu-worker-s825z,ray-worker,2026-08-05T23:13:17Z,7391233000,585211904
2026-08-05T18:13:23.073616-05:00,job,raycluster-historyserver-cpu-worker-s825z,collector,2026-08-05T23:13:14Z,550184000,56303616
