time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-05T18:20:44.241157-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:44.241157-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:36Z,10914507000,2271408128
2026-08-05T18:20:44.241157-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:44.241157-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:44Z,2793422000,296726528
2026-08-05T18:20:45.241263-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:45Z,2801875000,296914944
2026-08-05T18:20:45.241263-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:45.241263-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:36Z,10914507000,2271408128
2026-08-05T18:20:45.241263-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:46.241525-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:46.241525-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:46.241525-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:36Z,10914507000,2271408128
2026-08-05T18:20:46.241525-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:47.241516-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:47.241516-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:47.241516-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:36Z,10914507000,2271408128
2026-08-05T18:20:47.241516-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:48.241553-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:48.241553-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:48.241553-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:36Z,10914507000,2271408128
2026-08-05T18:20:48.241553-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:49.241176-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:36Z,10914507000,2271408128
2026-08-05T18:20:49.241176-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:49.241176-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:49.241176-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:50.241128-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:36Z,10914507000,2271408128
2026-08-05T18:20:50.241128-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:50.241128-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:50.241128-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:51.24157-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:51.24157-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:51.24157-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:50Z,14037904000,2458259456
2026-08-05T18:20:51.24157-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:52.24158-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:50Z,14037904000,2458259456
2026-08-05T18:20:52.24158-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:52.24158-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:52.24158-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:53.241591-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:50Z,14037904000,2458259456
2026-08-05T18:20:53.241591-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:39Z,603915000,63127552
2026-08-05T18:20:53.241591-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:53.241591-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:54.241607-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:50Z,14037904000,2458259456
2026-08-05T18:20:54.241607-05:00,job,raycluster-historyserver-head-9gh4q,collector,2026-08-05T23:20:53Z,919729000,78290944
2026-08-05T18:20:54.241607-05:00,job,raycluster-historyserver-cpu-worker-596ht,collector,2026-08-05T23:20:44Z,542323000,57262080
2026-08-05T18:20:54.241607-05:00,job,raycluster-historyserver-cpu-worker-596ht,ray-worker,2026-08-05T23:20:46Z,2810135000,297103360
2026-08-05T18:20:55.241663-05:00,job,raycluster-historyserver-head-9gh4q,ray-head,2026-08-05T23:20:50Z,14037904000,2458259456
