time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1785972102523560675,raycluster-historyserver-cpu-worker-ntvtd/collector,55349248,56229888,57257984,509769
1785972102523560675,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,282476544,302280704,305274880,2533509
1785972102523560675,raycluster-historyserver-head-q8nhn/ray-head,2218954752,2273832960,2275340288,10075711
1785972102523560675,raycluster-historyserver-head-q8nhn/collector,60420096,61509632,62021632,628494
1785972103563244133,raycluster-historyserver-cpu-worker-ntvtd/collector,55349248,56229888,57257984,509769
1785972103563244133,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,282648576,302460928,305274880,2543195
1785972103563244133,raycluster-historyserver-head-q8nhn/ray-head,2217959424,2271830016,2275340288,10122274
1785972103563244133,raycluster-historyserver-head-q8nhn/collector,60420096,61509632,62021632,629412
1785972103563244133,rayjob-bench-99j78/ray-job-submitter,61956096,68640768,71340032,720081
1785972104599987884,raycluster-historyserver-cpu-worker-ntvtd/collector,55349248,56229888,57257984,509769
1785972104599987884,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,282832896,302653440,305274880,2551709
1785972104599987884,raycluster-historyserver-head-q8nhn/ray-head,2219167744,2273173504,2275340288,10179803
1785972104599987884,raycluster-historyserver-head-q8nhn/collector,60420096,61509632,62021632,629412
1785972104599987884,rayjob-bench-99j78/ray-job-submitter,60272640,70963200,115294208,1698955
1785972105637624468,raycluster-historyserver-cpu-worker-ntvtd/collector,55914496,56803328,58073088,529144
1785972105637624468,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,282914816,302907392,305274880,2562179
1785972105637624468,raycluster-historyserver-head-q8nhn/ray-head,2281615360,2338496512,2338496512,11241913
1785972105637624468,raycluster-historyserver-head-q8nhn/collector,60420096,61505536,62021632,630637
1785972105637624468,rayjob-bench-99j78/ray-job-submitter,44580864,54824960,115294208,2513104
1785972106676015552,raycluster-historyserver-cpu-worker-ntvtd/collector,55914496,56803328,58073088,529549
1785972106676015552,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,501190656,528900096,529661952,3938433
1785972106676015552,raycluster-historyserver-head-q8nhn/ray-head,2380152832,2441068544,2442526720,11920512
1785972106676015552,raycluster-historyserver-head-q8nhn/collector,60510208,61603840,62115840,636578
1785972106676015552,rayjob-bench-99j78/ray-job-submitter,102367232,113287168,115294208,3047633
1785972107719528844,raycluster-historyserver-cpu-worker-ntvtd/collector,55914496,56803328,58073088,529549
1785972107719528844,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,718016512,751058944,753729536,6038436
1785972107719528844,raycluster-historyserver-head-q8nhn/ray-head,2440544256,2501967872,2503020544,12798414
1785972107719528844,raycluster-historyserver-head-q8nhn/collector,81104896,83582976,84418560,1103861
1785972107719528844,rayjob-bench-99j78/ray-job-submitter,102375424,113295360,115294208,3047905
1785972108758085136,raycluster-historyserver-cpu-worker-ntvtd/collector,69664768,72306688,72818688,823671
1785972108758085136,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,857726976,895700992,896733184,8040083
1785972108758085136,raycluster-historyserver-head-q8nhn/ray-head,2459766784,2521575424,2523742208,13598540
1785972108758085136,raycluster-historyserver-head-q8nhn/collector,94457856,99090432,100327424,1575471
1785972108758085136,rayjob-bench-99j78/ray-job-submitter,102379520,113299456,115294208,3048046
1785972109801753303,raycluster-historyserver-cpu-worker-ntvtd/collector,76210176,82509824,83968000,1450401
1785972109801753303,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,893870080,932425728,933998592,8949053
1785972109801753303,raycluster-historyserver-head-q8nhn/ray-head,2464231424,2525974528,2529644544,14049327
1785972109801753303,raycluster-historyserver-head-q8nhn/collector,98353152,109182976,109326336,2307282
1785972109801753303,rayjob-bench-99j78/ray-job-submitter,102383616,113303552,115294208,3048174
1785972110840100012,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1690021
1785972110840100012,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,421163008,445308928,933998592,9782687
1785972110840100012,raycluster-historyserver-head-q8nhn/ray-head,2465198080,2526781440,2530279424,14127047
1785972110840100012,raycluster-historyserver-head-q8nhn/collector,98455552,109285376,109707264,2308370
1785972110840100012,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972111886495137,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1690021
1785972111886495137,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,422318080,446566400,933998592,9845049
1785972111886495137,raycluster-historyserver-head-q8nhn/ray-head,2465427456,2527031296,2530279424,14199297
1785972111886495137,raycluster-historyserver-head-q8nhn/collector,98476032,109305856,109821952,2313391
1785972111886495137,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972112931289971,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1690021
1785972112931289971,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,422395904,446627840,933998592,9871879
1785972112931289971,raycluster-historyserver-head-q8nhn/ray-head,2465423360,2527174656,2531000320,14272517
1785972112931289971,raycluster-historyserver-head-q8nhn/collector,98476032,109305856,109821952,2313391
1785972112931289971,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972113979142930,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1690021
1785972113979142930,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,422846464,447123456,933998592,9906639
1785972113979142930,raycluster-historyserver-head-q8nhn/ray-head,2466140160,2528907264,2532589568,14402660
1785972113979142930,raycluster-historyserver-head-q8nhn/collector,98476032,109305856,109821952,2317542
1785972113979142930,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972115025303625,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1690021
1785972115025303625,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,422834176,447111168,933998592,9934410
1785972115025303625,raycluster-historyserver-head-q8nhn/ray-head,2466349056,2529128448,2532589568,14481645
1785972115025303625,raycluster-historyserver-head-q8nhn/collector,98480128,109309952,109830144,2318971
1785972115025303625,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972116072887208,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1692942
1785972116072887208,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,422907904,447188992,933998592,9962219
1785972116072887208,raycluster-historyserver-head-q8nhn/ray-head,2467119104,2529914880,2532589568,14590343
1785972116072887208,raycluster-historyserver-head-q8nhn/collector,98480128,109309952,109830144,2318971
1785972116072887208,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972117113894167,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1693184
1785972117113894167,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,423129088,447442944,933998592,10012134
1785972117113894167,raycluster-historyserver-head-q8nhn/ray-head,2539225088,2604535808,2604797952,15934760
1785972117113894167,raycluster-historyserver-head-q8nhn/collector,98492416,109314048,109830144,2330110
1785972117113894167,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972118153064293,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1693184
1785972118153064293,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,423202816,447541248,933998592,10036206
1785972118153064293,raycluster-historyserver-head-q8nhn/ray-head,2613551104,2680414208,2683445248,16428817
1785972118153064293,raycluster-historyserver-head-q8nhn/collector,98684928,109522944,109916160,2336065
1785972118153064293,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972119196197377,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1693184
1785972119196197377,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,423485440,447795200,933998592,10063520
1785972119196197377,raycluster-historyserver-head-q8nhn/ray-head,2614460416,2681352192,2683445248,16565952
1785972119196197377,raycluster-historyserver-head-q8nhn/collector,98689024,109539328,110055424,2341542
1785972119196197377,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972120237999502,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1697720
1785972120237999502,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,304734208,325283840,933998592,10108103
1785972120237999502,raycluster-historyserver-head-q8nhn/ray-head,2449575936,2513547264,2684596224,16835641
1785972120237999502,raycluster-historyserver-head-q8nhn/collector,98705408,109555712,110055424,2346925
1785972120237999502,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972121275545294,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1697990
1785972121275545294,raycluster-historyserver-cpu-worker-ntvtd/ray-worker,304766976,325312512,933998592,10131350
1785972121275545294,raycluster-historyserver-head-q8nhn/ray-head,2449719296,2512150528,2684596224,16916181
1785972121275545294,raycluster-historyserver-head-q8nhn/collector,98705408,109555712,110055424,2351648
1785972121275545294,rayjob-bench-99j78/ray-job-submitter,102387712,113307648,115294208,3048294
1785972122311572628,raycluster-historyserver-cpu-worker-ntvtd/collector,65875968,73707520,84934656,1697990
