time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1785975365558948879,raycluster-historyserver-head-h9stz/collector,60776448,61763584,62259200,625339
1785975365558948879,raycluster-historyserver-head-h9stz/ray-head,1932967936,1983971328,1985576960,10390864
1785975365558948879,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,293920768,314630144,315080704,2692255
1785975365558948879,raycluster-historyserver-cpu-worker-pw5ld/collector,55603200,56508416,57823232,560843
1785975366597454588,raycluster-historyserver-head-h9stz/collector,60776448,61763584,62259200,625498
1785975366597454588,raycluster-historyserver-head-h9stz/ray-head,1929326592,1984225280,1988087808,10453035
1785975366597454588,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,293928960,314806272,315678720,2702763
1785975366597454588,raycluster-historyserver-cpu-worker-pw5ld/collector,55603200,56508416,57823232,560843
1785975366597454588,rayjob-bench-9lq6t/ray-job-submitter,58089472,63963136,63963136,640093
1785975367637728380,raycluster-historyserver-head-h9stz/collector,60776448,61767680,62259200,626496
1785975367637728380,raycluster-historyserver-head-h9stz/ray-head,1929703424,1984647168,1988087808,10500172
1785975367637728380,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,294109184,314826752,316116992,2711480
1785975367637728380,raycluster-historyserver-cpu-worker-pw5ld/collector,55603200,56508416,57823232,560843
1785975367637728380,rayjob-bench-9lq6t/ray-job-submitter,37113856,47218688,115527680,1651618
1785975368678081339,raycluster-historyserver-head-h9stz/collector,60776448,61763584,62259200,627185
1785975368678081339,raycluster-historyserver-head-h9stz/ray-head,1952337920,2009997312,2040238080,11716017
1785975368678081339,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,294170624,314933248,316137472,2721811
1785975368678081339,raycluster-historyserver-cpu-worker-pw5ld/collector,55607296,56512512,57823232,563737
1785975368678081339,rayjob-bench-9lq6t/ray-job-submitter,21135360,31453184,115527680,2543064
1785975369716069465,raycluster-historyserver-head-h9stz/collector,60895232,61890560,62296064,631892
1785975369716069465,raycluster-historyserver-head-h9stz/ray-head,2090500096,2151260160,2152783872,12621684
1785975369716069465,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,420237312,444559360,445083648,3518151
1785975369716069465,raycluster-historyserver-cpu-worker-pw5ld/collector,55607296,56512512,57823232,563905
1785975369716069465,rayjob-bench-9lq6t/ray-job-submitter,102371328,113307648,115527680,3374078
1785975370765611674,raycluster-historyserver-head-h9stz/collector,60948480,61952000,62414848,636855
1785975370765611674,raycluster-historyserver-head-h9stz/ray-head,2139148288,2199633920,2200158208,13365359
1785975370765611674,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,631136256,663011328,664481792,5641128
1785975370765611674,raycluster-historyserver-cpu-worker-pw5ld/collector,55607296,56512512,57823232,563905
1785975370765611674,rayjob-bench-9lq6t/ray-job-submitter,102379520,113307648,115527680,3374238
1785975371818586424,raycluster-historyserver-head-h9stz/collector,85102592,92495872,98770944,1487245
1785975371818586424,raycluster-historyserver-head-h9stz/ray-head,2150334464,2212122624,2213134336,14080767
1785975371818586424,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,810713088,847286272,847290368,7831213
1785975371818586424,raycluster-historyserver-cpu-worker-pw5ld/collector,64040960,66146304,66400256,807022
1785975371818586424,rayjob-bench-9lq6t/ray-job-submitter,102383616,113311744,115527680,3374586
1785975372870520508,raycluster-historyserver-head-h9stz/collector,82796544,89796608,98770944,1729893
1785975372870520508,raycluster-historyserver-head-h9stz/ray-head,2166677504,2228125696,2230231040,14846162
1785975372870520508,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,929583104,969322496,970854400,9830941
1785975372870520508,raycluster-historyserver-cpu-worker-pw5ld/collector,71811072,75390976,75653120,1007239
1785975372870520508,rayjob-bench-9lq6t/ray-job-submitter,102383616,113041408,115527680,3374726
1785975373914377800,raycluster-historyserver-head-h9stz/collector,84688896,94629888,98770944,2123192
1785975373914377800,raycluster-historyserver-head-h9stz/ray-head,2174173184,2235527168,2236342272,15829297
1785975373914377800,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,945127424,986841088,987910144,11853909
1785975373914377800,raycluster-historyserver-cpu-worker-pw5ld/collector,78766080,83533824,83791872,1481345
1785975373914377800,rayjob-bench-9lq6t/ray-job-submitter,102383616,112775168,115527680,3374949
1785975374973461259,raycluster-historyserver-head-h9stz/collector,93962240,107442176,107888640,2752721
1785975374973461259,raycluster-historyserver-head-h9stz/ray-head,2193461248,2254893056,2257977344,16854400
1785975374973461259,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,924979200,964829184,990744576,13962646
1785975374973461259,raycluster-historyserver-cpu-worker-pw5ld/collector,77029376,83652608,86032384,1747649
1785975374973461259,rayjob-bench-9lq6t/ray-job-submitter,102383616,112775168,115527680,3375077
1785975376016508718,raycluster-historyserver-head-h9stz/collector,94007296,111964160,113008640,3543562
1785975376016508718,raycluster-historyserver-head-h9stz/ray-head,2226368512,2288087040,2290122752,17698237
1785975376016508718,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,930373632,971390976,990744576,16107612
1785975376016508718,raycluster-historyserver-cpu-worker-pw5ld/collector,73904128,82743296,86032384,2109985
1785975376016508718,rayjob-bench-9lq6t/ray-job-submitter,102383616,112775168,115527680,3375435
1785975377069543635,raycluster-historyserver-head-h9stz/collector,101937152,120246272,121901056,4054859
1785975377069543635,raycluster-historyserver-head-h9stz/ray-head,2252955648,2315030528,2317873152,18986930
1785975377069543635,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,945868800,986558464,990744576,18147530
1785975377069543635,raycluster-historyserver-cpu-worker-pw5ld/collector,84934656,97738752,98074624,2802075
1785975377069543635,rayjob-bench-9lq6t/ray-job-submitter,102383616,112775168,115527680,3375583
1785975378116633969,raycluster-historyserver-head-h9stz/collector,113614848,136544256,137281536,4430922
1785975378116633969,raycluster-historyserver-head-h9stz/ray-head,2284732416,2346778624,2350022656,20290322
1785975378116633969,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,975503360,1017749504,1018257408,20300388
1785975378116633969,raycluster-historyserver-cpu-worker-pw5ld/collector,84934656,97738752,98074624,2805904
1785975378116633969,rayjob-bench-9lq6t/ray-job-submitter,102383616,112775168,115527680,3375743
1785975379173489844,raycluster-historyserver-head-h9stz/collector,107012096,136085504,138379264,5379097
1785975379173489844,raycluster-historyserver-head-h9stz/ray-head,2289205248,2358222848,2367406080,21301561
1785975379173489844,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,993382400,1034465280,1038499840,22349041
1785975379173489844,raycluster-historyserver-cpu-worker-pw5ld/collector,93376512,106434560,107732992,3314946
1785975379173489844,rayjob-bench-9lq6t/ray-job-submitter,102383616,112775168,115527680,3375925
1785975380216595845,raycluster-historyserver-head-h9stz/collector,104738816,133038080,142966784,5777881
1785975380216595845,raycluster-historyserver-head-h9stz/ray-head,2339024896,2408185856,2412838912,22667682
1785975380216595845,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,989638656,1031401472,1038503936,24517399
1785975380216595845,raycluster-historyserver-cpu-worker-pw5ld/collector,93503488,111411200,111452160,3723603
1785975380216595845,rayjob-bench-9lq6t/ray-job-submitter,102383616,112775168,115527680,3376088
1785975381275501179,raycluster-historyserver-head-h9stz/collector,123994112,160198656,160497664,6862303
1785975381275501179,raycluster-historyserver-head-h9stz/ray-head,2484514816,2559135744,2564112384,24282050
1785975381275501179,raycluster-historyserver-cpu-worker-pw5ld/ray-worker,993165312,1034760192,1038503936,26547805
1785975381275501179,raycluster-historyserver-cpu-worker-pw5ld/collector,93503488,111411200,111452160,3723603
1785975381275501179,rayjob-bench-9lq6t/ray-job-submitter,102383616,112775168,115527680,3376339
