time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-05T19:16:06.508277-05:00,job,raycluster-historyserver-cpu-worker-pw5ld,ray-worker,2026-08-06T00:16:06Z,2698383000,308944896
2026-08-05T19:16:06.508277-05:00,job,raycluster-historyserver-cpu-worker-pw5ld,collector,2026-08-06T00:16:02Z,554900000,56492032
2026-08-05T19:16:06.508277-05:00,job,raycluster-historyserver-head-h9stz,ray-head,2026-08-06T00:16:01Z,10148931000,1968988160
2026-08-05T19:16:06.508277-05:00,job,raycluster-historyserver-head-h9stz,collector,2026-08-06T00:16:02Z,620048000,61726720
2026-08-05T19:16:07.508575-05:00,job,raycluster-historyserver-head-h9stz,ray-head,2026-08-06T00:16:01Z,10148931000,1968988160
2026-08-05T19:16:07.508575-05:00,job,raycluster-historyserver-head-h9stz,collector,2026-08-06T00:16:02Z,620048000,61726720
2026-08-05T19:16:07.508575-05:00,job,raycluster-historyserver-cpu-worker-pw5ld,ray-worker,2026-08-06T00:16:06Z,2698383000,308944896
2026-08-05T19:16:07.508575-05:00,job,raycluster-historyserver-cpu-worker-pw5ld,collector,2026-08-06T00:16:02Z,554900000,56492032
2026-08-05T19:16:08.508573-05:00,job,raycluster-historyserver-cpu-worker-pw5ld,ray-worker,2026-08-06T00:16:06Z,2698383000,308944896
2026-08-05T19:16:08.508573-05:00,job,raycluster-historyserver-cpu-worker-pw5ld,collector,2026-08-06T00:16:02Z,554900000,56492032
2026-08-05T19:16:08.508573-05:00,job,raycluster-historyserver-head-h9stz,ray-head,2026-08-06T00:16:01Z,10148931000,1968988160
2026-08-05T19:16:08.508573-05:00,job,raycluster-historyserver-head-h9stz,collector,2026-08-06T00:16:02Z,620048000,61726720
2026-08-05T19:16:09.508539-05:00,job,raycluster-historyserver-head-h9stz,ray-head,2026-08-06T00:16:01Z,10148931000,1968988160
