time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1785974189204827043,raycluster-historyserver-cpu-worker-x85f9/collector,55898112,56983552,59330560,563587
1785974189204827043,raycluster-historyserver-cpu-worker-x85f9/ray-worker,304877568,327114752,330362880,3225659
1785974189204827043,raycluster-historyserver-head-lrwtp/ray-head,1250283520,1304072192,1305415680,11531443
1785974189204827043,raycluster-historyserver-head-lrwtp/collector,59744256,60878848,61509632,851966
1785974190247452585,rayjob-bench-25qj2/ray-job-submitter,54075392,59641856,59641856,622382
1785974190247452585,raycluster-historyserver-cpu-worker-x85f9/collector,55898112,56983552,59330560,563587
1785974190247452585,raycluster-historyserver-cpu-worker-x85f9/ray-worker,309207040,331423744,332382208,3236175
1785974190247452585,raycluster-historyserver-head-lrwtp/ray-head,1250721792,1304416256,1307926528,11587547
1785974190247452585,raycluster-historyserver-head-lrwtp/collector,59744256,60878848,61509632,852124
1785974191286386461,rayjob-bench-25qj2/ray-job-submitter,28684288,38772736,114999296,1646401
1785974191286386461,raycluster-historyserver-cpu-worker-x85f9/collector,55898112,56983552,59330560,563587
1785974191286386461,raycluster-historyserver-cpu-worker-x85f9/ray-worker,313479168,335704064,336158720,3246525
1785974191286386461,raycluster-historyserver-head-lrwtp/ray-head,1256005632,1315520512,1318375424,11645205
1785974191286386461,raycluster-historyserver-head-lrwtp/collector,59744256,60878848,61509632,853351
1785974192324591378,rayjob-bench-25qj2/ray-job-submitter,99381248,111181824,115101696,2535148
1785974192324591378,raycluster-historyserver-cpu-worker-x85f9/collector,55902208,56987648,59330560,566496
1785974192324591378,raycluster-historyserver-cpu-worker-x85f9/ray-worker,313520128,335745024,336240640,3256946
1785974192324591378,raycluster-historyserver-head-lrwtp/ray-head,1305518080,1366867968,1367130112,12837787
1785974192324591378,raycluster-historyserver-head-lrwtp/collector,59744256,60874752,61509632,854030
1785974193366272878,rayjob-bench-25qj2/ray-job-submitter,101691392,113291264,115101696,3568787
1785974193366272878,raycluster-historyserver-cpu-worker-x85f9/collector,55902208,56987648,59330560,566496
1785974193366272878,raycluster-historyserver-cpu-worker-x85f9/ray-worker,394641408,419209216,420052992,3776607
