time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-05T18:56:30.160532-05:00,job,raycluster-historyserver-cpu-worker-x85f9,collector,2026-08-05T23:56:29Z,563587000,56946688
2026-08-05T18:56:30.160532-05:00,job,raycluster-historyserver-cpu-worker-x85f9,ray-worker,2026-08-05T23:56:28Z,3181415000,312168448
2026-08-05T18:56:30.160532-05:00,job,raycluster-historyserver-head-lrwtp,ray-head,2026-08-05T23:56:18Z,10816918000,1246478336
2026-08-05T18:56:30.160532-05:00,job,raycluster-historyserver-head-lrwtp,collector,2026-08-05T23:56:26Z,847664000,60846080
2026-08-05T18:56:31.161513-05:00,job,raycluster-historyserver-cpu-worker-x85f9,ray-worker,2026-08-05T23:56:28Z,3181415000,312168448
2026-08-05T18:56:31.161513-05:00,job,raycluster-historyserver-cpu-worker-x85f9,collector,2026-08-05T23:56:29Z,563587000,56946688
2026-08-05T18:56:31.161513-05:00,job,raycluster-historyserver-head-lrwtp,collector,2026-08-05T23:56:26Z,847664000,60846080
2026-08-05T18:56:31.161513-05:00,job,raycluster-historyserver-head-lrwtp,ray-head,2026-08-05T23:56:18Z,10816918000,1246478336
2026-08-05T18:56:32.161123-05:00,job,raycluster-historyserver-head-lrwtp,ray-head,2026-08-05T23:56:32Z,11690243000,1315917824
2026-08-05T18:56:32.161123-05:00,job,raycluster-historyserver-head-lrwtp,collector,2026-08-05T23:56:26Z,847664000,60846080
2026-08-05T18:56:32.161123-05:00,job,raycluster-historyserver-cpu-worker-x85f9,collector,2026-08-05T23:56:29Z,563587000,56946688
2026-08-05T18:56:32.161123-05:00,job,raycluster-historyserver-cpu-worker-x85f9,ray-worker,2026-08-05T23:56:28Z,3181415000,312168448
2026-08-05T18:56:33.161491-05:00,job,raycluster-historyserver-head-lrwtp,ray-head,2026-08-05T23:56:32Z,11690243000,1315917824
2026-08-05T18:56:33.161491-05:00,job,raycluster-historyserver-head-lrwtp,collector,2026-08-05T23:56:26Z,847664000,60846080
2026-08-05T18:56:33.161491-05:00,job,raycluster-historyserver-cpu-worker-x85f9,collector,2026-08-05T23:56:29Z,563587000,56946688
2026-08-05T18:56:33.161491-05:00,job,raycluster-historyserver-cpu-worker-x85f9,ray-worker,2026-08-05T23:56:28Z,3181415000,312168448
2026-08-05T18:56:34.161255-05:00,job,raycluster-historyserver-head-lrwtp,collector,2026-08-05T23:56:26Z,847664000,60846080
2026-08-05T18:56:34.161255-05:00,job,raycluster-historyserver-head-lrwtp,ray-head,2026-08-05T23:56:32Z,11690243000,1315917824
2026-08-05T18:56:34.161255-05:00,job,raycluster-historyserver-cpu-worker-x85f9,ray-worker,2026-08-05T23:56:28Z,3181415000,312168448
2026-08-05T18:56:34.161255-05:00,job,raycluster-historyserver-cpu-worker-x85f9,collector,2026-08-05T23:56:29Z,563587000,56946688
