time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1785974251387940628,raycluster-historyserver-head-s6488/collector,61034496,62066688,62578688,639815
1785974251387940628,raycluster-historyserver-head-s6488/ray-head,2648637440,2703372288,2705039360,12032919
1785974251387940628,raycluster-historyserver-cpu-worker-hhkx8/ray-worker,282013696,301953024,303738880,2772409
1785974251387940628,raycluster-historyserver-cpu-worker-hhkx8/collector,55783424,56868864,58851328,562528
1785974252421753378,raycluster-historyserver-head-s6488/collector,61034496,62066688,62578688,639815
1785974252421753378,raycluster-historyserver-head-s6488/ray-head,2648752128,2703482880,2707488768,12088586
1785974252421753378,rayjob-bench-gblgb/ray-job-submitter,57892864,64696320,64696320,644159
1785974252421753378,raycluster-historyserver-cpu-worker-hhkx8/ray-worker,282198016,302145536,303738880,2784232
1785974252421753378,raycluster-historyserver-cpu-worker-hhkx8/collector,55783424,56868864,58851328,562528
1785974253473216879,raycluster-historyserver-head-s6488/collector,61038592,62074880,62590976,641064
1785974253473216879,raycluster-historyserver-head-s6488/ray-head,2649530368,2704281600,2707488768,12161306
1785974253473216879,rayjob-bench-gblgb/ray-job-submitter,43425792,53719040,115769344,1685636
1785974253473216879,raycluster-historyserver-cpu-worker-hhkx8/ray-worker,282382336,302338048,303738880,2793619
1785974253473216879,raycluster-historyserver-cpu-worker-hhkx8/collector,55783424,56868864,58851328,562528
1785974254524448504,raycluster-historyserver-head-s6488/collector,61108224,62148608,62595072,643792
1785974254524448504,raycluster-historyserver-head-s6488/ray-head,2682499072,2738925568,2758991872,13037885
1785974254524448504,rayjob-bench-gblgb/ray-job-submitter,19763200,29978624,115769344,2570624
1785974254524448504,raycluster-historyserver-cpu-worker-hhkx8/ray-worker,282570752,302534656,303738880,2805026
1785974254524448504,raycluster-historyserver-cpu-worker-hhkx8/collector,55889920,56979456,58851328,567304
1785974255580077505,raycluster-historyserver-head-s6488/collector,61153280,62201856,62689280,651173
1785974255580077505,raycluster-historyserver-head-s6488/ray-head,2809716736,2870538240,2871738368,13886757
1785974255580077505,rayjob-bench-gblgb/ray-job-submitter,102367232,113287168,115769344,3347635
1785974255580077505,raycluster-historyserver-cpu-worker-hhkx8/ray-worker,445345792,470130688,470392832,3772547
1785974255580077505,raycluster-historyserver-cpu-worker-hhkx8/collector,55889920,56979456,58851328,567520
1785974256636952338,raycluster-historyserver-head-s6488/collector,69505024,70639616,70639616,762094
1785974256636952338,raycluster-historyserver-head-s6488/ray-head,2868547584,2929954816,2932723712,14714346
1785974256636952338,rayjob-bench-gblgb/ray-job-submitter,102379520,113299456,115769344,3347926
1785974256636952338,raycluster-historyserver-cpu-worker-hhkx8/ray-worker,661327872,692928512,693309440,5893725
1785974256636952338,raycluster-historyserver-cpu-worker-hhkx8/collector,55889920,56979456,58851328,567520
1785974257703976089,raycluster-historyserver-head-s6488/collector,92233728,96747520,99192832,1346881
1785974257703976089,raycluster-historyserver-head-s6488/ray-head,2894372864,2955886592,2959441920,15625283
