time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-05T18:57:32.329252-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:32Z,2782951000,296394752
2026-08-05T18:57:32.329252-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:32Z,562528000,56864768
2026-08-05T18:57:32.329252-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:26Z,11562714000,2694209536
2026-08-05T18:57:32.329252-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:33.330431-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:33Z,2792395000,296587264
2026-08-05T18:57:33.330431-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:33Z,562528000,56864768
2026-08-05T18:57:33.330431-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:26Z,11562714000,2694209536
2026-08-05T18:57:33.330431-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:34.329033-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:34.329033-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:34.329033-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:26Z,11562714000,2694209536
2026-08-05T18:57:34.329033-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:35.328525-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:26Z,11562714000,2694209536
2026-08-05T18:57:35.328525-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:35.328525-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:35.328525-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:36.328545-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:36.328545-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:36.328545-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:36Z,14017707000,2865082368
2026-08-05T18:57:36.328545-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:37.3288-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:37.3288-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:37.3288-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:36Z,14017707000,2865082368
2026-08-05T18:57:37.3288-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:38.327801-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:36Z,14017707000,2865082368
2026-08-05T18:57:38.327801-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:38.327801-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:38.327801-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:39.328644-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:39.328644-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:36Z,14017707000,2865082368
2026-08-05T18:57:39.328644-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:39.328644-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:40.328581-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:36Z,14017707000,2865082368
2026-08-05T18:57:40.328581-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:40.328581-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:40.328581-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:41.328343-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:41.328343-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:41.328343-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:36Z,14017707000,2865082368
2026-08-05T18:57:41.328343-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:42.328474-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:36Z,14017707000,2865082368
2026-08-05T18:57:42.328474-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
2026-08-05T18:57:42.328474-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,ray-worker,2026-08-05T23:57:34Z,2799462000,296607744
2026-08-05T18:57:42.328474-05:00,job,raycluster-historyserver-cpu-worker-hhkx8,collector,2026-08-05T23:57:34Z,562528000,56864768
2026-08-05T18:57:43.328043-05:00,job,raycluster-historyserver-head-s6488,ray-head,2026-08-05T23:57:36Z,14017707000,2865082368
2026-08-05T18:57:43.328043-05:00,job,raycluster-historyserver-head-s6488,collector,2026-08-05T23:57:31Z,639815000,62054400
