time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786052521375882387,historyserver-demo-7d676b97c8-gthj4/historyserver,68419584,69144576,70139904,568269
1786052522412715762,historyserver-demo-7d676b97c8-gthj4/historyserver,77692928,78696448,78974976,626794
1786052523453923846,historyserver-demo-7d676b97c8-gthj4/historyserver,385495040,387047424,387309568,1742330
1786052524486801138,historyserver-demo-7d676b97c8-gthj4/historyserver,386744320,388300800,388567040,2778630
1786052525518912347,historyserver-demo-7d676b97c8-gthj4/historyserver,411566080,413892608,413892608,3924110
1786052526549371667,historyserver-demo-7d676b97c8-gthj4/historyserver,413736960,415444992,415723520,4995595
1786052527579078834,historyserver-demo-7d676b97c8-gthj4/historyserver,414998528,416714752,416976896,6030860
1786052528610779793,historyserver-demo-7d676b97c8-gthj4/historyserver,452923392,455729152,455729152,7301416
1786052529641958751,historyserver-demo-7d676b97c8-gthj4/historyserver,471646208,474144768,474144768,8465266
1786052530672948835,historyserver-demo-7d676b97c8-gthj4/historyserver,526671872,529354752,529354752,9502368
1786052531705201294,historyserver-demo-7d676b97c8-gthj4/historyserver,586641408,588513280,588771328,10542364
1786052532741086253,historyserver-demo-7d676b97c8-gthj4/historyserver,638984192,641404928,641404928,11583272
1786052533777075712,historyserver-demo-7d676b97c8-gthj4/historyserver,677740544,680177664,680181760,12843370
1786052534818346837,historyserver-demo-7d676b97c8-gthj4/historyserver,692232192,694472704,694734848,14261224
1786052535858032754,historyserver-demo-7d676b97c8-gthj4/historyserver,692301824,694546432,694808576,15307036
1786052536899301213,historyserver-demo-7d676b97c8-gthj4/historyserver,693202944,695230464,695508992,16354254
1786052537944960797,historyserver-demo-7d676b97c8-gthj4/historyserver,694190080,696193024,696684544,17404399
1786052538986084798,historyserver-demo-7d676b97c8-gthj4/historyserver,728707072,730841088,730841088,18452856
1786052540031101131,historyserver-demo-7d676b97c8-gthj4/historyserver,775458816,777838592,778100736,19508520
1786052541079970299,historyserver-demo-7d676b97c8-gthj4/historyserver,818233344,820510720,820772864,20560960
1786052542127991507,historyserver-demo-7d676b97c8-gthj4/historyserver,840134656,842919936,843182080,22115987
1786052543168112133,historyserver-demo-7d676b97c8-gthj4/historyserver,846184448,848478208,849383424,23352963
1786052544216112217,historyserver-demo-7d676b97c8-gthj4/historyserver,846188544,848482304,849383424,24404709
1786052545263259676,historyserver-demo-7d676b97c8-gthj4/historyserver,1175887872,1178828800,1179516928,25544318
1786052546308078218,historyserver-demo-7d676b97c8-gthj4/historyserver,1174777856,1178906624,1180258304,26735433
1786052547351970552,historyserver-demo-7d676b97c8-gthj4/historyserver,1090056192,1139068928,1180258304,27802619
1786052548396089677,historyserver-demo-7d676b97c8-gthj4/historyserver,1090076672,1139351552,1180258304,28855734
1786052549445092678,historyserver-demo-7d676b97c8-gthj4/historyserver,1090101248,1139118080,1180258304,29906812
1786052550490112136,historyserver-demo-7d676b97c8-gthj4/historyserver,962105344,1015824384,1180258304,31351385
1786052551536032762,historyserver-demo-7d676b97c8-gthj4/historyserver,962105344,1015824384,1180258304,32402065
1786052552578055971,historyserver-demo-7d676b97c8-gthj4/historyserver,962134016,1016111104,1180258304,33446368
1786052553618076430,historyserver-demo-7d676b97c8-gthj4/historyserver,967487488,1021456384,1180258304,34491608
1786052554657947513,historyserver-demo-7d676b97c8-gthj4/historyserver,967528448,1021505536,1180258304,35533056
1786052555695194083,historyserver-demo-7d676b97c8-gthj4/historyserver,973955072,1027674112,1180258304,36568939
1786052556727274792,historyserver-demo-7d676b97c8-gthj4/historyserver,961429504,1015414784,1180258304,37897893
1786052557761260417,historyserver-demo-7d676b97c8-gthj4/historyserver,923848704,977567744,1180258304,39238855
1786052558794288251,historyserver-demo-7d676b97c8-gthj4/historyserver,923856896,977580032,1180258304,40277024
1786052559827296752,historyserver-demo-7d676b97c8-gthj4/historyserver,923856896,977575936,1180258304,41318421
1786052560864356919,historyserver-demo-7d676b97c8-gthj4/historyserver,963809280,1017524224,1180258304,42177898
1786052561902272919,historyserver-demo-7d676b97c8-gthj4/historyserver,924196864,1010016256,1180258304,42538326
1786052562942642336,historyserver-demo-7d676b97c8-gthj4/historyserver,850382848,967417856,1180258304,43931966
1786052563984539253,historyserver-demo-7d676b97c8-gthj4/historyserver,838414336,967954432,1180258304,45341411
