time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786052694431545300,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,68997120,69955584,71077888,607069
1786052695468001301,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,68997120,69947392,71077888,607069
1786052696509838384,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,81113088,82071552,82333696,680905
1786052697549809093,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,405020672,406851584,406851584,1757059
1786052698585628635,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,470007808,471818240,473956352,2998750
1786052699620689678,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,471113728,473235456,473956352,4038389
1786052700657942428,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,472559616,474595328,474857472,5080986
1786052701695988345,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,474710016,476831744,478621696,6649115
1786052702732728929,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,497053696,499236864,499236864,7689852
1786052703769789013,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,565489664,567775232,568029184,8728025
1786052704803826388,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,631959552,634171392,634433536,9767567
1786052705839303625,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,678490112,680759296,680759296,10807223
1786052706875394833,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,713367552,715923456,716636160,12862207
1786052707911555459,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,713412608,715972608,716636160,13899301
1786052708945835584,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,713523200,716042240,716636160,14938682
1786052709979627960,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,714440704,717049856,717316096,15976582
1786052711012208252,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,715964416,718843904,719106048,17013388
1786052712044081919,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,762843136,765378560,765644800,18050388
1786052713075063045,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,805056512,807759872,808022016,19087916
1786052714107507879,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,849375232,852074496,852078592,20125579
1786052715140269712,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,893300736,895934464,896200704,21163550
1786052716172248963,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1247551488,1250959360,1251221504,23383671
1786052717204367630,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1247887360,1251487744,1252012032,24421480
1786052718237472714,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1247920128,1251520512,1252012032,25457925
1786052719269533631,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1246420992,1251598336,1253183488,26995358
1786052720301450132,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1151340544,1204232192,1253183488,28053793
1786052721332217882,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1151344640,1204604928,1253183488,29090441
1786052722364379299,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1152081920,1204740096,1253183488,30126194
1786052723396516300,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1070989312,1127305216,1253183488,31935690
1786052724428186925,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1071054848,1127620608,1253183488,32973219
1786052725461201384,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1071071232,1127378944,1253183488,34011089
1786052726493639801,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1071087616,1127653376,1253183488,35048317
1786052727525478635,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1071116288,1127419904,1253183488,36086767
1786052728557986302,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1071116288,1127419904,1253183488,37124916
1786052729590676261,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1071140864,1127444480,1253183488,38161756
1786052730623232553,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,1071751168,1128198144,1253183488,39588441
1786052731659652804,historyserver-demo-5f6b4cf7df-7r7nd/historyserver,655380480,952799232,1253183488,41955969
