time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786052874955687759,historyserver-demo-7fb85b6799-7kstd/historyserver,68329472,69095424,70193152,578316
1786052875992776051,historyserver-demo-7fb85b6799-7kstd/historyserver,77299712,78303232,78561280,614080
1786052877031040010,historyserver-demo-7fb85b6799-7kstd/historyserver,385441792,387358720,387461120,1662042
1786052878065030635,historyserver-demo-7fb85b6799-7kstd/historyserver,386703360,388288512,388562944,2697141
1786052879096030844,historyserver-demo-7fb85b6799-7kstd/historyserver,412233728,413876224,413876224,3732673
1786052880128716011,historyserver-demo-7fb85b6799-7kstd/historyserver,459304960,461148160,461418496,5078149
1786052881159928970,historyserver-demo-7fb85b6799-7kstd/historyserver,460115968,461864960,462430208,6116575
1786052882194544262,historyserver-demo-7fb85b6799-7kstd/historyserver,461373440,463196160,463458304,7151019
1786052883226138971,historyserver-demo-7fb85b6799-7kstd/historyserver,517111808,519036928,519299072,8190375
1786052884260350013,historyserver-demo-7fb85b6799-7kstd/historyserver,574709760,576974848,576974848,9783805
1786052885294152222,historyserver-demo-7fb85b6799-7kstd/historyserver,591486976,593395712,593657856,11009778
1786052886330386250,historyserver-demo-7fb85b6799-7kstd/historyserver,631836672,633720832,633987072,12049453
1786052887363076334,historyserver-demo-7fb85b6799-7kstd/historyserver,679092224,681332736,681336832,13084691
1786052888394647792,historyserver-demo-7fb85b6799-7kstd/historyserver,726519808,728858624,728858624,14119852
1786052889426166168,historyserver-demo-7fb85b6799-7kstd/historyserver,776163328,778473472,778473472,15156112
1786052890459847377,historyserver-demo-7fb85b6799-7kstd/historyserver,821174272,823525376,823525376,16193476
1786052891492363836,historyserver-demo-7fb85b6799-7kstd/historyserver,868102144,870854656,870854656,17230698
1786052892524428294,historyserver-demo-7fb85b6799-7kstd/historyserver,917667840,920457216,920457216,18266934
1786052893555572587,historyserver-demo-7fb85b6799-7kstd/historyserver,949899264,952446976,953761792,20396614
1786052894585540629,historyserver-demo-7fb85b6799-7kstd/historyserver,950226944,953286656,953761792,21430951
1786052895615388171,historyserver-demo-7fb85b6799-7kstd/historyserver,950239232,952791040,953761792,22465307
1786052896645294380,historyserver-demo-7fb85b6799-7kstd/historyserver,950280192,953749504,954474496,23499279
1786052897678148922,historyserver-demo-7fb85b6799-7kstd/historyserver,1243660288,1247940608,1250295808,24812094
1786052898706103464,historyserver-demo-7fb85b6799-7kstd/historyserver,1067147264,1158922240,1250295808,25884899
1786052899738015381,historyserver-demo-7fb85b6799-7kstd/historyserver,1067167744,1158422528,1250295808,26924842
1786052900771973090,historyserver-demo-7fb85b6799-7kstd/historyserver,1067188224,1158443008,1250295808,27964831
1786052901808034466,historyserver-demo-7fb85b6799-7kstd/historyserver,930484224,1025400832,1250295808,29644548
1786052902847047049,historyserver-demo-7fb85b6799-7kstd/historyserver,930484224,1025146880,1250295808,30687105
1786052903887073717,historyserver-demo-7fb85b6799-7kstd/historyserver,930537472,1025454080,1250295808,31731112
1786052904928008384,historyserver-demo-7fb85b6799-7kstd/historyserver,930582528,1025503232,1250295808,32776458
1786052905969154676,historyserver-demo-7fb85b6799-7kstd/historyserver,934760448,1029423104,1250295808,33823969
1786052907013950885,historyserver-demo-7fb85b6799-7kstd/historyserver,934780928,1029443584,1250295808,34871623
1786052908055929177,historyserver-demo-7fb85b6799-7kstd/historyserver,930848768,1025675264,1250295808,36718822
1786052909098021636,historyserver-demo-7fb85b6799-7kstd/historyserver,911945728,1006608384,1250295808,37820290
1786052910142013803,historyserver-demo-7fb85b6799-7kstd/historyserver,911945728,1006608384,1250295808,38868802
1786052911184041928,historyserver-demo-7fb85b6799-7kstd/historyserver,911949824,1006612480,1250295808,39913584
1786052912225997221,historyserver-demo-7fb85b6799-7kstd/historyserver,960651264,1055309824,1250295808,40246572
1786052913273016804,historyserver-demo-7fb85b6799-7kstd/historyserver,721321984,938610688,1250295808,41681010
