time_nano,container,anon_bytes,current_bytes,peak_bytes,cpu_usage_usec
1786052172203516544,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,282529792,302317568,303935488,3170624
1786052172203516544,raycluster-historyserver-cpu-worker-tdj7c/collector,54190080,54935552,55660544,649328
1786052172203516544,raycluster-historyserver-head-nbgjc/ray-head,3496398848,3548708864,3551350784,14372860
1786052172203516544,raycluster-historyserver-head-nbgjc/collector,61009920,61960192,62455808,650864
1786052173263127712,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,286883840,306683904,306946048,3182560
1786052173263127712,raycluster-historyserver-cpu-worker-tdj7c/collector,54190080,54935552,55660544,649328
1786052173263127712,rayjob-bench-89x7h/ray-job-submitter,55635968,61296640,61558784,675920
1786052173263127712,raycluster-historyserver-head-nbgjc/ray-head,3496427520,3548729344,3551350784,14423945
1786052173263127712,raycluster-historyserver-head-nbgjc/collector,61009920,61960192,62455808,650864
1786052174329146254,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,287059968,306872320,307388416,3193487
1786052174329146254,raycluster-historyserver-cpu-worker-tdj7c/collector,54190080,54935552,55660544,649328
1786052174329146254,rayjob-bench-89x7h/ray-job-submitter,23158784,33374208,115163136,1720106
1786052174329146254,raycluster-historyserver-head-nbgjc/ray-head,3496488960,3549057024,3551350784,14474401
1786052174329146254,raycluster-historyserver-head-nbgjc/collector,61009920,61956096,62455808,652265
1786052175392194129,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,287248384,307064832,307691520,3202880
1786052175392194129,raycluster-historyserver-cpu-worker-tdj7c/collector,54190080,54935552,55660544,652324
1786052175392194129,rayjob-bench-89x7h/ray-job-submitter,102567936,113553408,115163136,2542765
1786052175392194129,raycluster-historyserver-head-nbgjc/ray-head,3522600960,3577049088,3577053184,15237086
1786052175392194129,raycluster-historyserver-head-nbgjc/collector,61009920,61956096,62455808,652982
1786052176466880755,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,334680064,355303424,355303424,3469894
1786052176466880755,raycluster-historyserver-cpu-worker-tdj7c/collector,54190080,54935552,55660544,652468
1786052176466880755,rayjob-bench-89x7h/ray-job-submitter,102084608,112898048,115163136,3605341
1786052176466880755,raycluster-historyserver-head-nbgjc/ray-head,3652620288,3714457600,3714719744,16379056
1786052176466880755,raycluster-historyserver-head-nbgjc/collector,61026304,61984768,62480384,659347
1786052177535386714,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,583979008,612925440,614383616,5718788
1786052177535386714,raycluster-historyserver-cpu-worker-tdj7c/collector,54190080,54935552,55660544,652468
1786052177535386714,rayjob-bench-89x7h/ray-job-submitter,102367232,113287168,115163136,3610943
1786052177535386714,raycluster-historyserver-head-nbgjc/ray-head,3684036608,3746201600,3746713600,16902196
1786052177535386714,raycluster-historyserver-head-nbgjc/collector,61071360,62038016,62480384,661329
1786052178615928297,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,766324736,801751040,801804288,7861635
1786052178615928297,raycluster-historyserver-cpu-worker-tdj7c/collector,64937984,67014656,67264512,894898
1786052178615928297,rayjob-bench-89x7h/ray-job-submitter,102371328,113291264,115163136,3611262
1786052178615928297,raycluster-historyserver-head-nbgjc/ray-head,3709624320,3772743680,3778564096,17668563
1786052178615928297,raycluster-historyserver-head-nbgjc/collector,84324352,88649728,88911872,1410572
1786052179687917006,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,905330688,944271360,945647616,9943894
1786052179687917006,raycluster-historyserver-cpu-worker-tdj7c/collector,70479872,74321920,74592256,1195128
1786052179687917006,rayjob-bench-89x7h/ray-job-submitter,102375424,113295360,115163136,3611434
1786052179687917006,raycluster-historyserver-head-nbgjc/ray-head,3720376320,3783757824,3784388608,18333625
1786052179687917006,raycluster-historyserver-head-nbgjc/collector,87187456,92225536,92557312,1527172
1786052180750318465,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,937869312,978325504,980033536,12141329
1786052180750318465,raycluster-historyserver-cpu-worker-tdj7c/collector,68890624,74416128,76918784,1520672
1786052180750318465,rayjob-bench-89x7h/ray-job-submitter,102375424,113295360,115163136,3611434
1786052180750318465,raycluster-historyserver-head-nbgjc/ray-head,3737931776,3801444352,3802456064,19468690
1786052180750318465,raycluster-historyserver-head-nbgjc/collector,86065152,94531584,95731712,2153906
1786052181808549591,raycluster-historyserver-cpu-worker-tdj7c/ray-worker,915431424,954511360,983109632,14150495
1786052181808549591,raycluster-historyserver-cpu-worker-tdj7c/collector,70647808,78864384,84094976,2018523
1786052181808549591,rayjob-bench-89x7h/ray-job-submitter,102375424,113295360,115163136,3611434
1786052181808549591,raycluster-historyserver-head-nbgjc/ray-head,3767316480,3830951936,3833675776,20344059
1786052181808549591,raycluster-historyserver-head-nbgjc/collector,92651520,104931328,105771008,2941898
