time,phase,pod,container,cpu_stat_time,cpu_usage_core_nanoseconds,working_set_bytes
2026-08-06T16:36:13.151013-05:00,job,raycluster-historyserver-head-nbgjc,collector,2026-08-06T21:36:10Z,648205000,61947904
2026-08-06T16:36:13.151013-05:00,job,raycluster-historyserver-head-nbgjc,ray-head,2026-08-06T21:36:10Z,14262539000,3541331968
2026-08-06T16:36:13.151013-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,collector,2026-08-06T21:36:13Z,649328000,54931456
2026-08-06T16:36:13.151013-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,ray-worker,2026-08-06T21:36:13Z,3180172000,296673280
2026-08-06T16:36:14.151028-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,collector,2026-08-06T21:36:14Z,649328000,54931456
2026-08-06T16:36:14.151028-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,ray-worker,2026-08-06T21:36:14Z,3191713000,301178880
2026-08-06T16:36:14.151028-05:00,job,raycluster-historyserver-head-nbgjc,ray-head,2026-08-06T21:36:10Z,14262539000,3541331968
2026-08-06T16:36:14.151028-05:00,job,raycluster-historyserver-head-nbgjc,collector,2026-08-06T21:36:10Z,648205000,61947904
2026-08-06T16:36:15.150968-05:00,job,raycluster-historyserver-head-nbgjc,collector,2026-08-06T21:36:10Z,648205000,61947904
2026-08-06T16:36:15.150968-05:00,job,raycluster-historyserver-head-nbgjc,ray-head,2026-08-06T21:36:10Z,14262539000,3541331968
2026-08-06T16:36:15.150968-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,ray-worker,2026-08-06T21:36:14Z,3192749000,301182976
2026-08-06T16:36:15.150968-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,collector,2026-08-06T21:36:15Z,649328000,54931456
2026-08-06T16:36:16.151007-05:00,job,raycluster-historyserver-head-nbgjc,ray-head,2026-08-06T21:36:10Z,14262539000,3541331968
2026-08-06T16:36:16.151007-05:00,job,raycluster-historyserver-head-nbgjc,collector,2026-08-06T21:36:10Z,648205000,61947904
2026-08-06T16:36:16.151007-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,collector,2026-08-06T21:36:16Z,652324000,54931456
2026-08-06T16:36:16.151007-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,ray-worker,2026-08-06T21:36:14Z,3192749000,301182976
2026-08-06T16:36:17.151893-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,collector,2026-08-06T21:36:17Z,652468000,54931456
2026-08-06T16:36:17.151893-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,ray-worker,2026-08-06T21:36:14Z,3192749000,301182976
2026-08-06T16:36:17.151893-05:00,job,raycluster-historyserver-head-nbgjc,collector,2026-08-06T21:36:10Z,648205000,61947904
2026-08-06T16:36:17.151893-05:00,job,raycluster-historyserver-head-nbgjc,ray-head,2026-08-06T21:36:10Z,14262539000,3541331968
2026-08-06T16:36:18.151892-05:00,job,raycluster-historyserver-head-nbgjc,ray-head,2026-08-06T21:36:10Z,14262539000,3541331968
2026-08-06T16:36:18.151892-05:00,job,raycluster-historyserver-head-nbgjc,collector,2026-08-06T21:36:10Z,648205000,61947904
2026-08-06T16:36:18.151892-05:00,job,raycluster-historyserver-cpu-worker-tdj7c,collector,2026-08-06T21:36:18Z,652468000,54931456
